w_ee_mult,q,rE_khz,rI_khz,rE_hz,rI_hz,residual_inf,leading_real_per_ms,leading_imag_per_ms,leading_frequency_hz,stability,branch_class,muE_mV,sigmaE_mV,muI_mV,sigmaI_mV,lut_clip_at_root
1.0,1.0,0.00024844949024421944,0.005045475054982346,0.24844949024421945,5.0454750549823455,2.133031217854773e-09,-0.05555555555554065,0.0,0.0,stable,low_root,8.363464245057258,4.076593276396941,9.649861227200807,5.00128822227956,False
1.0,0.99,0.00027553941516836116,0.005076557797803719,0.27553941516836117,5.076557797803718,1.893458913965196e-12,-0.05555555555553196,0.0,0.0,stable,low_root,8.479496372910878,4.065266483648243,9.648003685609108,5.008326320862368,False
1.0,0.98,0.0003016416042239691,0.005106489767835705,0.3016416042239691,5.106489767835705,1.498690169361716e-12,-0.05406937094697658,0.0,0.0,stable,low_root,8.597284809902067,4.053619843899919,9.64624685926543,5.015095349346343,False
1.0,0.97,0.0003266397941947803,0.005135139995818442,0.3266397941947803,5.135139995818442,1.1501293081979391e-12,-0.05190710145780501,0.0,0.0,stable,low_root,8.716761089276838,4.041638097031772,9.644594127316763,5.021566723139831,False
1.0,0.96,0.0003504131719437392,0.00516237238152586,0.35041317194373917,5.162372381525859,8.510346290527271e-13,-0.04984979373738107,0.0,0.0,stable,low_root,8.837844518800976,4.029306227200691,9.643049011602557,5.027710794379699,False
1.0,0.95,0.00037548973105149496,0.005191082885785471,0.37548973105149497,5.1910828857854705,2.4418794894107143e-11,-0.04962051413073436,0.11656013731484575,18.551122021127785,stable,low_root,8.960126007607238,4.017242910628912,9.641446932678178,5.034180934498002,False
1.0,0.94,0.00042813293429824414,0.0052513067770152315,0.42813293429824417,5.251306777015231,2.792037434584671e-15,-0.051277843060633155,0.11792205613170027,18.767878132920046,stable,low_root,9.081382008364244,4.01161218258921,9.638174505072104,5.047728214551954,False
1.0,0.93,0.0004810933426877908,0.0053118295215648335,0.4810933426877908,5.3118295215648335,2.7269853042355408e-15,-0.05286735253078058,0.11934767626413863,18.99477262396893,stable,low_root,9.205685866574026,4.005813633398312,9.635003375491404,5.061309237836729,False
1.0,0.92,0.000534283017839593,0.005372551583154261,0.534283017839593,5.3725515831542605,2.6688720677903177e-15,-0.05056100700706898,0.0,0.0,stable,low_root,9.333059961485956,3.999830262621122,9.631936996906171,5.074901442150442,False
1.0,0.91,0.0005875978272677693,0.005433355348816864,0.5875978272677693,5.433355348816864,2.6098914696071063e-15,-0.0474999864640342,0.0,0.0,stable,low_root,9.46351612085728,3.9936427889303467,9.62897897960302,5.088478456464133,False
