name,tau_Z_s,threshold,seed,observed,onset_s,confirmation_s,restricted_time_s,horizon_s,pre_observation_s,pre_E_mean_Hz,pre_quiet_fraction,Z_at_endpoint,adaptation_current_at_endpoint,reference_prefix_qa,source
y2_x0_s9108401,2.5,88.4656754177799,9108401,True,106.04,106.24000000000001,106.24000000000001,180.0,20.0,17.8362484375,0.6145,0.7004879258326018,2.330906342903783,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x0_s9108401/result.json
y2_x0_s9108402,2.5,88.4656754177799,9108402,True,43.32,43.52,43.52,180.0,20.0,16.8801453125,0.6115,0.7087451765583621,2.234400204111357,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x0_s9108402/result.json
y2_x0_s9108403,2.5,88.4656754177799,9108403,True,16.57,16.77,16.77,180.0,16.57,18.693067290283643,0.5691007845503923,0.728794460967984,2.2140184561119716,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x0_s9108403/result.json
y2_x1_s9108401,3.1498026247371813,88.4656754177799,9108401,True,46.54,46.74,46.74,180.0,20.0,17.277678124999998,0.618,0.732997792962439,2.3405948462776163,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x1_s9108401/result.json
y2_x1_s9108402,3.1498026247371813,88.4656754177799,9108402,True,54.22,54.42,54.42,180.0,20.0,17.460948437500004,0.5965,0.7288340605720267,2.2330576133412046,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x1_s9108402/result.json
y2_x1_s9108403,3.1498026247371813,88.4656754177799,9108403,True,107.21000000000001,107.41,107.41,180.0,20.0,18.308659374999998,0.601,0.7425105294859586,2.4675635282674224,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x1_s9108403/result.json
y2_x2_s9108401,3.9685026299204997,88.4656754177799,9108401,True,87.19,87.39,87.39,180.0,20.0,19.065746875000002,0.5965,0.7471357015716943,2.3373267018728994,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x2_s9108401/result.json
y2_x2_s9108402,3.9685026299204997,88.4656754177799,9108402,True,150.46,150.66,150.66,180.0,20.0,18.4246421875,0.5855,0.7391541343342436,2.4085986410432723,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x2_s9108402/result.json
y2_x2_s9108403,3.9685026299204997,88.4656754177799,9108403,False,,,180.0,180.0,20.0,14.187235937499997,0.6495,0.8196491602890733,0.6445189227084339,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x2_s9108403/result.json
y2_x3_s9108401,5.0,88.4656754177799,9108401,False,,,180.0,180.0,20.0,13.392490625,0.6605,0.8295112867775016,0.5834320862616018,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x3_s9108401/result.json
y2_x3_s9108402,5.0,88.4656754177799,9108402,True,43.33,43.53,43.53,180.0,20.0,19.6778765625,0.5925,0.7401024669114845,2.7902512199393037,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x3_s9108402/result.json
y2_x3_s9108403,5.0,88.4656754177799,9108403,False,,,180.0,180.0,20.0,14.3291953125,0.638,0.8204308488168981,0.6179629766603733,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x3_s9108403/result.json
y2_x4_s9108401,6.2996052494743635,88.4656754177799,9108401,False,,,180.0,180.0,20.0,13.093018749999999,0.661,0.8412766950756282,0.5164559438549418,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x4_s9108401/result.json
y2_x4_s9108402,6.2996052494743635,88.4656754177799,9108402,False,,,180.0,180.0,20.0,13.151435937499999,0.6705,0.8371335297302214,0.5670403186471711,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x4_s9108402/result.json
y2_x4_s9108403,6.2996052494743635,88.4656754177799,9108403,False,,,180.0,180.0,20.0,14.4734875,0.621,0.8169224010930007,0.6974447817403595,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x4_s9108403/result.json
y2_x5_s9108401,7.937005259841,88.4656754177799,9108401,False,,,180.0,180.0,20.0,13.328032812500002,0.651,0.8375639537899662,0.5267582696882264,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x5_s9108401/result.json
y2_x5_s9108402,7.937005259841,88.4656754177799,9108402,False,,,180.0,180.0,20.0,13.32266875,0.6615,0.8325741496055002,0.6081876572774657,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x5_s9108402/result.json
y2_x5_s9108403,7.937005259841,88.4656754177799,9108403,False,,,180.0,180.0,20.0,14.566759375,0.642,0.8222965687931307,0.6445456639108227,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x5_s9108403/result.json
y2_x6_s9108401,10.0,88.4656754177799,9108401,False,,,180.0,180.0,20.0,13.373723437499999,0.671,0.8344621336328286,0.5767123337944849,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x6_s9108401/result.json
y2_x6_s9108402,10.0,88.4656754177799,9108402,False,,,180.0,180.0,20.0,13.561348437500001,0.6625,0.8351700764796736,0.5771670680105325,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x6_s9108402/result.json
y2_x6_s9108403,10.0,88.4656754177799,9108403,False,,,180.0,180.0,20.0,14.289446875,0.628,0.8256669948474292,0.6477358497512357,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y2_x6_s9108403/result.json
y3_x0_s9108401,2.5,95.19851312666987,9108401,True,103.11,103.31,103.31,180.0,20.0,16.811734375,0.6005,0.7117184321403692,2.3234521177725433,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x0_s9108401/result.json
y3_x0_s9108402,2.5,95.19851312666987,9108402,True,43.36,43.56,43.56,180.0,20.0,16.9165,0.5975,0.7286502376523698,2.044058172651504,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x0_s9108402/result.json
y3_x0_s9108403,2.5,95.19851312666987,9108403,False,,,180.0,180.0,20.0,14.073635937499999,0.6375,0.8332573786083232,0.5672024344138152,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x0_s9108403/result.json
y3_x1_s9108401,3.1498026247371813,95.19851312666987,9108401,False,,,180.0,180.0,20.0,13.1568140625,0.674,0.8331441633699692,0.5776728361775127,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x1_s9108401/result.json
