subject,producer,seed,selected_epoch,n_epochs_run,stop_reason,train_seconds,peak_memory_reserved_gb,oom_retries,n_train_segments,n_train_events,n_train_anchors,grad_norm_mean_last_epoch,n_nonfinite_steps,update_encoder,update_state,update_heads,update_future,future_weight_5m,future_weight_30m,future_weight_120m,tau_slow_median_seconds,checkpoint_sha256,selected_last_epoch
epilepsiae_916,P_slow,2,6,11,early_stopping,339.1,2.017460224,0,42,42103,2964,178.8378196998879,0,0.007755429021001417,0.1020671971294795,0.15957235579124807,0.4224290285779801,47.43014433377908,49.13197509530668,53.25182443959493,11069.3935546875,ae8bf136d0e964606bd90296d0b31cef0db500ce071aed4a615372fd4f155731,False
epilepsiae_916,P_slow,3,14,19,early_stopping,559.8,2.019557376,0,42,42103,2964,239.38721730757732,0,0.010799282927170577,0.14631247748328743,0.20628259444656957,0.5437345361062864,54.23793842102645,58.10551247094583,28.910316926565407,13278.37109375,294363f13f7fb528347f40a530c18a30e6064b431446b50d33a4c40e47e3a50b,False
epilepsiae_922,P_local,1,14,19,early_stopping,1484.4,1.084227584,0,19,132437,626,13.726554284115885,0,0.029238204167115124,0.20826832834746448,0.526367589551842,,,,,9540.822265625,116365983f44948c87688a4444ff94bf08c222f2c8b5a009b7a782062777c497,False
epilepsiae_922,P_local,2,8,13,early_stopping,1045.4,1.084227584,0,19,132437,626,12.964248894546438,0,0.021919142173639664,0.18325009938798217,0.43269632602716873,,,,,10515.681640625,e30ee75fa1684f0efabe153be099b19d1b53e8d50442e6ca19a85209488bce41,False
epilepsiae_922,P_local,3,5,10,early_stopping,787.2,1.084227584,0,19,132437,626,12.709985496584048,0,0.01836915311071989,0.1476100629937018,0.36956712495325256,,,,,13950.0927734375,402febb7da03c28697ab06e41f753d4b3eddeac6717970fb5013de6614317152,False
epilepsiae_922,P_memoryless,1,5,10,early_stopping,562.0,2.384461824,0,19,132437,626,80.25111131687241,0,0.0,0.03634047185364144,0.4286173201462521,0.5637057496932129,18.20123827471503,19.846576210568635,43.014800217469784,10482.8203125,4088a733aedf85d1d01b1c5a65937f573543aa9698a06911d2231eb32dcec127,False
epilepsiae_922,P_slow,1,12,17,early_stopping,1415.7,2.965372928,0,19,132437,626,520.0858682693645,0,0.014112357357988582,0.139528784409128,0.21166316040999783,0.40074066650944573,14.930594564295774,16.499585973414927,19.184768063687805,11486.2783203125,e19e9893710bf49a4542c1b5e07ea2ab4969078246a432b24ac363b536ef7d89,False
epilepsiae_922,P_slow,2,13,18,early_stopping,1430.4,2.965372928,0,19,132437,626,346.6644320635669,0,0.016556891566123142,0.14125979435435015,0.19138566844217125,0.42238126981256613,10.749387043808538,8.130318312744896,5.096554079825287,9446.8232421875,f439b99fc4c82258e83690f2f80b992bc48d896f4cec03483b2bd4bb4fafaabe,False
epilepsiae_922,P_slow,3,10,15,early_stopping,1333.2,2.965372928,0,19,132437,626,714.3596742175041,0,0.01495756218683575,0.13611201895145297,0.2050279710909066,0.41290084316421116,12.851945773907616,11.797545767654544,7.594273276914529,12828.908203125,1072e76d27aa7030174031c67528ecfd850b3ab1de95fe2d02bc5e86d441bef6,False
epilepsiae_958,P_local,1,14,19,early_stopping,1793.6,2.55852544,0,17,128458,1709,3.2635780201767974,0,0.023308905559343642,0.26148169149784595,0.4117485471393738,,,,,10722.1455078125,ef0fc04360dd11ed3c6a17e977c8214c05b4d7ea37b17519b551506785590d32,False
epilepsiae_958,P_local,2,16,21,early_stopping,1886.9,2.55852544,0,17,128458,1709,3.653934161900442,0,0.023536404924722355,0.29232341793339545,0.4109967431438717,,,,,10969.09765625,e4ea17f6db92373d14bd3e4313e20fd9f5f604a1d35824c3b8f1fb2eec44da26,False
epilepsiae_958,P_local,3,10,15,early_stopping,1420.7,2.55852544,0,17,128458,1709,2.633764973202267,0,0.020153067358808886,0.22939970266065823,0.3042842769308381,,,,,13373.5068359375,f6955697a69c67eca1be0a8135e76b4f3752c2a2b6ef8c406e5e654cf1e1e41c,False
epilepsiae_958,P_memoryless,1,0,5,early_stopping,320.9,4.678746112,0,17,128458,1709,3.1289546567040523,0,0.0,0.0181220279451667,0.15433086502233992,0.2585904302094309,1.7108158422995328,1.4999962760405394,1.1996228834641194,11476.0849609375,ba4807eba388ea85b3a31e94f881b6d3a679a21372e5bc474b6d2a703c3330c5,False
epilepsiae_958,P_slow,1,11,16,early_stopping,1539.1,6.138363904,0,17,128458,1709,12.740319352536588,0,0.01736948008560653,0.18543404561983798,0.27704629442660755,0.7454036455093234,2.0258487862267107,1.3071366486842926,0.9085334057931954,11160.5537109375,3b5091836eee2c6d3907abea5aee5ffa200f567e067988feb42886363e6c5f40,False
epilepsiae_958,P_slow,2,14,19,early_stopping,1736.0,6.138363904,0,17,128458,1709,29.397140459811435,0,0.014306165031724178,0.17145804533780568,0.2348474504429162,0.7022807846193599,2.5424687703771243,1.2648447713689597,1.3771741578214753,9546.0634765625,8b2df64e9d9b0ddbef0b38b9141ce538875dfcc627e669c9a0d51b7b1a9281fd,False
epilepsiae_958,P_slow,3,15,20,early_stopping,1884.4,6.138363904,0,17,128458,1709,26.62189685081949,0,0.01199550659028366,0.14970252276196105,0.22604583303426903,0.659919667158173,1.3483221047243437,0.982572081863358,0.6497366470284739,12722.205078125,4632ef66c223962b6ffdbf7031b97e3ea22f9f18bbb5174c5cbf7c2dd420cc3f,False
yuquan_chengshuai,P_local,1,8,13,early_stopping,1051.8,3.5127296,0,1,18533,200,10.841979064612554,0,0.01502282663120921,0.13328444019644,0.28928047233845405,,,,,11652.9052734375,2896020ed1749914ba1f17d7c749e0372278cfc6ba91ae1d5e61f219484e1148,False
yuquan_chengshuai,P_local,2,9,14,early_stopping,1059.4,3.5127296,0,1,18533,200,5.84650895184484,0,0.012525432756155367,0.11413451557049707,0.2826560220788117,,,,,11432.4658203125,5b088dd08cf1db9e4012c73219c984935787f39264188d3ad78b746da09d5a3f,False
yuquan_chengshuai,P_local,3,14,19,early_stopping,1431.2,3.5127296,0,1,18533,200,6.173103130274805,0,0.014010358940450014,0.12547058864979868,0.3179948179657341,,,,,13491.05078125,26136d69c5d89d0d52e076ce7ec9a74f048f0af56bd729a84f4027f0dc529121,False
yuquan_chengshuai,P_memoryless,1,2,7,early_stopping,415.6,5.377097728,0,1,18533,200,40.07036425820712,0,0.0,0.017488630744642703,0.2675141980892017,0.39001564456287185,11.807333817725935,16.95158212813009,7.736911699764067,11705.48828125,e3ccc8a6066ae43386590eb88cdf060dd95377922b86d09e4f6b87182f9b8a5e,False
yuquan_chengshuai,P_slow,1,5,10,early_stopping,781.1,6.767509504,0,1,18533,200,303.23523528164833,0,0.0160424213083221,0.09926246512713882,0.21712169222708358,0.3414033316214739,8.758035005269006,11.837148399223716,5.148236979605873,11355.1982421875,0593aa049857ee7bced32a8a4ce13b7684fe8c3083180f9e0af804091c403a85,False
yuquan_chengshuai,P_slow,2,10,15,early_stopping,1201.4,6.767509504,0,1,18533,200,4319.31310301978,0,0.01504115441914757,0.1332293804591368,0.2801121935698009,0.4829205634691849,7.591017880658473,8.738292258359394,7.2890020244103875,11404.251953125,c34fba7d1a915f3a6eaf736181e5a90ded6d758a410406b9b8343257268202bb,False
yuquan_chengshuai,P_slow,3,7,12,early_stopping,976.8,6.767509504,0,1,18533,200,754.2063868202013,0,0.013281684093327676,0.13558695930693082,0.23839914152969902,0.4379941610709524,8.590005573368094,10.151346902507168,5.547262052117432,12220.2841796875,6f2fc5378ffab970c1ff7dd9ccea2fe18ba351169390ff538b21af3097801cdb,False
yuquan_chenziyang,P_local,1,4,9,early_stopping,258.8,3.372220416,0,1,6957,192,21.6653432152488,0,0.008624360670479735,0.05360583596452937,0.10908631090157413,,,,,11469.115234375,f5e97e95896b0579151963e25c70b428d66c93fd17525ba89adc9bef0b9fabac,False
yuquan_chenziyang,P_local,2,6,11,early_stopping,301.5,3.372220416,0,1,6957,192,21.794466356797653,0,0.007433880251429091,0.0625763683635115,0.14737700637602305,,,,,11279.345703125,2f62b9c055f18c8a10c5be4faafadddcd21f1bc7001a5c4578f486a9141a857a,False
yuquan_chenziyang,P_local,3,5,10,early_stopping,271.0,3.372220416,0,1,6957,192,20.144332322207365,0,0.008577346086841077,0.06914053606716014,0.13986444150992508,,,,,13640.384765625,7aac301d132059c46f177ad9d8c552db487265887a16e1a3db7e62f3066d6c98,False
yuquan_chenziyang,P_memoryless,1,1,6,early_stopping,112.7,5.490343936,0,1,6957,192,8.194857501983643,0,0.0,0.004374798350528113,0.20369506053536174,0.2751311312354865,3.9817568950184246,3.2883252051875798,2.225314694445974,11734.515625,6aa0432a503b08dc484d35510eb470024c7a6f4ca951d3c5c263e36627b553e6,False
yuquan_chenziyang,P_slow,1,3,8,early_stopping,263.5,7.426015232,0,1,6957,192,42.07804369492964,0,0.006971496895557834,0.05384735802986635,0.11864433476153512,0.2718269110912366,2.2814378017153527,2.25456621840548,1.6544521686552607,11522.5615234375,53e45b375be9f0d7948b0e713a72d6366fbb079e76ad1822ef773e2f89f11a07,False
yuquan_chenziyang,P_slow,2,2,7,early_stopping,208.9,7.426015232,0,1,6957,192,46.61378685344349,0,0.006960136463310552,0.05195560955628797,0.10059874851158035,0.22705178879939888,3.731961518823429,2.504105959534543,1.3654075333176976,11300.1474609375,158378dbd96d8f634fcf365b740ddabf863b615108b49fc4bb2bff6c2ca42583,False
yuquan_chenziyang,P_slow,3,4,9,early_stopping,271.7,7.426015232,0,1,6957,192,41.07616124586625,0,0.008200786690986239,0.0639658111332282,0.1393707561281148,0.2781102209803708,2.6403198467401032,2.4760434272984964,1.266231747649413,13299.5732421875,3837fa2ecaccfde8be27e9fc6797dce88f48d0a0cafec182e17dc2dd318d9c35,False
yuquan_gaolan,P_local,1,21,24,max_epochs,229.9,2.921332736,0,5,4482,156,13.134125656551785,0,0.021708538682432013,0.07758420754859634,0.18703064351430973,,,,,11754.2841796875,589c3d9664e17172903f6502d354c8d5ee48e36a16b87203c97863dd3967c080,False
yuquan_gaolan,P_local,2,18,23,early_stopping,221.5,2.921332736,0,5,4482,156,12.729219754536947,0,0.0175966926705655,0.07184890961931542,0.1940565133615992,,,,,11190.91796875,3d03a38930229a492e5c9c8d7c592f0a428049b4ac2d2a7b30aabbc7cb511564,False
yuquan_gaolan,P_local,3,14,19,early_stopping,187.8,2.921332736,0,5,4482,156,16.29371992746989,0,0.019874258606713182,0.07473745061799375,0.16641548694490688,,,,,13495.7607421875,33bdde664a1a6571d715af877837bb912b07460184a5d00f1a8c8d298460fc52,False
yuquan_gaolan,P_memoryless,1,23,24,max_epochs,150.8,6.576668672,0,5,4482,156,12.448653936386108,0,0.0,0.03515743370249791,0.25464715209909655,0.46937486114512145,5.951671089154819,4.834045228012278,2.5308947124873384,8399.951171875,1175099d6d2066a983d5529eb57d91bee9b3007658dcaacd671538714d413832,True
yuquan_gaolan,P_slow,1,22,24,max_epochs,250.1,8.89192448,0,5,4482,156,21.43848278787401,0,0.023547501274386484,0.09086910176317092,0.21965324074156098,0.4307890304476584,11.227631869738582,5.011378105446197,2.7705209465911476,11632.0537109375,5602505d4667748faf5e429f7fa3a6c1cf4e5e6659988293c8883077fc31ed81,False
yuquan_gaolan,P_slow,2,7,12,early_stopping,129.0,8.89192448,0,5,4482,156,38.142110188802086,0,0.013621022144955813,0.05019898221401912,0.13094521469366144,0.18045830179366332,7.928475382672844,6.180550308594694,2.909843686716742,11373.9375,87c1557b0d39fe5acc4e3a2f068f3e100b8ebb77719124b266d4d024562f8dac,False
yuquan_gaolan,P_slow,3,6,11,early_stopping,127.1,8.89192448,0,5,4482,156,97.2565549214681,0,0.012897074320135055,0.046822166831285233,0.11164236953767641,0.16455797373234693,8.728736088645798,4.041387316204894,3.838051800194232,13601.4541015625,fe6593eab2672e76f583eb4ebc786819483036ccfc19dd1ead140445f9565d6f,False
