subject,producer,horizon_seconds,endpoint,n_seeds,median_gain,seed_spread_range,seed_spread_std,effect_exceeds_seed_spread,gain_seed1,gain_seed2,gain_seed3
epilepsiae_1073,P_local,1800.0,count,3,-0.6181084864026891,0.704592922510721,0.3962138142154775,False,-0.6181084864026891,0.04822263836353535,-0.6563702841471857
epilepsiae_1073,P_local,1800.0,participation,3,0.04681380165596449,0.023784842293121278,0.01221087367577533,True,0.04681380165596449,0.030122707193190212,0.05390754948631149
epilepsiae_1073,P_local,1800.0,continuous,3,-0.0106644072252291,0.010385079660095942,0.005491119525955035,True,-0.012763442362364819,-0.002378362702268877,-0.0106644072252291
epilepsiae_1073,P_local,1800.0,continuous:size,3,0.0062918968608765,0.0064677186736183945,0.0032720863681233547,False,0.0062918968608765,0.003921813519665696,0.01038953219328409
epilepsiae_1073,P_local,1800.0,continuous:span,3,-0.0016808137502848375,0.0010562833897675983,0.0005609917567073684,True,-0.0016808137502848375,-0.00148029119961679,-0.0025365745893843883
epilepsiae_1073,P_local,1800.0,continuous:band_energy,3,-0.004542562894813251,0.00600349212094109,0.0032989054748086793,False,-0.005174310271630844,-0.004542562894813251,0.0008291818493102454
epilepsiae_1073,P_local,1800.0,continuous:band_peak,3,-0.0022163529388761205,0.0023872870758936404,0.0012439812113676525,False,-0.004016719705042027,-0.0016294326291483863,-0.0022163529388761205
epilepsiae_1073,P_local,1800.0,continuous:embedding,3,-0.02674059755931757,0.02438205598937837,0.014066877058893602,True,-0.02674059755931757,-0.002393599843203642,-0.026775655832582013
epilepsiae_1073,P_local,300.0,count,3,-0.005905866224628298,0.07622423540044476,0.038512529395326255,False,-0.005905866224628298,0.04180021908502418,-0.03442401631542058
epilepsiae_1073,P_local,300.0,participation,3,-0.005979436465063215,0.02895452672977966,0.015470953203216783,False,-0.02990538838653206,-0.0009508616567523998,-0.005979436465063215
epilepsiae_1073,P_local,300.0,continuous,3,-0.00735750478975028,0.006308123430069257,0.003193439635963759,True,-0.009645625271853087,-0.00333750184178383,-0.00735750478975028
epilepsiae_1073,P_local,300.0,continuous:size,3,0.0034427609335054843,0.018776313407189882,0.009398699030879845,False,0.013601742873727618,-0.005174570533462264,0.0034427609335054843
epilepsiae_1073,P_local,300.0,continuous:span,3,-0.0005171291269865375,0.0011170115833534222,0.0006064690018527875,False,-0.0005171291269865375,-0.0006662111863080522,0.00045080039704537
epilepsiae_1073,P_local,300.0,continuous:band_energy,3,0.01753337098766128,0.027439202318291223,0.014381814550845693,False,0.01753337098766128,-0.003658003818126865,0.023781198500164358
epilepsiae_1073,P_local,300.0,continuous:band_peak,3,-0.0014468269228944397,0.004030750420897178,0.0023268679866722416,False,-0.005476583469021135,-0.0014468269228944397,-0.0014458330481239567
epilepsiae_1073,P_local,300.0,continuous:embedding,3,-0.03284006054821842,0.028861994420775305,0.016536496586511972,True,-0.03328513209712347,-0.004423137676348166,-0.03284006054821842
epilepsiae_1073,P_local,7200.0,count,3,0.1531914545682227,0.048818627935116155,0.024653918461172656,True,0.1716004967611049,0.1531914545682227,0.12278186882598874
epilepsiae_1073,P_local,7200.0,participation,3,0.0034482151311377995,0.016000121036235604,0.008029847374353919,False,0.0034482151311377995,0.010251429090329278,-0.005748691945906326
epilepsiae_1073,P_local,7200.0,continuous,3,-0.006247254979372396,0.010446407650862355,0.005541704658087774,False,-0.006247254979372396,0.002183112226121997,-0.008263295424740358
epilepsiae_1073,P_local,7200.0,continuous:size,3,-0.027973032594192704,0.04814022253573835,0.027598556184564648,False,-0.027973032594192704,0.019483616277069293,-0.02865660625866906
epilepsiae_1073,P_local,7200.0,continuous:span,3,-0.0052152265982921,0.006246262674058256,0.003514780142365925,False,-0.0052152265982921,0.0007006077846245518,-0.005545654889433704
epilepsiae_1073,P_local,7200.0,continuous:band_energy,3,-0.009470630194180263,0.0052286012653990355,0.002810740374425351,True,-0.009470630194180263,-0.005068291261310698,-0.010296892526709733
epilepsiae_1073,P_local,7200.0,continuous:band_peak,3,-0.00931700310581518,0.00868050477836757,0.004611117906786927,True,-0.010960247403534185,-0.002279742625166614,-0.00931700310581518
epilepsiae_1073,P_local,7200.0,continuous:embedding,3,0.0012996934492011114,0.011651544884653253,0.005830389443645334,False,0.0012996934492011114,0.007527273736642526,-0.0041242711480107275
epilepsiae_1077,P_local,1800.0,count,3,-0.1909829698306078,0.02135127323307273,0.010677123549589308,True,-0.1799987066199682,-0.1909829698306078,-0.20134997985304093
epilepsiae_1077,P_local,1800.0,participation,3,-0.008972651072266968,0.014624129376073047,0.00790681060565106,False,-0.008972651072266968,-0.021495674583285718,-0.00687154520721267
