horizon_seconds,arm,endpoint,n_subjects,n_positive,median_gain,p_sign,n_dropped_not_estimable,n_dropped_missing,seed_spread_median
300.0,B+S(P_slow_seed3),continuous:band_energy,25,6,-0.005916999603247319,0.01463329792022705,2,0,
300.0,B+S(P_slow_seed3),continuous:band_peak,26,12,-2.2884413361956568e-05,0.8450189828872681,1,0,
300.0,B+S(P_slow_seed3),continuous:embedding,26,5,-0.0022255493405310967,0.002493917942047119,1,0,
300.0,B+shift10(S(P_slow_seed1)),count,0,0,nan,nan,0,27,
300.0,B+shift10(S(P_slow_seed1)),participation,0,0,nan,nan,0,27,
300.0,B+shift10(S(P_slow_seed1)),continuous,0,0,nan,nan,0,27,
300.0,B+shift10(S(P_slow_seed1)),continuous:size,0,0,nan,nan,0,27,
300.0,B+shift10(S(P_slow_seed1)),continuous:span,0,0,nan,nan,0,27,
300.0,B+shift10(S(P_slow_seed1)),continuous:band_energy,0,0,nan,nan,0,27,
300.0,B+shift10(S(P_slow_seed1)),continuous:band_peak,0,0,nan,nan,0,27,
300.0,B+shift10(S(P_slow_seed1)),continuous:embedding,0,0,nan,nan,0,27,
300.0,B+shift2(S(P_local_seed1)),count,25,12,-4.07524982835028e-05,1.0,2,0,
300.0,B+shift2(S(P_local_seed1)),participation,27,7,-0.0007120928504825708,0.0191572904586792,0,0,
300.0,B+shift2(S(P_local_seed1)),continuous,27,6,-0.0015903446803338106,0.005924612283706665,0,0,
300.0,B+shift2(S(P_local_seed1)),continuous:size,27,12,-0.00017968633025344793,0.7011080384254456,0,0,
300.0,B+shift2(S(P_local_seed1)),continuous:span,27,8,-0.0014137269669995955,0.052238985896110535,0,0,
300.0,B+shift2(S(P_local_seed1)),continuous:band_energy,26,10,-0.002275704180023763,0.32693958282470703,1,0,
300.0,B+shift2(S(P_local_seed1)),continuous:band_peak,27,11,-0.0004743507502822375,0.44206833839416504,0,0,
300.0,B+shift2(S(P_local_seed1)),continuous:embedding,27,6,-0.001493778266291379,0.005924612283706665,0,0,
300.0,B+shift2(S(P_slow_seed1)),count,25,8,-0.011122999218421192,0.10775214433670044,2,0,
300.0,B+shift2(S(P_slow_seed1)),participation,27,7,-0.001640428701615626,0.0191572904586792,0,0,
300.0,B+shift2(S(P_slow_seed1)),continuous,27,8,-0.0019668582786567246,0.052238985896110535,0,0,
300.0,B+shift2(S(P_slow_seed1)),continuous:size,27,15,0.00014529560877218906,0.7011080384254456,0,0,
300.0,B+shift2(S(P_slow_seed1)),continuous:span,27,7,-0.000939904206481712,0.0191572904586792,0,0,
300.0,B+shift2(S(P_slow_seed1)),continuous:band_energy,26,11,-0.0016747030018599007,0.557197093963623,1,0,
300.0,B+shift2(S(P_slow_seed1)),continuous:band_peak,27,8,-0.00040864981027577407,0.052238985896110535,0,0,
300.0,B+shift2(S(P_slow_seed1)),continuous:embedding,27,8,-0.0023587791966195315,0.052238985896110535,0,0,
300.0,B+shift2(S(P_slow_seed2)),count,24,11,-0.007145458086879941,0.8388197422027588,3,0,
300.0,B+shift2(S(P_slow_seed2)),participation,26,9,-0.0010737037431913787,0.16863754391670227,1,0,
300.0,B+shift2(S(P_slow_seed2)),continuous,26,5,-0.0025142153886483776,0.002493917942047119,1,0,
300.0,B+shift2(S(P_slow_seed2)),continuous:size,26,13,-7.998265619835188e-05,1.0,1,0,
300.0,B+shift2(S(P_slow_seed2)),continuous:span,26,6,-0.0012643421444427094,0.009355306625366211,1,0,
300.0,B+shift2(S(P_slow_seed2)),continuous:band_energy,25,8,-0.003822729378685441,0.10775214433670044,2,0,
300.0,B+shift2(S(P_slow_seed2)),continuous:band_peak,26,8,-0.0003488784656312527,0.07551869750022888,1,0,
300.0,B+shift2(S(P_slow_seed2)),continuous:embedding,26,3,-0.0032693663629249636,8.797645568847656e-05,1,0,
300.0,B+shift2(S(P_slow_seed3)),count,25,13,3.2882888131524624e-05,1.0,2,0,
300.0,B+shift2(S(P_slow_seed3)),participation,27,9,-0.0011673760280067613,0.12207812070846558,0,0,
300.0,B+shift2(S(P_slow_seed3)),continuous,27,4,-0.0024956529476451994,0.000310748815536499,0,0,
300.0,B+shift2(S(P_slow_seed3)),continuous:size,27,11,-0.000703147051967834,0.44206833839416504,0,0,
300.0,B+shift2(S(P_slow_seed3)),continuous:span,27,6,-0.0012605704068828771,0.005924612283706665,0,0,
300.0,B+shift2(S(P_slow_seed3)),continuous:band_energy,26,7,-0.0032787442010677736,0.028959274291992188,1,0,
300.0,B+shift2(S(P_slow_seed3)),continuous:band_peak,27,8,-0.0006834554366024204,0.052238985896110535,0,0,
300.0,B+shift2(S(P_slow_seed3)),continuous:embedding,27,5,-0.002038522549593802,0.0015137195587158203,0,0,
300.0,B+shift25(S(P_local_seed1)),count,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_local_seed1)),participation,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_local_seed1)),continuous,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_local_seed1)),continuous:size,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_local_seed1)),continuous:span,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_local_seed1)),continuous:band_energy,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_local_seed1)),continuous:band_peak,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_local_seed1)),continuous:embedding,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed1)),count,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed1)),participation,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed1)),continuous,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed1)),continuous:size,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed1)),continuous:span,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed1)),continuous:band_energy,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed1)),continuous:band_peak,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed1)),continuous:embedding,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed2)),count,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed2)),participation,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed2)),continuous,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed2)),continuous:size,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed2)),continuous:span,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed2)),continuous:band_energy,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed2)),continuous:band_peak,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed2)),continuous:embedding,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed3)),count,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed3)),participation,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed3)),continuous,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed3)),continuous:size,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed3)),continuous:span,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed3)),continuous:band_energy,0,0,nan,nan,0,27,
