phase,candidate_id,family,level,n_units,n_pooled_events,D_support,D_order,D_lag,D_cover,E_D_support,E_D_order,E_D_lag,E_D_cover,Z_D_support,Z_D_order,Z_D_lag,Z_D_cover,JK_D_support,JK_D_order,JK_D_lag,JK_D_cover,D_cloud_composite,J_fit_minimax,D_order_status,D_lag_status
screen,dc_both_scale_0p0,both_scale,0.0,4,150,0.3899011330875619,0.31016307455707165,16.542840616425956,10.318061145347137,9.549355062122782,26.876372319932763,14.339767791978035,8.843432768487022,9.549355062122782,26.876372319932763,14.339767791978035,8.843432768487022,0.028268070526609533,0.00991080932616523,0.7057930419274278,0.18165001925210547,2.183084936447222,26.876372319932763,OK,OK
screen,dc_both_scale_0p5,both_scale,0.5,4,172,0.4079057556843984,0.10320985807287657,14.086580741891082,9.603214150438903,8.919756699475789,17.75019751220782,11.762773164161317,7.671532461867933,8.919756699475789,17.75019751220782,11.762773164161317,7.671532461867933,0.009930722254476105,0.023821743369254418,2.6395436535959065,0.43306733889424054,2.2900571260631306,17.75019751220782,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT
screen,dc_both_scale_0p75,both_scale,0.75,4,175,0.39857260412450274,0.13317787636786513,16.678328784893306,11.41105522997449,10.217793120410013,24.14598862534091,16.049813008480598,12.099699463692986,10.217793120410013,24.14598862534091,16.049813008480598,12.099699463692986,0.014543877900645836,0.008509011840732798,0.9488920435624401,0.06355767417348418,2.254785914632633,24.14598862534091,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT
screen,dc_both_scale_1p25,both_scale,1.25,4,111,0.1998276462496015,0.11512955635172632,33.02690156543608,9.22708536827217,4.064082681711107,21.751615012339602,32.15435072651685,4.972332030409035,4.064082681711107,21.751615012339602,32.15435072651685,4.972332030409035,0.0276042258614048,0.006104499669988972,1.992359026928993,0.21851817991845157,1.3563217924868511,32.15435072651685,OK,OK
screen,dc_core_budget_scale_0p75,core_budget_scale,0.75,4,133,0.2964833152457402,0.10632038339243981,28.14152378417181,9.463315530754725,6.921945374897222,17.989237760057133,31.922917129638776,5.693147739236612,6.921945374897222,17.989237760057133,31.922917129638776,5.693147739236612,0.015979971523036256,0.0071023434575559295,0.9690875663860057,0.3314425302588582,1.7619623723034166,31.922917129638776,OK,OK
screen,dc_core_budget_scale_0p875,core_budget_scale,0.875,4,136,0.2951757985888514,0.11503386402270756,27.60930236545151,9.19141356594767,7.045743750343077,23.64961264198369,27.456057429546114,4.761045987981334,7.045743750343077,23.64961264198369,27.456057429546114,4.761045987981334,0.014883466878768193,0.01150911142093363,1.4984354962195794,0.12651054392595057,1.7172145202516855,27.456057429546114,OK,OK
screen,dc_core_budget_scale_1p125,core_budget_scale,1.125,4,153,0.36303728517088313,0.15172612305616281,27.00889118607667,9.470126990556667,7.704705196802592,23.36437879609777,27.107125433537785,6.142943659649753,7.704705196802592,23.36437879609777,27.107125433537785,6.142943659649753,0.019648910647173935,0.010649045368969838,2.8835019690301857,0.1144561285515742,2.038069223501975,27.107125433537785,OK,OK
screen,dc_core_budget_scale_1p25,core_budget_scale,1.25,4,143,0.31264861459097243,0.13062688687780327,28.81242558605619,9.185157652657256,7.65436822443098,20.66911438975873,29.267448799852353,5.6980502667737465,7.65436822443098,20.66911438975873,29.267448799852353,5.6980502667737465,0.007978077446778364,0.006284282177514715,0.7220909794663241,0.14346042157242783,1.7777233905234218,29.267448799852353,OK,OK
screen,dc_ellipse_angle_deg_0p0,ellipse_angle_deg,0.0,4,6,0.24517006061816207,0.23333180561951483,110.1435205692945,15.316445354461061,1.6436924734707101,4.369072930102021,28.409539414944955,8.072279046733856,1.6436924734707101,4.369072930102021,28.409539414944955,8.072279046733856,0.0,,,6.1400060113562605,5.725913469434473,28.409539414944955,OK,OK
screen,dc_ellipse_angle_deg_22p5,ellipse_angle_deg,22.5,4,20,0.2531903894794507,0.2133334073102262,66.13034638327424,13.107335357233143,2.7220372633161616,8.001254072460528,31.78263464126277,6.450433824415836,2.7220372633161616,8.001254072460528,31.78263464126277,6.450433824415836,0.08081123367790605,,,0.09472473144458506,2.6993433910671394,31.78263464126277,OK,OK
screen,dc_ellipse_angle_deg_67p5,ellipse_angle_deg,67.5,4,162,0.43901437634405277,0.11705672645409158,10.795681144461795,10.014861495369477,11.199743255277157,14.766815513678655,7.1089354430083835,7.458222641376513,11.199743255277157,14.766815513678655,7.1089354430083835,7.458222641376513,0.01427929550229902,0.010405513134086747,0.4580343668923299,0.6157193280742816,2.2715485657662473,14.766815513678655,OK,OK
screen,dc_ellipse_angle_deg_90p0,ellipse_angle_deg,90.0,4,0,,,,,,,,,,,,,,,,,,,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT
screen,dc_ellipse_aspect_ratio_1p0,ellipse_aspect_ratio,1.0,4,13,0.3331516177035163,,,11.76102410782117,4.144401623732983,,,3.483983311983338,4.144401623732983,,,3.483983311983338,0.052572126600828335,,,0.478258108470779,2.10424641183416,,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT
screen,dc_ellipse_aspect_ratio_1p5,ellipse_aspect_ratio,1.5,4,132,0.3917829764983833,0.16076266854311644,27.65906435152239,11.655217628606023,8.098209244403545,11.838846638841813,26.416614441419807,11.251037767868999,8.098209244403545,11.838846638841813,26.416614441419807,11.251037767868999,0.005978441908077106,0.005160293419657589,10.024484905798653,0.1065503004758803,2.048810949693189,26.416614441419807,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT
screen,dc_ellipse_aspect_ratio_3p0,ellipse_aspect_ratio,3.0,4,97,0.1830159274164392,0.12870272104015568,26.916071991002283,10.186693348620988,3.314609951996,22.955520267592142,25.370178527390987,7.157835337495861,3.314609951996,22.955520267592142,25.370178527390987,7.157835337495861,0.0037365825593008617,0.008318609118720646,0.6633547112871354,0.21647675131340074,1.395528736983407,25.370178527390987,OK,OK
screen,dc_ellipse_aspect_ratio_4p0,ellipse_aspect_ratio,4.0,0,0,,,,,,,,,,,,,,,,,,,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT
screen,dc_g_EE_0p0,g_EE,0.0,4,160,0.3945100740619727,0.0821987636104254,15.222939197217519,10.140374633672844,9.6538911869218,12.99338395408183,13.658533069675677,8.105816092761986,9.6538911869218,12.99338395408183,13.658533069675677,8.105816092761986,0.01201322149364481,0.011985794763690041,0.2298393036398691,0.8075034095146107,2.2371812018976405,13.658533069675677,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT
screen,dc_g_EE_0p25,g_EE,0.25,4,183,0.375405457771564,0.07734486373684145,23.972487817856045,9.678512423654277,9.271688812191039,19.383668640602636,25.166328292452526,8.51693979554512,9.271688812191039,19.383668640602636,25.166328292452526,8.51693979554512,0.01016206239856632,0.02289666389840591,1.981751692581458,0.3542172557829015,2.160277564612183,25.166328292452526,OK,OK
screen,dc_g_EE_0p75,g_EE,0.75,4,94,0.08628086807856834,0.1317416887247701,32.88926974380429,9.050611129718549,1.120716107403902,28.166362712147205,29.67288300827527,4.060109191026698,1.120716107403902,28.166362712147205,29.67288300827527,4.060109191026698,0.0041598810616625915,0.010988165364346955,2.713510772440685,0.10794090401624679,1.0334473722204007,29.67288300827527,OK,OK
screen,dc_g_EE_1p0,g_EE,1.0,4,97,0.3275286729801401,0.13469423864022192,40.56564746517445,9.872941237179877,6.68417373038435,16.133384635273373,36.867320477958245,6.390237751621103,6.68417373038435,16.133384635273373,36.867320477958245,6.390237751621103,0.014615337963407552,0.009914042922463204,5.516720381790948,0.21108546928089458,1.8727441256577204,36.867320477958245,OK,OK
