candidate_id,seed,ood_all_returned,n_returned,mode_0_in_support,mode_1_in_support,natural_kmeans_alignment,weakest_mode_error
frozen_dualcore_both,2441,0.3595505617977528,89,36,21,0.5614285714285714,3.8769479183787317
frozen_dualcore_both,2442,0.3780487804878049,82,31,20,0.5,1.9324555424389172
frozen_dualcore_both,2443,0.36250000000000004,80,26,25,0.5305555555555556,1.5852258433123287
frozen_dualcore_both,2444,0.34523809523809523,84,37,18,0.7073863636363636,3.1004403044541564
frozen_dualcore_both,2445,0.3421052631578947,76,28,22,0.595959595959596,2.5012841846558427
frozen_dualcore_both,2446,0.4157303370786517,89,34,18,0.6770114942528735,1.3869143538076694
frozen_dualcore_both,2447,0.4204545454545454,88,37,14,0.5666666666666667,3.1658683708803084
frozen_dualcore_both,2448,0.32999999999999996,100,46,21,0.7830882352941176,3.5434373904116265
frozen_dualcore_both,2449,0.3666666666666667,90,38,19,0.6666666666666667,2.4071551001289144
frozen_dualcore_both,2450,0.27380952380952384,84,47,14,0.5071428571428571,1.1472487072587043
frozen_dualcore_both,2451,0.3263157894736842,95,41,23,0.7076923076923077,2.3949587862059594
frozen_dualcore_both,2452,0.29670329670329665,91,43,21,0.5125,3.9721867524982244
frozen_dualcore_node,2441,0.5346534653465347,101,43,4,0.681159420289855,
frozen_dualcore_node,2442,0.44318181818181823,88,37,12,0.6127272727272728,2.0416286142535633
frozen_dualcore_node,2443,0.53125,96,36,9,0.8149350649350648,
frozen_dualcore_node,2444,0.45744680851063835,94,41,10,0.9444444444444444,3.282906260862813
frozen_dualcore_node,2445,0.40476190476190477,84,39,11,0.9545454545454546,3.51065214067655
frozen_dualcore_node,2446,0.4042553191489362,94,39,17,0.6834677419354839,3.7464777591398453
frozen_dualcore_node,2447,0.39560439560439564,91,44,11,0.7797619047619048,3.208343365340158
frozen_dualcore_node,2448,0.43157894736842106,95,36,18,0.8793859649122806,3.649038483948978
frozen_dualcore_node,2449,0.5769230769230769,104,32,12,0.5119047619047619,4.882552139265935
frozen_dualcore_node,2450,0.5638297872340425,94,21,20,0.9545454545454546,3.4404100696888227
frozen_dualcore_node,2451,0.5531914893617021,94,34,8,0.7611111111111111,
frozen_dualcore_node,2452,0.44999999999999996,100,51,4,0.642156862745098,
frozen_dualcore_etoi,2441,0.6074766355140186,107,14,28,0.5980392156862745,4.410220068676327
frozen_dualcore_etoi,2442,0.5643564356435644,101,21,23,0.8666666666666667,3.5455435049865653
frozen_dualcore_etoi,2443,0.48,100,22,30,0.7445054945054945,3.7566857371146862
frozen_dualcore_etoi,2444,0.4222222222222223,90,24,28,0.5493421052631579,1.8143532427810296
frozen_dualcore_etoi,2445,0.49504950495049505,101,25,26,0.5833333333333333,4.071650683819683
frozen_dualcore_etoi,2446,0.49473684210526314,95,18,30,0.5666666666666667,3.961930585945636
frozen_dualcore_etoi,2447,0.45999999999999996,100,23,31,0.6339285714285714,3.0131651475301346
frozen_dualcore_etoi,2448,0.5196078431372548,102,20,29,0.5053475935828877,2.136538053320674
frozen_dualcore_etoi,2449,0.5360824742268041,97,21,24,0.8677884615384616,5.028021792558332
frozen_dualcore_etoi,2450,0.504950495049505,101,16,34,0.7875,2.8401877763563244
frozen_dualcore_etoi,2451,0.48,100,18,34,0.7211538461538461,4.492104252702317
frozen_dualcore_etoi,2452,0.5363636363636364,110,24,27,0.9181286549707601,2.708349295977505
frozen_dualcore_ee,2441,0.25,12,8,1,0.9375,
frozen_dualcore_ee,2442,0.381578947368421,76,29,18,0.65625,2.8818616664680676
frozen_dualcore_ee,2443,0.0,6,6,0,,
frozen_dualcore_ee,2444,0.19999999999999996,10,8,0,0.5,
frozen_dualcore_ee,2445,0.24615384615384617,65,27,22,0.825,2.862417293701024
frozen_dualcore_ee,2446,0.33333333333333337,66,25,19,0.8972222222222221,1.6072958329092577
frozen_dualcore_ee,2447,0.33783783783783783,74,31,18,0.6376811594202898,2.3373698533150593
frozen_dualcore_ee,2448,0.0,19,18,1,0.8461538461538461,
frozen_dualcore_ee,2449,0.3392857142857143,56,25,12,0.5952380952380952,2.5224312498367936
frozen_dualcore_ee,2450,0.0,13,11,2,0.3,
frozen_dualcore_ee,2451,0.125,32,23,5,0.6631578947368422,
frozen_dualcore_ee,2452,0.375,72,23,22,0.7166666666666667,2.4285296639769167
