g,N,period_ms,mean_core_a_e_hz,min_core_a_e_hz,max_core_a_e_hz,orbit_residual,off_grid_defect_hz,min_all_populations_hz,neutral_error,transverse_modulus,floquet_N
1.1263,8192,2306.124078540744,2.9523859129272827,6.5413034747949515e-06,227.5537427099247,4.754204842305487e-12,1.9672444229179575e-08,-5.856163861798563e-10,0.0006349132006995273,9.234397850265719e-15,4096
1.127,4096,1765.926398326852,3.7291993744030227,6.313165738218808e-06,228.1941872086838,5.863365348801608e-14,3.095353610926832e-05,-9.575150903742868e-07,0.00044762249794461084,1.689664016142068e-14,4096
1.128,4096,1419.7729809503578,4.550439014313987,6.6785839760420884e-06,229.13542771562075,3.1306662991170686e-11,1.3928205949698125e-06,-2.541094191238912e-08,0.00032223426639688135,9.56351973154937e-12,4096
1.13,2048,1108.6442307704056,5.759245571885794,5.75676344795702e-06,230.93577600867712,1.1480833644883504e-11,0.00036708262493578836,-1.2042961028061627e-05,0.0002498617652739732,8.178479780739359e-09,2048
1.132,2048,953.4402700949638,6.692491274285958,8.350372338471126e-06,232.79385087649666,3.2037306835208668e-12,7.903818417809294e-05,-1.3209760232909983e-06,0.00023863819504210682,2.2158276222565671e-07,2048
1.135,2048,819.6561541375803,7.833135521211773,9.66251414346487e-06,235.53863977761185,9.228728892196614e-13,6.806551988702836e-06,-3.4093119560354667e-07,0.0002384845202658692,3.53419287399779e-06,2048
1.14,2048,697.1523434887725,9.371203829376208,8.917321543826573e-06,240.01431060833508,4.689304500260505e-12,7.260508166906376e-07,-2.3058585047767498e-08,0.00023881272130399367,4.005585285095534e-05,2048
1.145,1024,625.4299351107273,10.664518079987664,4.28270978572124e-06,244.40137696582622,5.900835375882707e-12,0.0008305117809304097,-2.6937874124243227e-05,0.00023608964135557464,0.00015341321958310127,1024
1.15,2048,577.0086945811329,11.816436594022122,6.271941180796558e-06,248.69518866166194,7.939135460155455e-12,2.4918775376470137e-08,-2.729768755093322e-10,0.00023184158796607512,0.00036155523415867054,1024
