cell	status
c7_u32_h32_lr0.0003_adamw_wd0_b512_teacher_forced_one_step/seed_20260725	complete
c7_u32_h32_lr0.0003_adamw_wd0_b1024_teacher_forced_one_step/seed_20260725	complete
