relpath,size_bytes,mtime,md5
inv/pat_108402/adm_1084102/rec_108400102/backUP_gpu/108400102_0006_gpu.npz,152464,1618855623.46,4fee2cd14c1d32c534cf0d1a40d65b84
inv/pat_108402/adm_1084102/rec_108400102/backUP_gpu/108400102_0007_gpu.npz,172373,1618855623.47,ae611557ef1389858cf58b388e4b3fdf
inv/pat_108402/adm_1084102/rec_108400102/backUP_gpu/108400102_0008_gpu.npz,233610,1618855623.48,fb4cfe53e3c0b2501aa15ee2aef2590f
inv/pat_108402/adm_1084102/rec_108400102/backUP_gpu/108400102_0009_gpu.npz,185996,1618855623.48,b8b254b6908050d829f99ad19dc41f50
inv/pat_108402/adm_1084102/rec_108400102/backUP_gpu/108400102_0010_gpu.npz,244319,1618855623.48,af4beb6566523146fdab7cd2a7b9f0cb
inv/pat_108402/adm_1084102/rec_108400102/backUP_gpu/108400102_0011_gpu.npz,70369,1618855623.49,944426f489261e6b9363d2559b7a61d3
inv/pat_108402/adm_1084102/rec_108400102/backUP_gpu/108400102_0012_gpu.npz,312653,1618855623.5,ca647e719e6398ed42bbc7a353046975
inv/pat_108402/adm_1084102/rec_108400102/backUP_gpu/108400102_0013_gpu.npz,136429,1618855623.5,790fa42049830e83ab2890017d86fbec
inv/pat_108402/adm_1084102/rec_108400102/backUP_gpu/108400102_0014_gpu.npz,55879,1618855623.5,848558a5a19f3c9396fc1a8122053c1f
inv/pat_108402/adm_1084102/rec_108400102/backUP_gpu/108400102_0015_gpu.npz,101611,1618855623.5,50ace8f713cd07e41fd524550809739f
inv/pat_108402/adm_1084102/rec_108400102/backUP_gpu/108400102_0016_gpu.npz,88650,1618855623.5,47bd8d4e630a14ca67bd9f473ae9c97f
inv/pat_108402/adm_1084102/rec_108400102/sub_refineGpu.npz,2642,1618815092.76,3afbd057f76e7745e10fbbc1973551fe
inv/pat_108402/adm_1084102/rec_108401102/108401102_0000.head,668,1618042134.0,12d509b622da0cd4fe460d9123e99a17
inv/pat_108402/adm_1084102/rec_108401102/108401102_0000_gpu.npz,208475,1618836020.03,341ab71a22d72b376d7cff86b6922adb
inv/pat_108402/adm_1084102/rec_108401102/108401102_0001.head,668,1618042332.0,e36a142db763d234815793fc25209f16
inv/pat_108402/adm_1084102/rec_108401102/108401102_0001_gpu.npz,330055,1618836109.68,5539e53685e2d08e764713846099a1ec
inv/pat_108402/adm_1084102/rec_108401102/108401102_0002.head,668,1618042528.0,44a2e19faa29b673d6efdac79345efd3
inv/pat_108402/adm_1084102/rec_108401102/108401102_0002_gpu.npz,234137,1618836198.82,abe63c561d29dd9f85234845f139bb77
inv/pat_108402/adm_1084102/rec_108401102/108401102_0003.head,668,1618042728.0,936e87e64c93f8c6ed714b3ffc224b39
inv/pat_108402/adm_1084102/rec_108401102/108401102_0003_gpu.npz,234683,1618836285.19,90e203dc4e5c656cdc4c448908da6a51
inv/pat_108402/adm_1084102/rec_108401102/108401102_0004.head,668,1618042928.0,b7588a03c5fb25c670d64d0dc3cae465
inv/pat_108402/adm_1084102/rec_108401102/108401102_0004_gpu.npz,306781,1618836370.08,9127cf0f8c776e9ee826fec45a8eb570
inv/pat_108402/adm_1084102/rec_108401102/108401102_0005.head,668,1618043134.0,17cc5dc57c8db687c774b15cd9b1b21b
inv/pat_108402/adm_1084102/rec_108401102/108401102_0005_gpu.npz,267313,1618836456.41,d8eff142f5291bb8b644a5caea6194a4
inv/pat_108402/adm_1084102/rec_108401102/108401102_0006.head,668,1618043346.0,d5f1e1b30b4c4801d3856c97ee992bc9
