candidate,stage,topology,noise,comparison,description,physical_status,duration_ms,primary,TA,TB,n_all_detected,n_TA_all,n_TB_all,detection_rate_per_s,detection_interval_median_ms,detection_interval_min_ms,detection_interval_cv,detection_interval_below_250ms_fraction,qualifying_duration_median_ms,excluded_overlapping,excluded_prolonged,excluded_insufficient,coreAE_rate_hz,coreBE_rate_hz,surroundE_rate_hz,allI_rate_hz,L_search,L_off,L_off_A,L_off_B,L_D16,D_mask_off,rotation_time_fraction,rotation_tracks_per_minute,max_fixed_ring_turns
curve_circle_out1_EI0.75,response,2511,847402,curve_circle_out1_EI1,圆核｜向外EE×1，核内EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,166,57,109,178,59,119,3.0427350427350426,310.0,236.0,0.21038783124188265,0.03389830508474576,84.0,12,0,0,16.355626780626782,16.094869491095906,11.194427231757771,24.78714316239316,4.57528534529575,5.609160800632926,5.678670663082242,0.06950986244931472,6.330325623544567,0.23063868597303627,0.0,0.0,0.5956596686882488
curve_circle_out1_EI0.75,response,2712,847402,curve_circle_out1_EI1,圆核｜向外EE×1，核内EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,171,68,103,177,72,105,3.0256410256410255,321.0,238.0,0.1688154533678475,0.017045454545454544,78.0,6,0,0,17.73066131399465,18.658714424178342,11.384092992531478,25.28178846153846,4.110042891204332,4.830196689866786,4.90176199869402,0.07156530882723518,5.595050927957862,0.2207707072019648,0.0017586206896551724,2.0689655172413794,0.6832802756791292
curve_circle_out1_EI1,response,2511,847402,curve_circle_out1_EI1,圆核｜向外EE×1，核内EI×1,COMPLETE_NO_RUNAWAY,60000.0,107,12,95,153,12,141,2.6153846153846154,333.0,212.0,0.43718803649013793,0.18421052631578946,88.0,46,0,0,9.206006647673314,5.549911304628286,8.188063855429105,18.062918803418803,8.771516710656446,15.636531623450942,15.748717929341197,0.11218630589025504,16.38677754409202,0.1241632804807169,0.01293103448275862,15.517241379310345,0.8134039625293681
bridge_circle_degree150,response,2712,847401,curve_circle_out1_EI1,圆核｜向外EE×1，核内EI×1，向外边数×1.5,COMPLETE_NO_RUNAWAY,60000.0,167,88,79,173,91,82,2.9572649572649574,318.0,234.0,0.21038130755171866,0.01744186046511628,84.0,6,0,0,12.165954415954417,15.668208652744735,12.316803275005167,26.695826923076925,2.953025020335125,2.6566804753261364,2.725433703824409,0.0687532284982724,3.374292297776855,0.21161919971949605,0.0018620689655172414,2.0689655172413794,0.5956384959004514
bridge_circle_out125,response,2712,847401,curve_circle_out1_EI1,圆核｜向外EE×1.25，核内EI×1,COMPLETE_NO_RUNAWAY,60000.0,166,76,90,172,81,91,2.9401709401709404,322.0,232.0,0.20167480664617699,0.017543859649122806,78.0,6,0,0,10.364607614607616,13.59674861221253,11.317195911635975,24.755931623931623,4.184564707276763,6.125867646375415,6.201853026443405,0.0759853800679901,6.914215964580812,0.14609518880408434,0.002206896551724138,2.0689655172413794,0.6840640519918485
curve_ellipse4_out1_EI1,response,2511,847402,curve_ellipse4_out1_EI1,椭圆4:1｜向外EE×1，核内EI×1,COMPLETE_NO_RUNAWAY,60000.0,108,18,90,145,19,126,2.4786324786324787,336.0,210.0,0.4783398153429645,0.1527777777777778,90.0,37,0,0,10.560066476733144,4.6225723961573015,7.394547804528812,16.370326923076924,9.493169564024573,16.34343862642009,16.432871082621332,0.08943245620124002,16.94710770577846,0.17212215411199783,0.004413793103448276,5.172413793103448,0.7553738163987728
curve_ellipse4_out1_EI0.75,response,2711,847401,curve_ellipse4_out1_EI1,椭圆4:1｜向外EE×1，核内EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,171,50,121,173,50,123,2.9572649572649574,320.0,244.0,0.20784134147389974,0.005813953488372093,90.0,2,0,0,15.689580631214872,17.126424501424502,11.979856229946652,26.22343803418803,6.490527873194772,8.597548095945887,8.655993476400823,0.05844538045493605,9.222183099558016,0.2854813410098944,0.0,0.0,0.6481575478347532
bridge_circle_degree150,response,2711,847401,curve_circle_out1_EI1,圆核｜向外EE×1，核内EI×1，向外边数×1.5,COMPLETE_NO_RUNAWAY,60000.0,164,90,74,186,100,86,3.1794871794871793,298.0,234.0,0.18643611700498794,0.05405405405405406,86.0,22,0,0,10.957553183234118,13.930450812803754,13.577258487921691,29.16438247863248,3.28780794216737,2.0885345782208216,2.1572278928813953,0.06869331466057373,2.7926410534917023,0.29222670305142084,0.0007241379310344827,1.0344827586206897,0.5161248845046995
bridge_circle_out125_xminus075,response,2711,847401,bridge_circle_out125,圆核｜向外EE×1.25，核内EI×1，左核x偏移-0.75mm,COMPLETE_NO_RUNAWAY,60000.0,144,78,66,195,112,83,3.3333333333333335,287.0,204.0,0.1865702990642393,0.13402061855670103,82.0,51,0,0,10.012670188549587,13.165619239148652,11.97860885257226,26.148181623931624,2.552768234358081,2.694474829222413,2.7777659505636128,0.08329112134119929,3.444094921293207,0.15702336233644432,0.0017586206896551724,2.0689655172413794,0.7313858550036358
curve_ellipse4_out1_EI1,response,2511,847401,curve_ellipse4_out1_EI1,椭圆4:1｜向外EE×1，核内EI×1,COMPLETE_NO_RUNAWAY,60000.0,106,16,90,148,16,132,2.52991452991453,334.0,172.0,0.45712412118512413,0.1564625850340136,88.0,42,0,0,11.307264957264957,4.349229386965236,7.5044800565135885,16.590220085470087,9.675873039110542,16.84583562174562,16.932210431951546,0.0863748102059219,17.418068739359853,0.16320050849983725,0.005724137931034483,8.275862068965518,0.7933432067381746
curve_ellipse4_out1_EI0.75,response,2511,847401,curve_ellipse4_out1_EI1,椭圆4:1｜向外EE×1，核内EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,158,32,126,158,32,126,2.700854700854701,338.0,250.0,0.28010566203246945,0.0,90.0,0,0,0,14.032122507122509,14.109152901605732,10.38482529542848,22.832681623931624,8.32978971307486,12.852869268390128,12.90423038653823,0.05136111814810147,13.36006031010263,0.24791669305361086,0.0,0.0,0.39992311224094856
