candidate,stage,topology,noise,comparison,description,physical_status,duration_ms,primary,TA,TB,n_all_detected,n_TA_all,n_TB_all,detection_rate_per_s,detection_interval_median_ms,detection_interval_min_ms,detection_interval_cv,detection_interval_below_250ms_fraction,qualifying_duration_median_ms,excluded_overlapping,excluded_prolonged,excluded_insufficient,coreAE_rate_hz,coreBE_rate_hz,surroundE_rate_hz,allI_rate_hz,L_search,L_off,L_off_A,L_off_B,L_D16,D_mask_off,rotation_time_fraction
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,COMPLETE_NO_RUNAWAY,20000.0,50,24,26,60,34,26,3.2432432432432434,300.0,226.0,0.18106059609993172,0.11864406779661017,82.0,10,0,0,7.3503314635390105,9.526407809426678,11.36108660764579,24.665135135135134,3.0142608505260444,2.9186551475758034,3.169454611500997,0.2507994639251935,3.702403472342033,0.20253389405134792,0.005111111111111111
global_axis_+0,response,2511,847102,global_axis_+0,左移圆核｜全局EE轴偏移+0°,COMPLETE_NO_RUNAWAY,20000.0,39,22,17,62,37,25,3.3513513513513513,282.0,212.0,0.1950027721314944,0.22950819672131148,84.0,23,0,0,8.818969913309536,12.392365411233335,11.587273667690498,25.339175675675676,2.3017263811483812,1.6451843634890297,1.953046552034347,0.3078621885453172,2.395598448068241,0.1926608772938606,0.009333333333333334
global_axis_+0,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+0°,COMPLETE_NO_RUNAWAY,20000.0,53,22,31,61,30,31,3.2972972972972974,299.0,224.0,0.1618419322095806,0.06666666666666667,84.0,8,0,0,8.400888759379326,10.341371020616304,11.298087312637056,24.640324324324325,3.4155493015327067,4.264822817356714,4.49983578819548,0.23501297083876527,5.043303283260125,0.16713187500224636,0.0
global_axis_-15,response,2511,847102,global_axis_+0,左移圆核｜全局EE轴偏移-15°,COMPLETE_NO_RUNAWAY,20000.0,41,23,18,62,36,26,3.3513513513513513,278.0,222.0,0.20187540907552823,0.19672131147540983,82.0,21,0,0,8.71494135645079,11.930356232243025,11.544217831673592,25.055682432432434,2.0162840797630377,2.113963963699942,2.411477765574942,0.2975138018749999,2.8763430810046295,0.12495146407152247,0.018666666666666668
global_axis_-15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移-15°,COMPLETE_NO_RUNAWAY,20000.0,47,23,24,61,33,28,3.2972972972972974,296.0,222.0,0.18338931922895746,0.13333333333333333,84.0,14,0,0,8.36635827201865,10.460552196401254,11.230721677241535,24.354101351351353,2.8673045071583285,3.768300516354036,4.03224645685045,0.2639459404964142,4.543641716562252,0.1280582655720257,0.013333333333333334
