candidate,stage,topology,noise,comparison,description,layer,mode,contact,events,participation,patient_participation,rank_n,rank_mean,rank_median,rank_variance,rank_q05,rank_q95
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL9,50,0.86,0.753313100657562,43,0.43444927165857394,0.2857142857142857,0.107175052686352,0.007142857142857149,0.9285714285714286
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL11,50,1.0,0.8663631765300961,50,0.47652014652014657,0.4423076923076923,0.0971786752780249,0.1065934065934066,0.9285714285714286
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL8,50,0.88,0.8803743045017703,44,0.3588911088911089,0.21428571428571427,0.15412245561747223,0.0,1.0
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL10,50,0.96,0.8796661608497723,48,0.5638736263736264,0.6428571428571429,0.05007698345610433,0.2857142857142857,0.9749999999999999
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL7,50,1.0,0.9031360647445624,50,0.39100732600732596,0.19230769230769232,0.13509288981059558,0.0,0.9285714285714286
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL9,50,1.0,0.8845725847243298,50,0.6028571428571429,0.5714285714285714,0.02431807259795598,0.42857142857142855,0.9230769230769231
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL8,50,1.0,0.8727364693980779,50,0.5619413919413919,0.5,0.03303955507252211,0.35714285714285715,0.9285714285714286
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL6,50,1.0,0.7906929691451694,50,0.516978021978022,0.35714285714285715,0.09164502771281194,0.1478021978021978,1.0
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL7,50,1.0,0.7020738492665655,50,0.5677838827838828,0.4807692307692308,0.036297967905110765,0.42857142857142855,1.0
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL6,50,1.0,0.5341426403641881,50,0.5456410256410257,0.554945054945055,0.029220489709388564,0.35714285714285715,0.8521978021978022
