candidate,noise,mode,model_n,control_n,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,n,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
global_axis_+15,847101,ALL,50,53,0.15301886792452823,-0.005454545454545379,0.0,-0.022606821211224704,-0.07156116686812763,-11.648648512028103,0.0,-2.0,18.685759604653413,0.0012971066975921985,0.0,-3,0.5,8.5,0.0033543362087442574,-0.004194422321533331
global_axis_+15,847101,TA,24,22,0.35037878787878785,-0.00757575757575768,0.0,-0.06290230447275644,0.06531223637215944,-6.569243634599843,0.0,-2.0,-1.4194519655279692,0.005919499647296461,0.0,2,-4.5,11.5,-0.032983392946443146,0.022818319254128028
global_axis_+15,847101,TB,26,31,0.007444168734491274,-0.0034965034965034336,0.0,0.0027295285359801302,-0.06250465968523067,-2.1610525645428424,0.0,-2.0,7.39032967032972,0.004739730914331386,0.0,-5,5.0,3.5,0.40699074699092996,-0.015370509131960364
global_axis_-15,847102,ALL,41,39,-0.14602876797998754,-0.013303769401330379,-0.19512195121951215,-0.027445010997326047,0.07799529659024768,11.418679088754288,0.0,0.0,-0.20095167163162841,-0.010453604016669657,0.0,2,-16.0,-10.0,0.09555992110846567,0.0028220798985644224
global_axis_-15,847102,TA,23,22,-0.22332015810276684,-0.01976284584980237,-0.34782608695652173,0.012510414336732528,0.04631439383452973,6.862874136125356,0.0,0.0,1.11044169527122,0.0034762864696336465,0.0,1,-37.0,-17.0,-0.04890931070761795,0.047435875094110624
global_axis_-15,847102,TB,18,17,-0.0490196078431373,-0.005050505050505083,0.0,-0.001333148618182206,0.014756330279688423,-3.4089070634499876,0.0,-3.0,-7.045777424329572,-0.013131005444715155,1.0,1,32.0,7.0,0.3984610794445347,-0.05974657036577491
global_axis_-15,847101,ALL,47,53,-0.0786832597350462,-0.011605415860735047,-0.23404255319148937,-0.012973685541089047,0.047496021157316604,30.702644620263527,0.0,2.0,7.976666666663732,-0.009888834523663584,0.0,-6,-10.0,3.0,0.09056461996962462,0.008982189966394105
global_axis_-15,847101,TA,23,22,-0.1758893280632411,-0.01976284584980237,-0.4782608695652174,0.039541143698081566,0.040317390971087746,9.681563643689515,0.0,0.0,2.4533449661698796,0.0006868083100184802,0.0,1,-58.5,-15.0,-0.12115369356747596,0.008943674988126094
global_axis_-15,847101,TB,24,31,0.0571236559139785,-0.0037878787878787845,0.0,0.0063620071684587776,0.044854402768067236,-3.369410927478384,0.0,0.0,-8.79088946100137,-0.012890162791766607,0.0,-7,28.0,7.0,0.23342312777460172,0.010540684609287587
