z,alpha_G,trace,crossing_index,crossing_time_ms,period_ms,transversality_per_ms,crossing_clean,finite_full_rhs,transfer_support,natural_bounds,below_100hz,section_rE,section_rI,section_sEE,section_sEI,section_sIE,section_sII,section_rE_fast,section_mu_G,section_S_G
0.85,15.0,scout,0,328.19621260031045,,0.0061481634403362535,True,True,True,True,True,0.026562424876178353,0.018113570358664597,0.032181275715133933,0.07169631739567962,0.032181275715133933,0.07169631739567962,0.046613028141795014,0.6418530752269003,0.15
0.85,15.0,scout,1,933.0938116571757,604.8975990568653,0.006148166741055096,True,True,True,True,True,0.026562401820373675,0.018113489631606916,0.03218124835950906,0.07169630500233577,0.03218124835950906,0.07169630500233577,0.04661304149132803,0.6418533392844077,0.15
0.85,15.0,scout,2,1537.9914496932902,604.8976380361145,0.006148172484232757,True,True,True,True,True,0.026562317080533127,0.018113297018143116,0.03218114695164782,0.07169619723478125,0.03218114695164782,0.07169619723478125,0.04661301102865632,0.6418537987386206,0.15
0.85,15.0,scout,3,2142.889076926791,604.8976272335008,0.006148170163459215,True,True,True,True,True,0.026562322758641416,0.018113340356050917,0.03218115348533606,0.0716961827735926,0.03218115348533606,0.0716961827735926,0.04661298910303928,0.6418536130767372,0.15
0.85,15.0,scout,4,2747.7866661081457,604.8975891813548,0.00614816452609236,True,True,True,True,True,0.0265623775047522,0.018113496328214945,0.03218121873106003,0.07169623486082317,0.03218121873106003,0.07169623486082317,0.04661298485708793,0.6418531620873889,0.15
0.85,15.0,scout,5,3352.68422065029,604.8975545421445,0.006148163420771751,True,True,True,True,True,0.02656243363131275,0.018113582468843082,0.032181286280368884,0.07169633851758592,0.032181286280368884,0.07169633851758592,0.046613038276507625,0.64185307366174,0.15
0.85,15.0,scout,6,3957.5818422943585,604.8976216440683,0.006148164667157613,True,True,True,True,True,0.026562421258943467,0.018113546099540537,0.03218127151950116,0.07169632233457766,0.03218127151950116,0.07169632233457766,0.04661303898291857,0.641853173372609,0.15
0.85,15.0,scout,7,4562.479458513813,604.8976162194549,0.0061481692075237415,True,True,True,True,True,0.026562371810401133,0.01811341433723961,0.032181212507195085,0.07169627179263403,0.032181212507195085,0.07169627179263403,0.04661303613941817,0.6418535366018994,0.15
0.85,15.0,scout,8,5167.377098551234,604.8976400374204,0.006148174937749044,True,True,True,True,True,0.0265622930474271,0.018113230704499876,0.03218111831690808,0.07169617830394442,0.03218111831690808,0.07169617830394442,0.0466130126304161,0.6418539950199236,0.15
0.85,15.0,scout,9,5772.2747249927925,604.8976264415587,0.0061481669852402705,True,True,True,True,True,0.026562349847506755,0.018113422144834607,0.032181185713780716,0.07169619937899363,0.032181185713780716,0.07169619937899363,0.04661298203918276,0.6418533588192217,0.15
0.85,15.0,scout,10,6377.172291322379,604.8975663295869,0.006148163573478577,True,True,True,True,True,0.026562408371503775,0.01811354897667324,0.03218125583246236,0.07169628728967894,0.03218125583246236,0.07169628728967894,0.04661300989759526,0.6418530858782862,0.15
0.85,15.0,scout,11,6982.069882683473,604.8975913610939,0.006148163434365815,True,True,True,True,True,0.026562427549338664,0.018113573382868436,0.032181278939370166,0.07169632153939633,0.032181278939370166,0.07169632153939633,0.046613031198964296,0.6418530747492652,0.15
0.85,15.0,scout,12,7586.96748608429,604.8976034008165,0.0061481664736941204,True,True,True,True,True,0.026562404681060085,0.018113496753714903,0.03218125177295032,0.07169630634548327,0.03218125177295032,0.07169630634548327,0.0466130416030076,0.6418533178955297,0.15
0.85,15.0,scout,13,8191.865122694581,604.8976366102916,0.006148172078382294,True,True,True,True,True,0.0265623236782255,0.018113311805015173,0.032181154853019124,0.07169620755805534,0.032181154853019124,0.07169620755805534,0.04661301395753464,0.6418537662705835,0.15
0.85,15.0,scout,14,8796.762752358141,604.8976296635601,0.006148170642442237,True,True,True,True,True,0.026562319821376,0.018113329943341538,0.032181150010001665,0.07169618386487657,0.032181150010001665,0.07169618386487657,0.046612991553758254,0.641853651395379,0.15
0.85,15.0,scout,15,9401.66034449615,604.8975921380079,0.006148164763724937,True,True,True,True,True,0.026562375265264847,0.018113490157122568,0.03218121606299303,0.07169623351208353,0.03218121606299303,0.07169623351208353,0.04661298510104179,0.6418531810979949,0.15
0.85,15.0,scout,16,10006.557900426056,604.897555929907,0.00614816342369659,True,True,True,True,True,0.026562432617983935,0.018113580001333496,0.03218128505894137,0.07169633322303501,0.03218128505894137,0.07169633322303501,0.04661303701680175,0.6418530738957272,0.15
0.85,15.0,scout,17,10611.455520745867,604.8976203198108,0.006148164550166843,True,True,True,True,True,0.02656242469412023,0.018113552032407797,0.03218127564834231,0.07169632768543852,0.03218127564834231,0.07169632768543852,0.046613041610207,0.6418531640133475,0.15
0.85,15.0,scout,18,11216.353138178294,604.8976174324271,0.0061481688977419475,True,True,True,True,True,0.02656237746926757,0.018113425536826676,0.03218121928982715,0.07169627792827843,0.03218121928982715,0.07169627792827843,0.046613038960460956,0.6418535118193558,0.15
0.85,15.0,scout,19,11821.250780263577,604.8976420852832,0.0061481754291090925,True,True,True,True,True,0.026562286205809523,0.018113214384662617,0.03218111013109901,0.07169616884935133,0.03218111013109901,0.07169616884935133,0.046613010475185,0.6418540343287275,0.15
0.85,16.0,scout,0,333.41715695103676,,0.006124359147512222,True,True,True,True,True,0.02561072584424506,0.017349302012989325,0.031029394670569612,0.06975287456931295,0.031029394670569612,0.06975287456931295,0.04522754918908529,0.6399487318009778,0.15
