z,alpha_G,outcome,stable_periodic_orbit,failed_gates,scout_crossing_count,scout_period_mean_ms,scout_period_cv,minimum_transversality_per_ms,base_final_residual,base_last_four_period_cv,base_aligned_cycle_residual,half_final_residual,dt_period_difference_ms,dt_aligned_waveform_residual,rho_max,unit_circle_margin,required_margin,return_battery_pass,fast_family_pass,pool_family_pass,period_ms,peak_rE_hz,above_80hz_occupancy,above_100hz_occupancy
0.85,15.0,periodic_orbit_numerically_unresolved,False,floquet_epsilon_dt_or_margin,20,604.8976088243825,4.46485320733518e-08,0.006148163420771751,5.294615560291392e-16,9.0016538892053e-09,2.7211788780307483e-06,5.564033549792303e-14,0.5246864323819409,0.014947285838116416,,,,True,True,True,604.8976402796103,98.16253028891036,0.01652892561983471,0.0
0.85,16.0,periodic_orbit_numerically_unresolved,False,floquet_epsilon_dt_or_margin,20,608.5184513228884,4.195121962413588e-08,0.006124357020712061,9.821892574339274e-15,2.91402383664483e-09,1.687036792872649e-05,2.904691195218282e-12,0.5385484890928183,0.01562972114977758,,,,True,True,True,608.5185032687947,96.34612287047744,0.015198192647360855,0.0
