z,alpha_G,phase_id,phase_fraction,history,family,history_valid,return_index,return_time_ms,return_distance,transversality_per_ms
0.85,15.0,phase_000,0.0,phase_anchor,anchor,True,1,604.8976402796103,3.0517374218650946e-15,0.006148167545559675
0.85,15.0,phase_000,0.0,phase_anchor,anchor,True,2,1209.7952805592206,9.96108699761164e-16,0.006148167545559677
0.85,15.0,phase_000,0.0,phase_anchor,anchor,True,3,1814.692920838831,3.0517374218650946e-15,0.006148167545559675
0.85,15.0,phase_000,0.0,phase_anchor,anchor,True,4,2419.5905611184417,9.96108699761164e-16,0.006148167545559677
0.85,15.0,phase_000,0.0,phase_anchor,anchor,True,5,3024.488201398052,3.0517374218650946e-15,0.006148167545559675
0.85,15.0,phase_000,0.0,phase_anchor,anchor,True,6,3629.3858416776625,9.96108699761164e-16,0.006148167545559677
0.85,15.0,phase_000,0.0,phase_anchor,anchor,True,7,4234.283481957273,3.0517374218650946e-15,0.006148167545559675
0.85,15.0,phase_000,0.0,phase_anchor,anchor,True,8,4839.181122236883,9.96108699761164e-16,0.006148167545559677
0.85,15.0,phase_000,0.0,fast_direction_1,fast,True,1,605.6082561880703,7.545448772227032e-07,0.006148170200707954
0.85,15.0,phase_000,0.0,fast_direction_1,fast,True,2,1210.5059380653133,1.3739763482718358e-09,0.006148167534197097
0.85,15.0,phase_000,0.0,fast_direction_1,fast,True,3,1815.4035783898378,1.4594591191910129e-12,0.006148167545547355
0.85,15.0,phase_000,0.0,fast_direction_1,fast,True,4,2420.3012186694937,2.9325003452442098e-15,0.006148167545559667
0.85,15.0,phase_000,0.0,fast_direction_1,fast,True,5,3025.198858949104,2.807598428115887e-15,0.006148167545559675
0.85,15.0,phase_000,0.0,fast_direction_1,fast,True,6,3630.0964992287145,9.96108699761164e-16,0.006148167545559677
0.85,15.0,phase_000,0.0,fast_direction_1,fast,True,7,4234.994139508325,3.0517374218650946e-15,0.006148167545559675
0.85,15.0,phase_000,0.0,fast_direction_1,fast,True,8,4839.891779787936,9.96108699761164e-16,0.006148167545559677
