z,alpha_G,time_step,period_1_ms,period_2_ms,closure_residual,second_closure_residual,aligned_cycle_residual,all_crossing_audits_clean
0.85,15.0,base,604.8976402796103,604.8975730277431,3.0517374218650946e-15,7.115788025603225e-07,2.7211788780307483e-06,True
0.85,15.0,half,604.37292138238,604.3729190602095,1.2347369874712462e-15,4.969307882781056e-08,1.0967044192849252e-06,True
0.85,16.0,base,608.5185032687947,608.5184500822387,1.0184751736389487e-15,7.439338589148083e-07,1.687036792872649e-05,True
0.85,16.0,half,607.979936150751,607.9799202220968,1.6635094502769497e-14,5.7682299278360715e-08,7.348531913467198e-06,True
