candidate,stage,topology,noise,comparison,description,physical_status,duration_ms,primary,TA,TB,n_all_detected,n_TA_all,n_TB_all,detection_rate_per_s,detection_interval_median_ms,detection_interval_min_ms,detection_interval_cv,detection_interval_below_250ms_fraction,qualifying_duration_median_ms,excluded_overlapping,excluded_prolonged,excluded_insufficient,coreAE_rate_hz,coreBE_rate_hz,surroundE_rate_hz,allI_rate_hz,L_search,L_off,L_off_A,L_off_B,L_D16,D_mask_off
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,COMPLETE_NO_RUNAWAY,60000.0,156,68,88,182,83,99,3.111111111111111,300.0,204.0,0.2376414397592141,0.0718232044198895,82.0,26,0,0,11.722293447293449,12.257078351417974,9.638203879935494,21.508935897435897,4.05230565526715,4.802694270179181,4.879605026385066,0.07691075620588556,5.552574143186565,0.2150414188255373
follow_circle_out1.125_EI0.75,response,2511,847102,follow_circle_out1.125_EI1,圆核｜离核EE×1.125，同核EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,169,73,96,183,78,105,3.128205128205128,307.0,232.0,0.19169487953101605,0.04945054945054945,86.0,14,0,0,17.763841405508074,17.629852327965537,12.813342826899706,27.941997863247863,4.512551400336651,4.22173818241916,4.2891040587706275,0.06736587635146749,4.9332902513815355,0.3128250437614465
up3__circle__EE_core_to_out_scale_1.25__x_minus075,response,2511,847101,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,COMPLETE_NO_RUNAWAY,60000.0,140,68,72,192,109,83,3.282051282051282,296.0,216.0,0.1849683300409848,0.13612565445026178,84.0,52,0,0,8.23721980325754,11.34863040523418,11.282748688371967,24.632636752136754,2.870836478856572,3.130383728795702,3.2183866634095297,0.08800293461382774,3.900409406666695,0.1700634309969995
follow_ellipse4_out1.25_EI0.875,response,2511,847102,up3__ellipse4__EE_core_to_out_scale_1.25,椭圆4:1｜离核EE×1.25，同核EI×0.875,COMPLETE_NO_RUNAWAY,60000.0,160,30,130,171,30,141,2.923076923076923,315.0,238.0,0.2521549007007518,0.029411764705882353,90.0,11,0,0,15.879107312440647,13.314004653627295,12.632427134359155,27.212758547008548,9.340413683555107,13.877462748856075,13.924113061671362,0.04665031281528669,14.34396587700894,0.31282504376144626
follow_ellipse4_out1.125_EI0.75,response,2511,847101,follow_ellipse4_out1.125_EI1,椭圆4:1｜离核EE×1.125，同核EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,156,36,120,164,38,126,2.8034188034188032,340.0,238.0,0.242890616837315,0.024539877300613498,90.0,8,0,0,15.552635327635327,15.889142304236643,12.035391522849771,26.084126068376065,7.922978294926866,11.353551457622569,11.409841025972757,0.05628956835019048,11.902374749036923,0.29257342379208173
up3__ellipse4__EI_same_core_scale_0.75,response,2511,847102,up3__ellipse4,椭圆4:1｜离核EE×1，同核EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,157,31,126,172,31,141,2.9401709401709404,314.0,234.0,0.24864557002947538,0.04678362573099415,90.0,15,0,0,15.52179487179487,15.298984034833092,11.345507040968434,24.88672435897436,8.827480501916533,13.609631499568156,13.658381132622047,0.048749633053892565,14.087987273909476,0.2634570722347327
up3__circle__EE_core_to_out_scale_1.25__y_minus10,response,2511,847101,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜y_minus10,COMPLETE_NO_RUNAWAY,60000.0,143,59,84,181,68,113,3.094017094017094,311.0,222.0,0.20119231472650512,0.08888888888888889,86.0,38,0,0,11.050600109110748,8.855645402815215,11.45079376286352,24.932113247863246,5.48519942806025,8.588900415143701,8.68222485704843,0.0933244419047278,9.422987614667207,0.1550980225788403
up3__circle__EE_core_to_out_scale_1.25__x_minus075,response,2511,847102,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,COMPLETE_NO_RUNAWAY,60000.0,142,76,66,195,106,89,3.3333333333333335,285.0,212.0,0.17934654894122076,0.15463917525773196,84.0,53,0,0,8.691662635058861,11.577763955122446,11.483719343530591,25.091688034188035,2.3889822022318197,2.164050818144709,2.2489002279085337,0.08484940976382489,2.9170893297986544,0.17023434550884953
up3__ellipse4__EE_core_to_out_scale_1.25,response,2511,847102,up3__ellipse4,椭圆4:1｜离核EE×1.25，同核EI×1,COMPLETE_NO_RUNAWAY,60000.0,149,33,116,179,33,146,3.0598290598290596,305.0,226.0,0.23774087859505866,0.0898876404494382,90.0,30,0,0,14.93105413105413,6.952012348238763,11.121741554448345,24.199568376068374,8.44661354573699,13.12546489790855,13.184098277951119,0.05863338004256944,13.67148824955498,0.24538015885898512
follow_ellipse4_out1.125_EI0.875,response,2511,847102,follow_ellipse4_out1.125_EI1,椭圆4:1｜离核EE×1.125，同核EI×0.875,COMPLETE_NO_RUNAWAY,60000.0,159,32,127,172,32,140,2.9401709401709404,322.0,230.0,0.2437990475337192,0.04093567251461988,90.0,13,0,0,15.104534662867996,11.76250374363582,11.444798214134778,24.963726495726494,8.830104011799445,13.638121861171395,13.687009856537935,0.04888799536653948,14.123946315126382,0.2619433209363574
follow_circle_out1.25_EI0.875,response,2511,847102,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×0.875,COMPLETE_NO_RUNAWAY,60000.0,162,69,93,184,78,106,3.1452991452991452,304.0,230.0,0.1903501480676831,0.06557377049180328,86.0,22,0,0,14.947792022792022,15.086046029442254,12.853797958323469,27.899314102564105,4.379256602724957,4.414502679813418,4.485247517093578,0.07074483728016058,5.130794157275044,0.28290904205318057
follow_ellipse4_out1.125_EI0.75,response,2511,847102,follow_ellipse4_out1.125_EI1,椭圆4:1｜离核EE×1.125，同核EI×0.75,COMPLETE_NO_RUNAWAY,60000.0,163,31,132,170,31,139,2.905982905982906,322.0,238.0,0.24610051840382344,0.023668639053254437,90.0,7,0,0,16.174453941120607,16.339323150643907,12.49771756975896,27.068801282051282,8.973960719992213,13.337432034235539,13.384479674450322,0.04704764021478286,13.81672986892364,0.30026380771387273
