candidate,stage,topology,noise,comparison,description,layer,mode,contact,events,participation,patient_participation,rank_n,rank_mean,rank_median,rank_variance,rank_q05,rank_q95
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TA,SCL6,68,1.0,0.8318268135206989,68,0.029223227752639518,0.0,0.0017667853446539199,0.0,0.08333333333333333
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TA,ICL7,68,1.0,0.7187998480820357,68,0.2906382832853422,0.2727272727272727,0.005987650399921623,0.18181818181818182,0.4166666666666667
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TA,ICL6,68,1.0,0.5595898214963919,68,0.43377782348370586,0.45454545454545453,0.004483109867208502,0.36363636363636365,0.5454545454545454
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TA,ICL5,68,1.0,0.7086213444739841,68,0.6160387814799577,0.6363636363636364,0.009572482493031182,0.45454545454545453,0.7943181818181817
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TA,ICL4,68,1.0,0.9535890619065704,68,0.7312320032908268,0.7272727272727273,0.010041134965541109,0.5587121212121212,1.0
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TA,ICL3,68,1.0,0.9640714014432207,68,0.8064125417066593,0.8181818181818182,0.00485516592891074,0.7272727272727273,0.9090909090909091
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TA,ICL2,68,1.0,0.8575769084694265,68,0.8568604598016363,0.9090909090909091,0.028348507291718016,0.39545454545454545,0.9166666666666666
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TA,ICL1,68,1.0,0.7690087352829472,68,0.9777183600713012,1.0,0.006083361349144733,0.7738636363636364,1.0
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TB,SCL9,88,0.8068181818181818,0.6775170325510976,71,1.0,1.0,0.0,1.0,1.0
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TB,ICL11,88,1.0,0.8239212717638152,88,0.8777264402264401,0.8571428571428571,0.0039000243160307252,0.85,1.0
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TB,SCL8,88,0.7727272727272727,0.8310370931112794,68,0.9232385261797029,0.9285714285714286,0.0003523355822943864,0.8571428571428571,0.9285714285714286
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TB,ICL10,88,1.0,0.8405753217259652,88,0.7604223428087065,0.7142857142857143,0.007888523152329682,0.7142857142857143,0.9708333333333327
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TB,SCL7,88,0.8409090909090909,0.8449659348978047,74,0.7478714978714979,0.7857142857142857,0.022950892061233776,0.49583333333333346,0.7857142857142857
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TB,ICL9,88,1.0,0.8514761544284632,88,0.6143733160778614,0.5714285714285714,0.010809405905566605,0.5714285714285714,0.8333333333333334
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TB,ICL8,88,1.0,0.8535957607872824,88,0.5112113265522357,0.5,0.008718056720480436,0.47045454545454546,0.7272727272727273
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TB,SCL6,88,1.0,0.7087055261165783,88,0.5999984863621228,0.6428571428571429,0.019710779761857214,0.24545454545454556,0.6428571428571429
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TB,ICL7,88,1.0,0.6687358062074186,88,0.46083461992552904,0.42857142857142855,0.009174490489022353,0.42857142857142855,0.6954545454545447
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TB,ICL6,88,1.0,0.4834216502649508,88,0.39444551660460747,0.35714285714285715,0.008736664362068542,0.35714285714285715,0.6363636363636364
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TB,ICL5,88,1.0,0.6319454958364875,88,0.3233215647988375,0.2857142857142857,0.011736261668612826,0.2857142857142857,0.45454545454545453
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TB,ICL4,88,1.0,0.851778955336866,88,0.24970105651923832,0.21428571428571427,0.013073680344105843,0.21428571428571427,0.41212121212121106
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TB,ICL3,88,1.0,0.863890991672975,88,0.10291602337056881,0.07142857142857142,0.008171250497497918,0.07142857142857142,0.1499999999999999
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TB,ICL2,88,1.0,0.8146858440575322,88,0.01231060606060606,0.0,0.0059929394519911755,0.0,0.0
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,primary,TB,ICL1,88,1.0,0.7751703255109765,88,0.15384426179880722,0.14285714285714285,0.007604596258007894,0.07142857142857142,0.18181818181818182
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,ALL,SCL9,182,0.46153846153846156,0.753313100657562,84,0.9990842490842491,1.0,7.044237813468571e-05,1.0,1.0
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,ALL,ICL11,182,0.9835164835164835,0.8663631765300961,179,0.6803899080435393,0.8571428571428571,0.07491833457435006,0.18181818181818182,1.0
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,ALL,SCL8,182,0.43956043956043955,0.8803743045017703,80,0.9133241758241759,0.9285714285714286,0.011066949811907386,0.8571428571428571,0.9285714285714286
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,ALL,ICL10,182,0.9835164835164835,0.8796661608497723,179,0.6752744462241669,0.7142857142857143,0.014427014535409219,0.5346153846153846,0.9090909090909091
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,ALL,SCL7,182,0.6153846153846154,0.9031360647445624,112,0.5649692569335426,0.7857142857142857,0.12157264799042665,0.0,0.7857142857142857
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,ALL,ICL9,182,0.9945054945054945,0.8845725847243298,181,0.47478396373423987,0.5714285714285714,0.03882317241537185,0.16666666666666666,0.8181818181818182
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,ALL,ICL8,182,1.0,0.8727364693980779,182,0.3354289940828402,0.5,0.04143145727743905,0.09090909090909091,0.5814393939393936
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,ALL,SCL6,182,1.0,0.7906929691451694,182,0.3401374266758882,0.39015151515151514,0.09257827901775595,0.0,0.6428571428571429
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,ALL,ICL7,182,1.0,0.7020738492665655,182,0.381951381951382,0.42857142857142855,0.01418050755453684,0.18181818181818182,0.5454545454545454
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,ALL,ICL6,182,1.0,0.5341426403641881,182,0.40982681848066455,0.36363636363636365,0.007727339356203083,0.35714285714285715,0.5833333333333334
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,ALL,ICL5,182,1.0,0.6830045523520486,182,0.44998804614189225,0.37412587412587417,0.030803140269109918,0.2857142857142857,0.6666666666666666
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,ALL,ICL4,182,1.0,0.9195751138088012,182,0.46138637004021626,0.2727272727272727,0.06649873578407287,0.21428571428571427,0.75
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,ALL,ICL3,182,1.0,0.9306019221041982,182,0.419949250993207,0.14285714285714285,0.12883423743258426,0.07142857142857142,0.8333333333333334
