candidate,stage,topology,noise,comparison,description,physical_status,duration_ms,primary,TA,TB,n_all_detected,n_TA_all,n_TB_all,detection_rate_per_s,detection_interval_median_ms,detection_interval_min_ms,detection_interval_cv,detection_interval_below_250ms_fraction,qualifying_duration_median_ms,excluded_overlapping,excluded_prolonged,excluded_insufficient,coreAE_rate_hz,coreBE_rate_hz,surroundE_rate_hz,allI_rate_hz,L_search,L_off,L_off_A,L_off_B,L_D16,D_mask_off
up3__circle__EE_core_to_out_scale_0.75,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 0.75,COMPLETE_NO_RUNAWAY,60000.0,3,0,3,3,0,3,0.05128205128205128,12095.0,1272.0,0.8948325754443985,0.0,82.0,0,0,0,2.7376543209876543,3.159075725113461,0.3191528783250573,1.1071858974358975,,,,,,
up3__ellipse4__core_mean_rate_scale_1.0,response,2511,847101,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜核内平均外部输入 × 1.0,COMPLETE_NO_RUNAWAY,60000.0,11,4,7,252,14,238,4.3076923076923075,224.0,180.0,0.11843856690088242,0.8286852589641435,90.0,241,0,0,19.364933523266856,8.282258621881263,12.084389184723195,26.955288461538462,,,,,,
up3__circle__IE_same_core_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 I→E 权重 × 1.25,COMPLETE_NO_RUNAWAY,60000.0,91,12,79,136,12,124,2.324786324786325,336.0,182.0,0.6338494326610663,0.2074074074074074,80.0,45,0,0,6.862250712250712,4.024051420277836,7.314444158965739,16.072700854700855,8.525161395110853,15.071629382664188,15.214963921663173,0.14333453899898504,15.886844573220918,0.12886484808114473
endpoint__out_angle_m15,shape_range,2511,847102,endpoint__out_reference,端点原位｜左核输出方向 −15°,COMPLETE_NO_RUNAWAY,60000.0,127,71,56,180,88,92,3.076923076923077,304.0,194.0,0.28918702055749984,0.16759776536312848,82.0,53,0,0,8.425137463446578,9.23228972285576,8.732504496840093,19.447305555555555,3.1025316493243142,4.234426281112942,4.345774667864677,0.11134838675173513,5.1182541009548395,0.12834016574669094
up3__ellipse4__depth_A_scale_0.75,response,2511,847101,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜A核降阈值幅度 × 0.75,COMPLETE_NO_RUNAWAY,60000.0,95,4,91,143,4,139,2.4444444444444446,319.0,200.0,0.5037426395212482,0.19718309859154928,90.0,48,0,0,11.720465337132005,3.428594466330315,6.9685077804142574,15.42416452991453,13.00105500293416,22.612955076154357,22.666377607927004,0.05342253177264289,22.930151358554426,0.22072289394250544
up3__radius25,confirmation,2611,847201,up3__circle,左核上移3 mm｜左核半径 2.5 mm,COMPLETE_NO_RUNAWAY,60000.0,100,24,76,186,58,128,3.1794871794871793,294.0,198.0,0.3121995513469511,0.3081081081081081,80.0,86,0,0,8.927322927322928,8.854526425954997,10.147574928237054,22.171228632478634,6.129846733539281,10.815130220921557,10.94833625379101,0.13320603286945576,11.647667926355656,0.09407896268751104
up3__radius25_dose_matched,shape_range,2511,847101,up3__circle,左核上移3 mm｜半径 2.5 mm＋降阈值总量匹配,COMPLETE_NO_RUNAWAY,60000.0,99,8,91,147,8,139,2.5128205128205128,325.0,206.0,0.5114420699874653,0.17123287671232876,90.0,48,0,0,10.212430716600055,3.9382357684244473,6.997921309042896,15.717367521367521,11.50729512378376,20.27928421871669,20.347053271528868,0.06776905281218037,20.698605232992055,0.17814017801697013
up3__ellipse4__EI_same_core_scale_0.75,response,2511,847102,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→I 权重 × 0.75,COMPLETE_NO_RUNAWAY,60000.0,157,31,126,172,31,141,2.9401709401709404,314.0,234.0,0.24864557002947538,0.04678362573099415,90.0,15,0,0,15.52179487179487,15.298984034833092,11.345507040968434,24.88672435897436,8.827480501916533,13.609631499568156,13.658381132622047,0.048749633053892565,14.087987273909476,0.2634570722347327
up3__circle__EE_same_core_scale_1.0,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜同核 E→E 权重 × 1.0,COMPLETE_NO_RUNAWAY,60000.0,168,78,90,199,90,109,3.4017094017094016,286.0,232.0,0.13587709528622063,0.07575757575757576,82.0,31,0,0,18.306552706552708,18.8153062870044,11.2477406599484,25.54073717948718,4.269560869902114,3.373880182709113,3.444629392803305,0.07074921009419208,4.116746888698129,0.33639272563156264
up3__ellipse4__EI_same_core_scale_1.25,response,2511,847101,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→I 权重 × 1.25,COMPLETE_NO_RUNAWAY,60000.0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0.8125830959164293,0.8963761605271039,4.478097345999631e-06,0.07611752136752137,,,,,,
up3__out_parallel15,shape_range,2511,847102,up3__out_reference,左核上移3 mm｜左核输出纵向范围 ×1.5,COMPLETE_NO_RUNAWAY,60000.0,132,31,101,172,31,141,2.9401709401709404,322.0,198.0,0.3220554046546936,0.14619883040935672,88.0,40,0,0,8.513342830009497,7.006266270417213,8.901065955096998,19.69139316239316,6.196660820196457,10.555365906474131,10.656746733933385,0.10138082745925424,11.391757733012978,0.11969913354271289
up3__circle__core_ou_correlation_0.5,response,2511,847101,up3__circle,左核上移3 mm｜圆形对照｜两核 OU 输入相关系数 0.5,COMPLETE_NO_RUNAWAY,60000.0,113,16,97,149,17,132,2.547008547008547,340.0,210.0,0.41092799565503935,0.13513513513513514,88.0,36,0,0,8.738509021842356,5.75236712972562,8.063191551173738,17.77255982905983,8.446192428938037,14.81209901685375,14.91302396182611,0.10092494497235965,15.524881440721039,0.13548118058350878
up3__radius25_dose_matched,confirmation,2612,847201,up3__circle,左核上移3 mm｜半径 2.5 mm＋降阈值总量匹配,COMPLETE_NO_RUNAWAY,60000.0,143,6,137,169,6,163,2.888888888888889,301.0,234.0,0.38904785393931435,0.07738095238095238,90.0,26,0,0,11.947203288975441,6.885063805417788,9.26357435095496,20.527117521367522,13.778380813061963,23.378212008374096,23.394627980840248,0.01641597246615331,23.52492976229034,0.2721331963982929
endpoint__out_perp15,shape_range,2511,847102,endpoint__out_reference,端点原位｜左核输出横向范围 ×1.5,COMPLETE_NO_RUNAWAY,60000.0,103,9,94,153,12,141,2.6153846153846154,300.0,192.0,0.6124689261464196,0.20394736842105263,90.0,50,0,0,11.644774130903588,4.665077061303476,7.75128460128952,17.24138675213675,11.63264914590954,20.406866788714822,20.470699120900747,0.06383233218592219,20.817787427161697,0.18615887635294548
endpoint__out_parallel15,shape_range,2511,847102,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,COMPLETE_NO_RUNAWAY,60000.0,133,57,76,182,60,122,3.111111111111111,300.0,206.0,0.29364681037911,0.15469613259668508,88.0,49,0,0,10.412175817724034,7.745317575506255,8.893257528056388,19.77123076923077,5.161003658007846,7.993229576406399,8.094334287990595,0.10110471158419423,8.833662491450013,0.15166452189272783
up3__ellipse4_out_perp20,shape_range,2511,847101,up3__ellipse4,左核上移3 mm｜拉长 4:1＋输出横向 ×2,COMPLETE_NO_RUNAWAY,60000.0,90,5,85,152,22,130,2.5982905982905984,300.0,170.0,0.4991685308920583,0.23178807947019867,90.0,62,0,0,11.4815289648623,4.573478931969498,7.558433292862529,16.650211538461537,13.152366656933966,22.509819373253247,22.55882826947262,0.04900889621937422,22.78549441448723,0.2471484498662101
endpoint__ellipse4_orthogonal,shape_range,2511,847101,endpoint__circle,端点原位｜转90°拉长 4:1,COMPLETE_NO_RUNAWAY,60000.0,141,63,78,177,68,109,3.0256410256410255,313.0,188.0,0.2675601440496817,0.13068181818181818,76.0,36,0,0,12.623468708012961,8.202248485267353,9.82595610568464,21.819846153846154,7.388071479081323,11.764695363380916,11.856322621046385,0.09162725766546903,12.572160571557863,0.19612423800658763
up3__ellipse4__IE_same_core_scale_1.25,response,2511,847101,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜同核 I→E 权重 × 1.25,COMPLETE_NO_RUNAWAY,60000.0,99,19,80,131,20,111,2.2393162393162394,379.0,174.0,0.496508005152812,0.13846153846153847,80.0,32,0,0,7.746367521367522,3.69970281291036,6.703157562414882,14.765585470085469,7.5662073121671165,13.589683240937527,13.727370535743933,0.13768729480640637,14.441623377552165,0.10047228367573763
up3__radius25,confirmation,2611,847202,up3__circle,左核上移3 mm｜左核半径 2.5 mm,COMPLETE_NO_RUNAWAY,60000.0,120,18,102,183,41,142,3.128205128205128,292.0,174.0,0.35442946285355237,0.25824175824175827,76.0,63,0,0,8.24110924110924,8.556950985522414,10.06766261705241,21.949134615384615,7.078258907266802,12.708921819929092,12.821118765067826,0.11219694513873621,13.550398908469614,0.09427647416981727
up3__ellipse4__EE_core_to_out_scale_1.25,response,2511,847101,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜核→外 E→E 权重 × 1.25,COMPLETE_NO_RUNAWAY,60000.0,133,35,98,169,37,132,2.888888888888889,330.0,226.0,0.27353025656170404,0.1130952380952381,88.0,36,0,0,13.745322886989554,6.7080194438685,10.514434307151577,22.896974358974358,7.000298498677386,10.424750712331406,10.500609603131855,0.07585889080044994,11.055327742110144,0.23288139866492552
up3__ellipse4__EE_core_to_out_scale_0.75,response,2511,847101,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜核→外 E→E 权重 × 0.75,COMPLETE_NO_RUNAWAY,60000.0,2,0,2,2,0,2,0.03418803418803419,25548.0,25548.0,,0.0,82.0,0,0,0,1.2913105413105415,2.6712742184440295,0.08596211641597717,0.4421602564102564,,,,,,
endpoint__out_angle_p15,shape_range,2511,847102,endpoint__out_reference,端点原位｜左核输出方向 +15°,COMPLETE_NO_RUNAWAY,60000.0,109,49,60,185,75,110,3.1623931623931623,306.0,194.0,0.2682568920082995,0.25,78.0,76,0,0,8.277072113267621,9.317575506254752,9.75608478018235,21.529307692307693,5.78323128482264,9.280688630446843,9.410604724700635,0.12991609425379297,10.165742022550806,0.14886384636326444
up3__ellipse4__EE_core_to_out_degree_scale_1.5,response,2511,847102,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜核→外 E→E 实际入度 × 1.5,COMPLETE_NO_RUNAWAY,60000.0,159,38,121,172,38,134,2.9401709401709404,316.0,230.0,0.25094435239242563,0.04093567251461988,90.0,13,0,0,15.79017094017094,8.704978459695441,12.9377051878198,27.579897435897436,8.65058964339065,12.54085174909767,12.595494256475735,0.05464250737806733,13.083861666167213,0.31002220082054777
up3__out_reference,confirmation,2611,847202,up3__circle,左核上移3 mm｜离核重采样对照,COMPLETE_NO_RUNAWAY,60000.0,110,9,101,175,9,166,2.9914529914529915,300.0,196.0,0.35681968871997094,0.21839080459770116,88.0,65,0,0,11.674443878417387,5.296921332635618,9.16237015413011,20.047059829059826,9.050593933520577,16.474553139859935,16.568386964025127,0.09383382416519394,17.119660680995644,0.10593659240037123
up3__circle,confirmation,2612,847202,up3__circle,左核上移3 mm｜圆形对照,COMPLETE_NO_RUNAWAY,60000.0,143,29,114,178,38,140,3.0427350427350426,308.0,206.0,0.24785224361795113,0.096045197740113,88.0,35,0,0,10.051780155091413,8.570326428733509,10.256828429482269,22.377673076923077,7.648767233376491,12.338122889726279,12.404145704462838,0.06602281473655791,12.928201796434266,0.1927353281850167
up3__circle__IE_same_core_scale_1.25,response,2511,847101,up3__circle,左核上移3 mm｜圆形对照｜同核 I→E 权重 × 1.25,COMPLETE_NO_RUNAWAY,60000.0,97,16,81,126,18,108,2.1538461538461537,394.0,186.0,0.4985012403669525,0.12,74.0,29,0,0,5.977635327635328,4.259220862994448,7.07303608842675,15.527299145299144,7.694412380588685,13.599278836105377,13.748264418866494,0.14898558276111667,14.502503931594646,0.11654638504774545
up3__ellipse4__core_mean_rate_scale_1.0,response,2511,847102,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜核内平均外部输入 × 1.0,COMPLETE_NO_RUNAWAY,60000.0,13,2,11,251,4,247,4.2905982905982905,222.0,194.0,0.1784123486907772,0.836,90.0,238,0,0,19.61804368471035,8.014168221715392,11.931391630324109,26.615867521367523,,,,,,
up3__ellipse4,confirmation,2611,847202,up3__circle,左核上移3 mm｜沿端点轴拉长 4:1,COMPLETE_NO_RUNAWAY,60000.0,110,15,95,166,16,150,2.8376068376068377,316.0,188.0,0.38477712357484073,0.20606060606060606,88.0,56,0,0,12.823252391464312,4.958093493807779,8.912566075101777,19.523029914529914,10.082057060415824,17.78214070992575,17.858069338782997,0.07592862885725304,18.30415003331936,0.15512895558115536
up3__ellipse4__EE_core_to_out_scale_1.25,response,2511,847102,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜核→外 E→E 权重 × 1.25,COMPLETE_NO_RUNAWAY,60000.0,149,33,116,179,33,146,3.0598290598290596,305.0,226.0,0.23774087859505866,0.0898876404494382,90.0,30,0,0,14.93105413105413,6.952012348238763,11.121741554448345,24.199568376068374,8.44661354573699,13.12546489790855,13.184098277951119,0.05863338004256944,13.67148824955498,0.24538015885898512
up3__ellipse4__II_same_core_scale_0.75,response,2511,847102,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜同核 I→I 权重 × 0.75,COMPLETE_NO_RUNAWAY,60000.0,100,20,80,145,20,125,2.4786324786324787,321.0,210.0,0.5646904941782105,0.1875,88.0,45,0,0,10.350783475783476,4.820628009307255,7.289849328817172,16.270920940170942,8.700934363075454,15.275529173302825,15.373265692863221,0.09773651956039602,15.8863824205553,0.13848048535469348
endpoint__circle,confirmation,2612,847202,endpoint__circle,端点原位｜圆形对照,COMPLETE_NO_RUNAWAY,60000.0,142,15,127,181,21,160,3.094017094017094,296.0,180.0,0.30008563579029435,0.12777777777777777,90.0,39,0,0,10.949032838506522,8.930575815531567,9.721592473669718,21.390482905982903,9.286373833473078,16.01164675241754,16.06537025640095,0.053723503983410845,16.48844285027031,0.16679485513554337
up3__circle__core_mean_rate_scale_1.0,response,2511,847101,up3__circle,左核上移3 mm｜圆形对照｜核内平均外部输入 × 1.0,COMPLETE_NO_RUNAWAY,60000.0,11,3,8,252,10,242,4.3076923076923075,226.0,186.0,0.12715694007417136,0.8565737051792829,90.0,241,0,0,17.005270655270653,8.161494689796577,11.924347023436683,26.599038461538463,,,,,,
up3__circle__EI_same_core_scale_1.25,response,2511,847101,up3__circle,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,COMPLETE_NO_RUNAWAY,60000.0,0,0,0,0,0,0,0.0,,,,,,0,0,0,0.9221747388414056,0.9127099315778561,1.6792865047498619e-06,0.10422435897435897,,,,,,
endpoint__ellipse4,confirmation,2611,847201,endpoint__circle,端点原位｜沿端点轴拉长 4:1,COMPLETE_NO_RUNAWAY,60000.0,75,13,62,217,133,84,3.7094017094017095,208.0,184.0,0.4061503554142026,0.6157407407407407,62.0,142,0,0,10.5008547008547,13.361329147043433,12.385932425950825,27.096517094017095,9.050293373259525,15.642017612426631,15.755912344333106,0.11389473190647406,16.175899168238228,0.16011734650336507
up3__ellipse9,shape_range,2511,847102,up3__circle,左核上移3 mm｜沿端点轴拉长 9:1,COMPLETE_NO_RUNAWAY,60000.0,100,11,89,152,11,141,2.5982905982905984,312.0,204.0,0.5116417184503117,0.2119205298013245,90.0,52,0,0,12.81775878442545,3.9080793420416065,7.3947968986936825,16.393583333333332,11.088732190441748,19.267416951436346,19.332555683981646,0.06513873254529752,19.674534029844455,0.1895204272032892
up3__circle__EE_core_to_out_scale_1.25,response,2511,847102,up3__circle,左核上移3 mm｜圆形对照｜核→外 E→E 权重 × 1.25,COMPLETE_NO_RUNAWAY,60000.0,130,53,77,194,74,120,3.3162393162393164,290.0,208.0,0.1910096589774134,0.18652849740932642,84.0,64,0,0,9.547483380816715,9.546639942866358,11.125093410311827,24.30648504273504,3.963162962521818,5.432300903552669,5.529836813006826,0.09753590945415691,6.224780167867694,0.16242645489061946
endpoint__out_angle_m15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出方向 −15°,COMPLETE_NO_RUNAWAY,60000.0,135,61,74,177,81,96,3.0256410256410255,313.0,208.0,0.27522131685633044,0.11931818181818182,80.0,42,0,0,8.444399281915794,8.667035270808856,8.62781071770941,19.17762606837607,4.109866032232316,6.408601372996596,6.514067048161978,0.10546567516538255,7.298468007204511,0.1179521195753227
up3__out_perp20,confirmation,2612,847202,up3__out_reference,左核上移3 mm｜左核输出横向范围 ×2,COMPLETE_NO_RUNAWAY,60000.0,126,16,110,173,21,152,2.9572649572649574,304.0,222.0,0.3200603714918919,0.14534883720930233,90.0,47,0,0,11.59107941359597,7.470668957394621,9.631530025107224,21.104096153846154,10.799455723446261,18.02616495478007,18.073600575884136,0.04743562110406323,18.39972047097457,0.23267952082926768
up3__ellipse4__depth_A_scale_1.25,response,2511,847101,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜A核降阈值幅度 × 1.25,COMPLETE_NO_RUNAWAY,60000.0,124,43,81,160,47,113,2.735042735042735,330.0,198.0,0.38907583361526854,0.16352201257861634,88.0,36,0,0,9.670584045584045,7.15018315018315,8.65203560311295,19.14680982905983,5.992822448210548,10.066532458779387,10.174626094364896,0.10809363558550915,10.904258134567083,0.12498456394647162
