candidate,stage,topology,noise,comparison,description,layer,mode,n,SCL_any,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,rank_correlation,rank_shared_contacts,lag_joint_n,SCL_minus_ICL_lag_median_ms,SCL_minus_ICL_lag_q05_ms,SCL_minus_ICL_lag_q95_ms,mean_contacts_per_event,pair_order_probability_mae,pair_order_supported_pairs,local_width_ms_n,local_width_ms_mean,local_width_ms_median,local_width_ms_variance,local_width_ms_q05,local_width_ms_q95,recruitment_span_ms_n,recruitment_span_ms_mean,recruitment_span_ms_median,recruitment_span_ms_variance,recruitment_span_ms_q05,recruitment_span_ms_q95,B_minus_A_t10_ms_n,B_minus_A_t10_ms_mean,B_minus_A_t10_ms_median,B_minus_A_t10_ms_variance,B_minus_A_t10_ms_q05,B_minus_A_t10_ms_q95,B_minus_A_t50_ms_n,B_minus_A_t50_ms_mean,B_minus_A_t50_ms_median,B_minus_A_t50_ms_variance,B_minus_A_t50_ms_q05,B_minus_A_t50_ms_q95,first_10pct_mass_core_share_n,first_10pct_mass_core_share_mean,first_10pct_mass_core_share_median,first_10pct_mass_core_share_variance,first_10pct_mass_core_share_q05,first_10pct_mass_core_share_q95,peak_active_components_n,peak_active_components_mean,peak_active_components_median,peak_active_components_variance,peak_active_components_q05,peak_active_components_q95,peak_largest_component_fraction_n,peak_largest_component_fraction_mean,peak_largest_component_fraction_median,peak_largest_component_fraction_variance,peak_largest_component_fraction_q05,peak_largest_component_fraction_q95,union_active_area_mm2_n,union_active_area_mm2_mean,union_active_area_mm2_median,union_active_area_mm2_variance,union_active_area_mm2_q05,union_active_area_mm2_q95,peak_active_area_mm2_n,peak_active_area_mm2_mean,peak_active_area_mm2_median,peak_active_area_mm2_variance,peak_active_area_mm2_q05,peak_active_area_mm2_q95,native_spatial_rms_mm_n,native_spatial_rms_mm_mean,native_spatial_rms_mm_median,native_spatial_rms_mm_variance,native_spatial_rms_mm_q05,native_spatial_rms_mm_q95
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,all_detected,TA,67,0.7611940298507462,0.544776119402985,0.9945725915875169,0.7611940298507462,0.18910120873037023,0.0,15,51,99.31949818207067,-46.717167315181996,105.70899475443548,13.402985074626866,0.4412106016697931,105,67,16.119402985074625,16.0,0.2279511533242877,16.0,17.39999999999999,67,92.71641791044776,124.0,1864.085029398462,28.400000000000002,138.79999999999998,67,56.50317044970346,58.210330578513094,89.70676714203466,45.09428175828744,61.93079074872839,67,47.12024748904662,57.175612903225556,241.96816785203066,18.933971150186743,58.99969841267525,67,0.06931288621074959,0.0736949846468782,0.0006384382077700691,0.01201096546825582,0.09558216516408431,67,2.5074626865671643,2.0,0.6173677069199458,2.0,4.0,67,0.8174240634040484,0.8414542728635682,0.009673829085975694,0.6104101294513151,0.9324476000317251,67,345.1194029850746,387.0,3159.9855269109003,253.9,395.7,67,75.65671641791045,73.0,91.59249208502939,66.0,93.1,67,7.704453824029643,7.9096463259578575,0.27409091421281956,6.793344915220188,8.179433831163065
endpoint__out_parallel15,shape_range,2511,847101,endpoint__out_reference,端点原位｜左核输出纵向范围 ×1.5,all_detected,TB,106,0.9716981132075472,0.9198113207547169,0.9854202401372215,0.9716981132075472,0.20234537395436086,0.5142857142857142,15,103,36.23161332849122,31.397200768345442,107.34783996846562,14.556603773584905,0.3541172738768343,105,106,16.141509433962263,16.0,0.2559748427672956,16.0,18.0,106,94.0,86.0,696.0,62.0,139.5,106,-44.74162455511641,-60.475653073285685,1405.6031352531104,-89.92848057354308,34.77856359649377,106,-41.36795701390323,-60.4131315945815,1595.8148733870062,-67.81789884780301,54.619571872297456,106,0.10843204197854063,0.10053016717920182,0.0018270144022299404,0.06542964693411635,0.18626295693635384,106,1.490566037735849,1.0,0.8618149146451033,1.0,3.75,106,0.9297445501286599,1.0,0.01896867835996555,0.6322768844100607,1.0,106,299.70754716981133,281.0,1678.7041329739443,265.75,391.0,106,77.64150943396227,75.0,77.12740341419587,66.5,97.75,106,7.184994032684194,6.9970909713037175,0.16952385917418736,6.88842672534744,8.004255071939276
up3__ellipse4__core_ou_correlation_0.5,response,2511,847101,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜两核 OU 输入相关系数 0.5,primary,ALL,103,0.9902912621359223,0.9271844660194175,0.9726390114739629,0.9902912621359223,0.14281525569944328,-0.9392857142857142,15,102,36.2766866522461,-12.40199358925165,101.9532715292229,14.184466019417476,0.5529925821970578,105,103,16.04854368932039,16.0,0.10546354464115745,16.0,16.0,103,96.40776699029126,88.0,862.7732724157623,51.2,143.79999999999998,103,-38.25503766197094,-68.26416666666773,4124.726548091008,-111.03524678389854,79.56836287625447,103,-49.31747705662642,-68.38836990595883,2602.7037148935697,-108.6978874130298,66.94174593890803,103,0.08262803122022366,0.08269881556683586,0.0009284797349399201,0.03430090641147596,0.14412518223269763,103,1.3786407766990292,1.0,0.5316961736150769,1.0,3.0,103,0.9568317194965188,1.0,0.008106829430161671,0.7512555699222747,1.0,103,301.56310679611653,282.0,1799.6798020178946,261.4,383.9,103,78.37864077669903,79.0,56.433656957928804,65.0,91.0,103,7.203731060909719,6.950851422767622,0.2742732069177368,6.824839120012939,8.260727600100564
up3__ellipse4__core_ou_correlation_0.5,response,2511,847101,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜两核 OU 输入相关系数 0.5,primary,TA,16,1.0,0.78125,0.9147727272727273,1.0,0.1819752500316496,0.2642857142857143,15,16,92.41898000525543,-28.48909953356315,109.60368906251006,12.6875,0.32992928784184544,105,16,15.9375,16.0,0.0625,15.75,16.0,16,101.0,113.0,2307.733333333333,39.0,164.0,16,79.52882936043858,76.43710511982499,191.08840539623995,65.52320740023333,106.1104835485994,16,23.44270327027425,58.23228262450357,4396.263994533006,-85.62718667873924,75.32455300846459,16,0.04752338384698933,0.042094474687223854,0.0002886037193982827,0.03125484718097369,0.08097766411372562,16,1.8125,2.0,0.42916666666666664,1.0,3.0,16,0.9394860347297197,0.9342167872580827,0.003588845213916297,0.8456342304941163,1.0,16,354.3125,375.0,1574.7625,272.5,385.25,16,80.75,81.0,68.6,64.5,92.0,16,7.811206927371415,8.08265238362872,0.2854496756642392,6.89808735808407,8.283395458058456
up3__ellipse4__core_ou_correlation_0.5,response,2511,847101,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜两核 OU 输入相关系数 0.5,primary,TB,87,0.9885057471264368,0.9540229885057471,0.9832810867293624,0.9885057471264368,0.19588979671153572,0.5071428571428571,15,86,36.20543609176707,29.361428459450053,98.08505496663201,14.459770114942529,0.3754687981843885,105,87,16.06896551724138,16.0,0.11146752205292702,16.0,16.0,87,95.5632183908046,86.0,616.1325848703557,78.0,140.8,87,-59.91643849367844,-69.33688311688456,1803.0852982674621,-111.40913609258146,35.94569767441836,87,-62.69865964548172,-68.6843036978753,1154.0609466449148,-112.23802717578329,25.101479076480338,87,0.08908405832334722,0.09000816136178151,0.0007794454885990286,0.047854687916348566,0.14667417276956926,87,1.2988505747126438,1.0,0.5143009890403635,1.0,3.0,87,0.9600217304881141,1.0,0.00892284456263109,0.740997968511935,1.0,87,291.86206896551727,281.0,1246.9574979951888,260.3,382.1,87,77.94252873563218,78.0,53.72921678695535,65.6,89.50000000000001,87,7.092011361330559,6.941380510329755,0.1942304508891659,6.812191182880805,8.175228730519267
up3__ellipse4__core_ou_correlation_0.5,response,2511,847101,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜两核 OU 输入相关系数 0.5,all_detected,ALL,144,0.9930555555555556,0.9444444444444444,0.9753787878787878,0.9930555555555556,0.14963834092058678,-0.9428571428571427,15,143,36.275916963444615,2.038033330101455,98.65814221827604,14.333333333333334,0.5784904236951209,105,144,16.03472222222222,16.0,0.07570901320901319,16.0,16.0,144,93.375,86.0,664.4178321678322,69.5,137.7,144,-44.70254855913202,-68.32155976835566,3353.6120071788455,-106.77647319688158,78.81301187782736,144,-52.78402260817117,-68.3652916035644,2121.9202143607963,-86.01213872463777,62.954566428725954,144,0.08700098465592412,0.0846888645194554,0.000996394118824113,0.03462728582592644,0.14607301343391965,144,1.2847222222222223,1.0,0.41486985236985235,1.0,2.8499999999999943,144,0.9662527407674931,1.0,0.006597214762534063,0.7946824143011901,1.0,144,296.6041666666667,281.0,1448.9541083916083,265.15,383.0,144,78.66666666666667,78.5,57.94405594405595,67.0,91.0,144,7.147480158853635,6.943866841934659,0.23087924750676544,6.841391667088631,8.259935813487367
up3__ellipse4__core_ou_correlation_0.5,response,2511,847101,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜两核 OU 输入相关系数 0.5,all_detected,TA,18,1.0,0.7777777777777778,0.9090909090909091,1.0,0.1953484969968069,0.22499999999999998,15,18,87.42193282248627,-27.850477269822566,109.15711499293629,12.555555555555555,0.3329086069020313,105,18,15.944444444444445,16.0,0.05555555555555556,15.85,16.0,18,103.44444444444444,114.0,2092.6143790849674,39.4,157.5999999999999,18,79.47719812915729,76.43710511982499,175.82345539178436,65.68473189355663,105.49787575283862,18,27.818940290527987,60.53347143861538,4041.284312142656,-85.56302800442282,73.80194071638496,18,0.045310615319643505,0.042094474687223854,0.0003443942392900584,0.023612214013527436,0.0807481772533109,18,1.7777777777777777,2.0,0.4183006535947712,1.0,3.0,18,0.9369403587012238,0.9342167872580827,0.004040314303145913,0.8272744578387846,1.0,18,355.1111111111111,375.0,1477.5163398692812,273.5,388.15,18,82.38888888888889,81.0,142.83986928104576,64.7,98.44999999999996,18,7.868601092608314,8.130917659299413,0.2799417610870171,6.9050574810586145,8.349541610090617
up3__ellipse4__core_ou_correlation_0.5,response,2511,847101,up3__ellipse4,左核上移3 mm｜沿端点轴拉长 4:1｜两核 OU 输入相关系数 0.5,all_detected,TB,126,0.9920634920634921,0.9682539682539683,0.9848484848484849,0.9920634920634921,0.20439189486880635,0.5071428571428571,15,125,36.1919649195529,31.60153236260303,86.41239392782006,14.587301587301587,0.38650928081040814,105,126,16.047619047619047,16.0,0.0777142857142857,16.0,16.0,126,91.93650793650794,84.0,458.8119365079364,78.0,135.5,126,-62.44251237174477,-69.2726365546232,1274.8284134681755,-108.26734544695069,32.87500000000182,126,-64.29873159369963,-68.45921564575838,808.6682091327027,-89.32412885975509,19.81923672744051,126,0.09295675170396421,0.09308581711933159,0.0008069978120348227,0.05340147006184229,0.14673051691864808,126,1.2142857142857142,1.0,0.37771428571428556,1.0,2.0,126,0.9704402239198174,1.0,0.006856328580933466,0.7648485395851419,1.0,126,288.24603174603175,281.0,893.3229841269841,265.25,379.75,126,78.13492063492063,78.0,44.581650793650795,67.25,89.75,126,7.044462882602968,6.937987345907743,0.14047410220186263,6.836242941616797,7.93700316789674
up3__radius25_dose_matched,shape_range,2511,847102,up3__circle,左核上移3 mm｜半径 2.5 mm＋降阈值总量匹配,primary,ALL,87,1.0,1.0,0.9770114942528736,1.0,0.16724701887801677,-0.9464285714285712,15,87,36.12634458064713,32.49833391118155,82.8628084742748,14.586206896551724,0.6252086999383323,105,87,16.091954022988507,16.0,0.2705159048382786,16.0,17.400000000000006,87,91.05747126436782,86.0,272.63619353114143,80.0,131.4,87,-61.84659068269356,-69.16166666666686,1449.1892147770566,-108.05476595544079,53.666383481644225,87,-59.95568926511585,-68.42306191721218,1327.2836709423789,-84.02553885422421,38.54978758169455,87,0.09397883195257159,0.08701754385964912,0.0008299642407131912,0.059384624766090785,0.14128368588513437,87,1.1264367816091954,1.0,0.11173483025928897,1.0,2.0,87,0.9807113835558485,1.0,0.0034300101491522568,0.8176699955466097,1.0,87,287.2758620689655,281.0,682.0160384923815,266.8,370.00000000000006,87,76.06896551724138,77.0,26.53007217321572,65.6,81.7,87,7.093856816358669,6.974867175510681,0.107875053241472,6.916037789615715,8.014877636771551
up3__radius25_dose_matched,shape_range,2511,847102,up3__circle,左核上移3 mm｜半径 2.5 mm＋降阈值总量匹配,primary,TA,2,1.0,1.0,0.7727272727272727,1.0,0.2453221926826181,0.2964285714285714,15,2,43.431235020805616,-0.8635553621177676,87.726025403729,12.0,0.39236830252316746,100,2,16.0,16.0,0.0,16.0,16.0,2,72.0,72.0,3528.0,34.2,109.8,2,64.07026801906613,64.07026801906613,18.504887589848995,61.33266332264102,66.80787271549124,2,50.15917154980343,50.15917154980343,238.5224808857149,40.33056001211844,59.987783087488424,2,0.1264171127090742,0.1264171127090742,0.0008513416137244821,0.10784850065651584,0.14498572476163255,2,2.0,2.0,0.0,2.0,2.0,2,0.9000077637141608,0.9000077637141608,0.00568195748006242,0.8520370145077405,0.9479785129205812,2,345.0,345.0,3528.0,307.2,382.8,2,82.5,82.5,24.5,79.35,85.65,2,7.647410828269274,7.647410828269274,0.7038046154645234,7.113518639467891,8.181303017070658
