tau_recovery_s,q_hold,phase,source_dt_ms,q_min,q_max,q_mean,q_mean_minus_hold,per_return_multiplier,closure_error,sensitivity_periodic_pass
72.0,0.8425,0.0,0.125,0.8424476039892217,0.8427816280249119,0.8426141871727323,0.00011418717273226076,0.6814693604418114,0.0,True
72.0,0.8425,0.25,0.125,0.8424476039546099,0.8427816279650405,0.8426141871331015,0.00011418713310151762,0.6814693495738076,0.0,True
72.0,0.8425,0.5,0.125,0.8424476030117118,0.842781627377171,0.8426141857330774,0.00011418573307742097,0.6814690379319874,0.0,True
72.0,0.8425,0.75,0.125,0.8424476045749172,0.8427816278511607,0.8426141874603825,0.00011418746038249772,0.6814694403858242,0.0,True
72.0,0.8425,0.0,0.0625,0.8424474909949446,0.8427812006302102,0.8426139078487986,0.00011390784879861116,0.6816692172052624,0.0,True
72.0,0.8425,0.25,0.0625,0.8424474908190995,0.8427812006786588,0.8426139079998098,0.0001139079998098147,0.6816692532968838,0.0,True
72.0,0.8425,0.5,0.0625,0.8424474898212645,0.8427811996678607,0.8426139069745029,0.00011390697450286424,0.6816690169498122,0.0,True
72.0,0.8425,0.75,0.0625,0.8424474910604689,0.8427812003008105,0.8426139075211407,0.00011390752114071034,0.6816691427638423,1.1102230246251565e-16,True
88.0,0.8425,0.0,0.125,0.8422694662737142,0.842543750060634,0.8424062381633645,-9.376183663556414e-05,0.6824063972180141,1.1102230246251565e-16,True
88.0,0.8425,0.25,0.125,0.8422694662424768,0.8425437500140394,0.8424062381307011,-9.376186929888064e-05,0.6824063863416062,0.0,True
88.0,0.8425,0.5,0.125,0.8422694654679739,0.8425437495231372,0.8424062369769247,-9.376302307528839e-05,0.6824060742452149,0.0,True
88.0,0.8425,0.75,0.125,0.8422694667837047,0.8425437499393382,0.8424062384004251,-9.376159957497077e-05,0.6824064772207216,0.0,True
88.0,0.8425,0.0,0.0625,0.842269372808122,0.8425433981315614,0.8424060080193321,-9.399198066795122e-05,0.6826055975907966,1.1102230246251565e-16,True
88.0,0.8425,0.25,0.0625,0.8422693726564883,0.8425433981798175,0.842406008143786,-9.399185621405959e-05,0.6826056337261611,1.1102230246251565e-16,True
88.0,0.8425,0.5,0.0625,0.8422693718444344,0.8425433973531754,0.8424060072988114,-9.399270118859437e-05,0.6826053970640655,0.0,True
88.0,0.8425,0.75,0.0625,0.842269372816183,0.8425433978471338,0.842406007749305,-9.3992250695063e-05,0.6826055230459823,0.0,True
