tau_recovery_s,q_hold,tau_depletion_ms,evaluation_status,endpoint_residual_q,q_reserve,evaluation_error
20.0,0.84,25.0,physical,-0.015049201064440187,0.8393512368634818,
20.0,0.84,25.764197537066885,physical,-0.01500984141020334,0.8393448358005627,
20.0,0.84,26.551754989160127,physical,-0.014967987934317084,0.8393380977486401,
20.0,0.84,27.3633864198609,physical,-0.014923596308742404,0.839331005543376,
20.0,0.84,28.19982772017558,physical,-0.01487662784872501,0.8393235417608553,
20.0,0.84,29.061837275754318,physical,-0.014827049491211275,0.8393156887442811,
20.0,0.84,29.950196654505095,physical,-0.014774833707896562,0.8393074286276864,
20.0,0.84,30.865711315226758,physical,-0.014719958351689044,0.8392987433563588,
20.0,0.84,31.8092113379033,physical,-0.014662406435373199,0.8392896147037289,
20.0,0.84,32.781552176321924,physical,-0.014602165840981618,0.8392800242845778,
20.0,0.84,33.7836154336969,physical,-0.014539228958273642,0.8392699535644688,
20.0,0.84,34.81630966200273,physical,-0.014473592250466627,0.8392593838653851,
20.0,0.84,35.88057118574115,physical,-0.014405255745212453,0.8392482963676123,
20.0,0.84,36.97736495088899,physical,-0.014334222448716627,0.8392366721079598,
20.0,0.84,38.10768539979669,physical,-0.014260497681053974,0.8392244919744505,
20.0,0.84,39.272557372830455,physical,-0.01418408833092566,0.8392117366976503,
20.0,0.84,40.47303703757584,physical,-0.014105002028782732,0.8391983868388353,
20.0,0.84,41.7102128464451,physical,-0.014023246237963027,0.8391844227752154,
20.0,0.84,42.98520652355665,physical,-0.013938827264797005,0.8391698246824335,
20.0,0.84,44.29917408178117,physical,-0.013851749190093687,0.8391545725145919,
20.0,0.84,45.65330687087694,physical,-0.013762012726372563,0.8391386459820238,
20.0,0.84,47.04883265766424,physical,-0.013669614007359221,0.8391220245270544,
20.0,0.84,48.48701673921859,physical,-0.013574543318798815,0.8391046872979703,
20.0,0.84,49.96916309009184,physical,-0.013476783782281454,0.8390866131214123,
20.0,0.84,51.49661554460149,physical,-0.013376310006666614,0.8390677804733797,
20.0,0.84,53.070759015260066,physical,-0.013273086724422845,0.8390481674490443,
20.0,0.84,54.6930207484493,physical,-0.013167067433013324,0.8390277517315288,
20.0,0.84,56.364871618477835,physical,-0.01305819306391054,0.8390065105597955,
20.0,0.84,58.08782746119507,physical,-0.012946390703967636,0.8389844206957857,
20.0,0.84,59.863450448371516,physical,-0.012831572395583302,0.8389614583909167,
20.0,0.84,61.69335050409034,physical,-0.012713634043137079,0.83893759935203,
20.0,0.84,63.57918676443552,physical,-0.01259245445368129,0.838912818706872,
20.0,0.84,65.52266908179939,physical,-0.01246789453944619,0.8388870909691682,
20.0,0.84,67.52555957517374,physical,-0.012339796708758732,0.838860390003348,
20.0,0.84,69.58967422783017,physical,-0.012207984469960964,0.8388326889889446,
20.0,0.84,71.71688453383796,physical,-0.012072262270391265,0.8388039603846994,
20.0,0.84,73.90911919491269,physical,-0.01193241558906677,0.8387741758923785,
20.0,0.84,76.16836586913404,physical,-0.011788211297595996,0.8387433064203094,
20.0,0.84,78.49667297311812,physical,-0.011639398299566728,0.8387113220466252,
20.0,0.84,80.89615153927812,physical,-0.011485708453314092,0.8386781919822024,
20.0,0.84,83.36897712985834,physical,-0.011326857778094501,0.8386438845332727,
20.0,0.84,85.91739180947525,physical,-0.011162547937964895,0.8386083670636696,
20.0,0.84,88.54370617795568,physical,-0.01099246799255671,0.8385716059566979,
20.0,0.84,91.25030146531438,physical,-0.010816296398552083,0.8385335665765621,
20.0,0.84,94.03963169077052,physical,-0.010633703240829906,0.8384942132293295,
20.0,0.84,96.91422588776103,physical,-0.010444352667811407,0.8384535091233803,
20.0,0.84,99.87669039696779,physical,-0.010247905501470367,0.8384114163292807,
20.0,0.84,102.929711229438,physical,-0.010044021989418117,0.8383678957390548,
20.0,0.84,106.0760565019396,physical,-0.009832364663564741,0.8383229070247804,
20.0,0.84,109.31857894676163,physical,-0.00961260126834329,0.8382764085964671,
20.0,0.84,112.66021849823223,physical,-0.009384407720255283,0.8382283575591521,
20.0,0.84,116.10400495830291,physical,-0.00914747106014191,0.8381787096691662,
20.0,0.84,119.65306074361227,physical,-0.008901492360366192,0.8381274192895096,
20.0,0.84,123.3106037165235,physical,-0.008646189549843641,0.8380744393442777,
20.0,0.84,127.07995010269946,physical,-0.008381300122146662,0.8380197212720689,
20.0,0.84,130.96451749786212,physical,-0.00810658369401096,0.8379632149783455,
20.0,0.84,134.96782796646275,physical,-0.007821824384677378,0.8379048687866447,
20.0,0.84,139.09351123507216,physical,-0.007526832989868448,0.8378446293886155,
20.0,0.84,143.3453079833853,physical,-0.007221448927730578,0.837782441792808,
20.0,0.84,147.72707323582506,physical,-0.006905541938231119,0.8377182492721355,
20.0,0.84,152.24277985682178,physical,-0.0065790135212077105,0.8376519933099892,
20.0,0.84,156.89652215293364,physical,-0.006241798102775364,0.8375836135448959,
20.0,0.84,161.69251958507877,physical,-0.005893863923405074,0.8375130477136883,
20.0,0.84,166.63512059424107,physical,-0.005535213645296078,0.8374402315931173,
20.0,0.84,171.72880654411964,physical,-0.00516588468018353,0.8373650989398276,
20.0,0.84,176.97819578429755,physical,-0.004785949242444021,0.8372875814286495,
20.0,0.84,182.38804783761347,physical,-0.004395514135357215,0.8372076085891307,
20.0,0.84,187.96326771553117,physical,-0.003994720281535358,0.8371251077402515,
20.0,0.84,193.70891036542113,physical,-0.003583742010997093,0.8370400039232199,
20.0,0.84,199.63018525378777,physical,-0.0031627861225070886,0.8369522198323475,
20.0,0.84,205.7324610895936,physical,-0.00273209073576941,0.8368616757438498,
20.0,0.84,212.02127069196874,physical,-0.002291923953378072,0.8367682894425714,
20.0,0.84,218.5023160067123,physical,-0.001842582352611033,0.8366719761465256,
20.0,0.84,225.18147327614196,physical,-0.0013843893278573383,0.8365726484291715,
20.0,0.84,232.0647983669706,physical,-0.0009176933048501423,0.8364702161393727,
20.0,0.84,239.15853226104892,physical,-0.00044286584795816264,0.8363645863189513,
20.0,0.84,246.469106713946,physical,3.970031830224929e-05,0.8362556631177398,
20.0,0.84,254.00315008650097,physical,0.0005295933530701236,0.8361433477060932,
20.0,0.84,261.7674933546341,physical,0.0010263843880843337,0.8360275381847136,
20.0,0.84,269.7691763028652,physical,0.0015296296429525569,0.8359081294917625,
20.0,0.84,278.01545390715347,physical,0.0020388725484201675,0.835785013307142,
20.0,0.84,286.51380291284875,physical,0.0025536458610198043,0.8356580779538547,
20.0,0.84,295.27192861371543,physical,0.003073473753346212,0.8355272082963641,
20.0,0.84,304.29777183817885,physical,0.0035978738656510245,0.8353922856358393,
20.0,0.84,313.5995161491257,physical,0.004126359306041993,0.8352531876022138,
20.0,0.84,323.1855952637869,physical,0.0046584405876516355,0.8351097880429305,
20.0,0.84,333.06470070043025,physical,0.005193627492845021,0.834961956908292,
20.0,0.84,343.2457896587975,physical,0.005731430855793751,0.8348095601332797,
20.0,0.84,353.73809314143045,physical,0.006271364256172474,0.8346524595157986,
20.0,0.84,364.55112432324734,physical,0.0068129456179889525,0.8344905125911299,
20.0,0.84,375.694687176959,physical,0.007355698708977121,0.8343235725025978,
20.0,0.84,387.1788853621485,physical,0.007899154536940123,0.8341514878682063,
20.0,0.84,399.0141313860704,physical,0.008442852640877407,0.8339741026432546,
20.0,0.84,411.21115604447476,physical,0.008986342275435377,0.8337912559786945,
20.0,0.84,423.78101815101945,physical,0.00952918348841969,0.8336027820751385,
20.0,0.84,436.7351145640878,physical,0.010070948091881915,0.8334085100324319,
20.0,0.84,450.08519052010746,physical,0.010611220528139897,0.8332082636945876,
20.0,0.84,463.84335028273694,physical,0.011149598632605229,0.8330018614899452,
20.0,0.84,478.0220681175739,physical,0.011685694296195592,0.8327891162664656,
20.0,0.84,492.63419960233676,physical,0.012219134030432177,0.8325698351219434,
