calibration_status,root_found,numeric_error,calibration_diagnostic,tau_recovery_s,q_hold,tau_depletion_ms,q_reserve,endpoint_residual_q,root_scan_monotone,root_bracket_count,scan_residual_min_q,scan_residual_max_q,physical_root,base_half_event_labels_match,entry_pass,periodic_pass,periodic_q_min,periodic_q_max,handoff_pass,cell_pass,failure_code
root_found,True,False,,20.0,0.84,245.863638414283,0.8362646865832403,5.279298109783781e-10,True,1,-0.015049201064440187,0.033478755587280085,True,True,False,True,0.839407325121761,0.8405968815899448,True,False,E
root_found,True,False,,20.0,0.8425,218.4895835454044,0.8391643458954807,-2.028333057069176e-10,True,1,-0.012581115360774775,0.033742523328677554,True,True,False,True,0.8418995474778522,0.8431044191315171,True,False,E
root_found,True,False,,20.0,0.845,189.86050195860798,0.8420649612974691,1.3884882132941812e-10,True,1,-0.010118088113920787,0.03397616080271593,True,True,False,True,0.8443867413340139,0.8456167874810221,True,False,E
root_found,True,False,,40.0,0.84,284.60927331313803,0.837843798534806,-6.841825994641226e-10,True,1,-0.015015456882394695,0.03479661435274228,True,True,False,True,0.8397033796126617,0.8402983221821347,True,False,E
root_found,True,False,,40.0,0.8425,255.8011483549794,0.8405544168324606,-7.713016891841562e-10,True,1,-0.012531827417721075,0.03509981361385561,True,True,False,True,0.8421994767947202,0.8428020532081044,True,False,E
root_found,True,False,,40.0,0.845,225.72787186552435,0.8432643020125845,4.1837777686737354e-10,True,1,-0.010050727922724878,0.03538602593477036,True,True,False,True,0.8446930487370103,0.8453081753047856,True,False,E
root_found,True,False,,50.0,0.84,292.8525057435386,0.838225858956885,-6.853119183247713e-10,True,1,-0.01501085402114355,0.0351122372711522,True,True,True,True,0.8397626657228454,0.8402386461312118,True,True,PASS
root_found,True,False,,50.0,0.8425,263.7963014098905,0.8408958285191998,1.5692014354584671e-10,True,1,-0.012524019102857387,0.03542422630851816,True,True,False,True,0.8422595440184593,0.8427416281219601,True,False,E
root_found,True,False,,50.0,0.845,233.48769080631092,0.8435648985783388,-6.874563140968348e-10,True,1,-0.010039208346683148,0.035722284931517745,True,True,False,True,0.8447544023806813,0.8452465181658748,True,False,E
root_found,True,False,,60.0,0.84,298.42259327108303,0.8384938467662989,7.712204208587536e-10,True,1,-0.015008197579984728,0.035333609561737256,True,True,True,True,0.8398022014747711,0.8401988669234932,True,True,PASS
root_found,True,False,,60.0,0.8425,269.2070463545367,0.841136274504911,-4.4864001402800113e-11,True,1,-0.01251920702279663,0.03565164153911293,True,True,True,True,0.8422996008093259,0.8427013501146503,True,True,PASS
root_found,True,False,,60.0,0.845,238.74894533088548,0.8437777678788789,-6.54985399251018e-10,True,1,-0.010031903381792273,0.035957869863136094,True,True,False,True,0.8447953172803159,0.8452054215577528,True,False,E
root_found,True,False,,70.0,0.84,302.434786894067,0.8386919040736557,9.382224996912214e-10,True,1,-0.015006504372423235,0.03549732774942971,True,True,True,True,0.8398304466543544,0.8401704550530457,True,True,PASS
root_found,True,False,,70.0,0.8425,273.10824806823996,0.8413144532634171,-9.648299936770854e-10,True,1,-0.012515964804831858,0.03581976847327628,True,True,True,True,0.8423282181621059,0.8426725824595946,True,True,PASS
root_found,True,False,,70.0,0.845,242.54662812003068,0.8439360849508646,-5.150011528343157e-10,True,1,-0.010026871240080282,0.036131969987473145,True,True,False,True,0.8448245476128633,0.845176070078503,True,False,E
root_found,True,False,,80.0,0.84,305.4611108354724,0.838844123477916,-6.353584325324846e-12,True,1,-0.015005347090459309,0.035623266705714474,True,True,True,True,0.8398516333305571,0.8401491468841965,True,True,PASS
root_found,True,False,,80.0,0.8425,276.0528483936512,0.8414516550996554,-6.853644318738361e-10,True,1,-0.01251364064846694,0.035949065555544335,True,True,True,True,0.8423496839157572,0.842651007740399,True,True,PASS
root_found,True,False,,80.0,0.845,245.4152332376315,0.8440583061722413,5.645665046571935e-10,True,1,-0.010023199510203584,0.036265823989686696,True,True,True,True,0.8448464730296072,0.8451540580301689,True,True,PASS
root_found,True,False,,90.0,0.84,307.8246027938453,0.8389647139672025,2.7387647705268137e-10,True,1,-0.015004514130502744,0.035723126776666114,True,True,True,True,0.8398681134341094,0.8401325742386855,False,False,H
root_found,True,False,,90.0,0.8425,278.35361262327285,0.8415605027325525,-9.854889126970079e-10,True,1,-0.01251189706625544,0.03605156853285407,True,True,True,True,0.8423663810424236,0.8426342279242628,False,False,H
root_found,True,False,,90.0,0.845,247.65779702876864,0.8441554544311866,9.45928890772052e-11,True,1,-0.010020404753048329,0.036371917658728825,True,True,True,True,0.8448635275735541,0.8451369383812587,True,True,PASS
root_found,True,False,,100.0,0.84,309.72122272473996,0.839062579708895,1.948108341309762e-12,True,1,-0.01500389026618254,0.03580423673175015,True,True,True,True,0.8398812984964967,0.8401193163285259,False,False,H
root_found,True,False,,100.0,0.8425,280.20059915701574,0.8416489354745541,-5.654425816459252e-10,True,1,-0.012510542770171496,0.03613481259554152,True,True,True,True,0.8423797396735893,0.8426208043640061,False,False,H
root_found,True,False,,100.0,0.845,249.4587663200658,0.8442344985543346,-3.077310628540886e-10,True,1,-0.010018207577134786,0.03645806390239381,True,True,True,True,0.8448771720185939,0.845123243141556,False,False,H
root_found,True,False,,120.0,0.84,312.57546699746126,0.8392117139936853,3.6662561875289157e-10,True,1,-0.015003025633169798,0.03592797133616654,True,True,True,True,0.8399010776777672,0.8400994297606359,False,False,H
root_found,True,False,,120.0,0.8425,282.98124219773183,0.8417838571504688,-3.902522749399395e-10,True,1,-0.012508579249372875,0.036261781715160035,True,True,True,True,0.8423997791070084,0.8426006694866462,False,False,H
root_found,True,False,,120.0,0.845,252.17128519345255,0.844355290169055,-2.0721957483260667e-10,True,1,-0.010014976486126037,0.03658943630155609,True,True,True,True,0.8448976400427911,0.8451027010096515,False,False,H
root_found,True,False,,160.0,0.84,316.158105258526,0.8394020984431518,-7.695780679384256e-10,True,1,-0.015002065575567158,0.03608619860329498,True,True,True,True,0.8399258042427723,0.840074571957914,False,False,H
root_found,True,False,,160.0,0.8425,286.47334446421326,0.8419563715763758,2.1247392734125015e-10,True,1,-0.012506240080767506,0.036424109175302366,True,True,True,True,0.842424830780527,0.8425755015077577,False,False,H
root_found,True,False,,160.0,0.845,255.5796307032217,0.8445100654251599,-8.708604948282073e-10,True,1,-0.010011047335146794,0.036757353506132295,True,True,True,True,0.8449232271713613,0.8450770244294019,False,False,H
