tau_ms,false_latch_target,theta,false_latch_fraction,n_ied_scores,false_latch_resolution,heo1_all_duty,heo1_all_ci05,heo1_all_ci95,heo1_support_duty,heo1_support_ci05,heo1_support_ci95,heo2_active_all_duty,heo2_active_all_ci05,heo2_active_all_ci95,heo2_active_support_duty,heo2_active_support_ci05,heo2_active_support_ci95,heo2_full_support_duty,heo2_full_support_ci05,heo2_full_support_ci95,gap_persistence,gap_end_support_above_theta,pareto
20.0,0.0,5.970480895042419,0.0,9,0.1111111111111111,0.52970986328125,0.5095261693096174,0.5472241739811673,0.47807272727272726,0.38564400761376305,0.42945777894508874,0.38402167477865573,0.35831611171507755,0.4092040153917535,0.29909385169286157,0.22144984307529814,0.2826245173824804,0.1488844696969697,0.1102309879690765,0.1476213815180035,0.025306038558483124,0.0,False
20.0,0.05,5.970480895042419,0.0,9,0.1111111111111111,0.52970986328125,0.5109964640773323,0.5483904617012726,0.47807272727272726,0.38372842219616127,0.4342841280247531,0.38402167477865573,0.35714122381258273,0.412724456265216,0.29909385169286157,0.22226252849309727,0.29165012922321404,0.1488844696969697,0.10822604873615091,0.1425514924947797,0.025306038558483124,0.0,False
20.0,0.1,5.970480895042419,0.0,9,0.1111111111111111,0.52970986328125,0.5083020279610633,0.5486462804382165,0.47807272727272726,0.38234810926030494,0.4323574210445351,0.38402167477865573,0.36184478282215937,0.40966425086638647,0.29909385169286157,0.22328224255870127,0.28916784968793957,0.1488844696969697,0.1112056286135006,0.1438348056186241,0.025306038558483124,0.0,False
20.0,0.25,5.798526024818441,0.2222222222222222,9,0.1111111111111111,0.53952802734375,0.5205345366293538,0.559082132315565,0.4892166666666667,0.3974123858900761,0.4402302604309941,0.3925846329374524,0.3672643441881512,0.4174922446243908,0.305532957141868,0.2263220264946823,0.2937139475631195,0.15202651515151516,0.11328086478535192,0.1461240319897343,0.025306038558483124,0.0,False
24.230553172571767,0.0,5.40959725379944,0.0,9,0.1111111111111111,0.57343271484375,0.5521871521046653,0.5900461271197613,0.5052962121212121,0.40428465146447756,0.450372470735786,0.4297313820925362,0.40146119005138425,0.4613454484276995,0.32216298552932215,0.2400843858655328,0.309711507730884,0.16131565656565658,0.11912325981478392,0.1585219654933495,0.015542064793407917,0.0,False
24.230553172571767,0.05,5.40959725379944,0.0,9,0.1111111111111111,0.57343271484375,0.5544200700973486,0.5937677291379683,0.5052962121212121,0.40824036953264126,0.45036679848834743,0.4297313820925362,0.3978245554862579,0.4641737306952851,0.32216298552932215,0.2421236284728423,0.31162543233435047,0.16131565656565658,0.11993020075169435,0.15586323838968352,0.015542064793407917,0.0,False
24.230553172571767,0.1,5.40959725379944,0.0,9,0.1111111111111111,0.57343271484375,0.5558705459466241,0.5923328313377988,0.5052962121212121,0.4103924648383018,0.45169186509143033,0.4297313820925362,0.3981192025420108,0.4582329231572279,0.32216298552932215,0.23519714081035364,0.3092798960573248,0.16131565656565658,0.12250696018154915,0.1536323859715956,0.015542064793407917,0.0,False
24.230553172571767,0.25,5.376774454116822,0.2222222222222222,9,0.1111111111111111,0.57565908203125,0.5578806811739877,0.5933351783226437,0.5078530303030303,0.41009283743732117,0.45371429184643863,0.43165215334634427,0.40440889785482287,0.4608419888853919,0.3236039950148861,0.24042028985810207,0.3054121632856515,0.16202083333333334,0.12181555054719886,0.15728219769898227,0.015542064793407917,0.0,False
29.355985352441397,0.0,4.965295529365542,0.0,9,0.1111111111111111,0.615915234375,0.5992243598334933,0.6328586546328576,0.5350772727272727,0.4331124280290965,0.47734435208571613,0.46866874375238005,0.44181868020964055,0.4960510073690658,0.3320870548593321,0.2480675276387319,0.31831568360780876,0.16741035353535352,0.12496024835902349,0.1620524163550259,0.010191547684371471,0.0,False
29.355985352441397,0.05,4.965295529365542,0.0,9,0.1111111111111111,0.615915234375,0.599982235780735,0.6339213177155542,0.5350772727272727,0.43069864095445615,0.47626297341728324,0.46866874375238005,0.4394196055303279,0.4952753116035782,0.3320870548593321,0.24830670358463333,0.32585497479349995,0.16741035353535352,0.12273220546163932,0.1600929755289588,0.010191547684371471,0.0,False
