family,s,mean_z,N,period_ms,mean_hz,minimum_hz,maximum_hz,residual_hz,off_grid_residual_hz,unit_minimum_hz,file
B,-0.10275050200550469,1.1027505020055046,64,196.7805062123982,0.07489820590837637,0.07189330331443224,0.0779714646606934,2.7820891423946392e-08,,0.03815756553813467,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_bifurcation_preview_20260915/frozen_filtered_v1/periodic_from_crossing_b/amp0.5_N64.npz
B,-0.10357128777403185,1.1035712877740318,64,197.58237698194995,0.07525246305753147,0.06923970831191291,0.0815655641891966,3.092578276797653e-11,,0.03717651720696808,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_bifurcation_preview_20260915/frozen_filtered_v1/periodic_from_crossing_b/amp1_N64.npz
B,-0.10581735712634462,1.1058173571263445,64,200.91517185553454,0.07676872430823967,0.06454474759229396,0.09063992351304846,1.5877372767231224e-08,,0.03447643488013685,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_bifurcation_preview_20260915/frozen_filtered_v1/periodic_from_crossing_b/amp2_N64.npz
A,-0.08464070344758372,1.0846407034475838,64,190.57380929327954,0.08620665031383778,0.06020380333372942,0.12789117577921774,6.42809224089564e-08,2.3808169411637659e-07,0.009179285094613826,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/periodic_a_N64/amp4.5_N64.npz
A,-0.08210583089835068,1.0821058308983507,64,195.03664309730237,0.08988599577480037,0.06040920794697035,0.13764046825410986,9.025371595916543e-10,2.3411293650216214e-07,0.007831772681093994,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/periodic_a_N64/amp4.85_N64.npz
B,-0.10668796015885507,1.106687960158855,64,203.57158561181757,0.07800343920146774,0.06251117092776584,0.09661710097023843,6.914352987733019e-11,1.4950197677054966e-07,0.03127211652248248,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/periodic_b_N64/amp2.5_N64.npz
B,-0.10717205098667515,1.1071720509866751,64,208.4369300227285,0.08032026460868498,0.06014910122690956,0.10708907823944651,1.0359732277760714e-09,1.7891190742455598e-07,0.02169635399238036,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/periodic_b_N64/amp3.175_N64.npz
B,-0.10698222482121919,1.106982224821219,64,213.2252834414566,0.08274306938379704,0.05873546232159639,0.11745393457312056,3.4988237350777607e-09,1.7770190462347568e-07,0.014299312218237437,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/periodic_b_N64/amp3.675_N64.npz
B,-0.1057180807853607,1.1057180807853606,64,223.47901764908528,0.08876843953303931,0.05758383793286865,0.13775242579803595,1.4671332725091357e-09,9.720945032764237e-06,0.005464526719936602,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/periodic_b_N64/amp4.35_N64.npz
A,-0.07939332004367705,1.079393320043677,64,199.18483984588903,0.09407283442984993,0.06152272474253893,0.14266068658478268,5.0777524546186115e-12,1.3283892315134327e-06,0.0060593642677360966,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/arc_a_N64/point0000.npz
B,-0.10452273908902968,1.1045227390890298,128,229.64404434811217,0.0925669660722724,0.05765693927688476,0.14698535957944353,3.7094866154468997e-07,7.329940708220017e-07,0.0011348264321987842,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/arc_b_N128/point0000.npz
B,-0.10298218967962082,1.1029821896796208,128,237.24376906713965,0.0969656386725089,0.05795158124232234,0.17642217913269334,4.6590702129645223e-07,2.601613534845837e-05,0.00017017956226644338,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/arc_b_N128/point0001.npz
A,-0.0733400365482973,1.0733400365482972,128,205.89421632934125,0.1004080977750151,0.06404281865059783,0.14498483981797736,1.771308794085158e-09,2.4284682207872943e-07,0.0012366722188012391,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/arc_a_refined_N128/point0002.npz
A,-0.06441631370972342,1.0644163137097233,128,214.376419743641,0.10507707111338642,0.06800182748537366,0.15388119757059232,2.7447146118408927e-09,2.0293089227248207e-06,0.0006425151489597295,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/arc_a_refined_N128/point0004.npz
A,-0.05027599215037976,1.0502759921503797,128,227.32802671875,0.10958302175601466,0.07513738313717597,0.1544389313034873,3.3091437576238114e-09,5.971186435929643e-07,0.0009065304329201158,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/arc_a_refined_N128/point0006.npz
A,-0.03501045441794222,1.0350104544179421,128,250.7977583955624,0.11525996056209686,0.0856217262985681,0.14557050476691638,3.6300931878507914e-11,2.496000168702994e-07,0.002952935686506894,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/arc_a_refined_N128/point0008.npz
A,-0.03206541210278231,1.0320654121027824,128,278.43970033973375,0.1149093211775057,0.08874173129350242,0.14535587573375947,6.700640476503539e-11,2.1781220230221443e-07,0.004759396700445211,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/arc_a_refined_N128/point0009.npz
A,-0.03132192420734951,1.0313219242073495,128,296.6468983092692,0.1144443574858028,0.09011691201250627,0.14587735026949974,1.1566971339083132e-09,1.801197888756656e-07,0.005560207397235176,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/arc_a_refined_N128/point0010.npz
A,-0.02968929056949126,1.0296892905694912,128,350.9013010073594,0.1137393158647836,0.09404117205915095,0.1472681553069091,7.588707440220333e-09,2.1252739065141801e-07,0.006796062638366493,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/arc_a_refined_N128/point0012.npz
A,-0.03187653190112106,1.0318765319011212,128,459.7860455350504,0.10795655303971738,0.09125285138128411,0.14593632406479964,8.18265594171308e-10,5.978824205849203e-06,0.0048969959517166485,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/arc_a_refined_N128/point0015.npz
physical,0.0,1.0,1024,274.3564248982273,5.49566628855484,0.022049321069305156,22.53251552319501,3.1405134048867467e-07,,-2.0313405388328043e-05,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_branch_extension_20260915/periodic_physical/s0_N1024.npz
