family,s,mean_z,N,period_ms,mean_hz,minimum_hz,maximum_hz,residual_hz,off_grid_residual_hz,unit_minimum_hz,file
A,-0.09868199911343757,1.0986819991134376,64,173.81159757725484,0.07531275170693023,0.07503524574850542,0.07559115331587356,5.820553457616673e-08,,0.03901474888005917,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_bifurcation_preview_20260915/frozen_filtered_v1/periodic_from_crossing/amp0.05_N64.npz
A,-0.09867708576543034,1.0986770857654304,64,173.81639102899322,0.07531603407276016,0.07476186530027137,0.07587379287308611,6.875142816165081e-12,,0.03901472453445588,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_bifurcation_preview_20260915/frozen_filtered_v1/periodic_from_crossing/amp0.1_N64.npz
A,-0.09864248799003268,1.0986424879900327,64,173.84974050333824,0.07533904176578356,0.07395943341190067,0.07674114566929019,4.859923227740204e-10,,0.03901460947550307,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_bifurcation_preview_20260915/frozen_filtered_v1/periodic_from_crossing/amp0.25_N64.npz
A,-0.09851868683539389,1.0985186868353938,64,173.96906351678493,0.07542130494414995,0.07267824272184971,0.07825526577485196,7.249199504566484e-09,,0.03901427640032218,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_bifurcation_preview_20260915/frozen_filtered_v1/periodic_from_crossing/amp0.5_N64.npz
A,-0.09801421272951971,1.0980142127295198,64,174.45390629258083,0.07575269463210281,0.07030962880993527,0.08157390284184413,3.9924660799606215e-12,,0.03860041120432651,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_bifurcation_preview_20260915/frozen_filtered_v1/periodic_from_crossing/amp1_N64.npz
A,-0.09589189212749981,1.0958918921274998,128,176.50954842552912,0.07711460029611655,0.06626283920076832,0.08971956702787465,5.0250710287058934e-12,,0.03447664491397291,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_bifurcation_preview_20260915/frozen_filtered_v1/periodic_from_crossing/amp2_N128.npz
A,-0.09222651567274825,1.0922265156727482,128,180.31804666664328,0.07952060791359253,0.06308165046430318,0.10086213015209829,2.4172233225455697e-08,,0.0280073379045264,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_bifurcation_preview_20260915/frozen_filtered_v1/periodic_from_crossing/amp3_N128.npz
A,-0.08737247775604909,1.0873724777560492,128,186.35636828541647,0.08330986691039227,0.06083579394306789,0.11694183123387226,1.1736214756107033e-10,,0.013896178690263002,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_bifurcation_preview_20260915/frozen_filtered_v1/periodic_from_crossing/amp4_N128.npz
B,-0.10245245835657044,1.1024524583565705,64,196.5178321306621,0.07478366086873292,0.07448146431022626,0.07508652240517961,1.1297457327280602e-07,,0.038939717813728514,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_bifurcation_preview_20260915/frozen_filtered_v1/periodic_from_crossing_b/amp0.05_N64.npz
B,-0.10252576754169695,1.1025257675416968,64,196.58166926541827,0.07481134929900346,0.07330536570381056,0.07633401762535597,1.1636321246843995e-09,,0.038603089444041915,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/fig5_z_bifurcation_preview_20260915/frozen_filtered_v1/periodic_from_crossing_b/amp0.25_N64.npz
