event_count,n_patients,median_spearman_rho,spearman_rho_ci95,median_rho_delta_to_full_train80,fraction_within_0_05_of_full_train80
25,34,0.7991265720376701,"[0.7366148580931065, 0.8263621207201486]",-0.09887661459193137,0.3235294117647059
50,34,0.8526881539551694,"[0.8052345810011212, 0.869038549869781]",-0.05897105883109388,0.4411764705882353
100,34,0.8584579778001806,"[0.8389096502784891, 0.8857142857142857]",-0.03918964253667956,0.6764705882352942
200,34,0.882437501739455,"[0.857142857142857, 0.9]",-0.019610053240121383,0.8823529411764706
500,32,0.8978455220523724,"[0.8673514433367999, 0.932372982919364]",-0.001061316272284285,0.96875
1000,31,0.9181818181818182,"[0.8780705186299208, 0.9361745372672994]",0.0,1.0
2000,28,0.9122533022533024,"[0.8665095440504862, 0.9546699640526575]",0.0,1.0
