tau_h_ms,theta_h,theta_delta,theta_evaluated,substeps,outcome,entered,entry_event_index,first_crossing_ms,minimum_q_before_last,minimum_q_full,final_q,pre_last_margin_pass,last_event_target_reached,locked_last_event_pass,all_cycle_records_safe
15000.0,0.015,0.0,0.015,2,target_entry_event_6,True,6,11005.5,0.8630287592153681,0.8549656792644544,0.8550000366046016,True,True,True,True
15000.0,0.015,-0.001,0.013999999999999999,1,target_entry_event_6,True,6,10993.0,0.8596729411934058,0.8533668493569466,0.8534026710544397,True,True,True,True
15000.0,0.015,-0.001,0.013999999999999999,2,target_entry_event_6,True,6,10992.5,0.8596729423675118,0.8533668608530931,0.8534026825400476,True,True,True,True
15000.0,0.015,0.001,0.016,1,no_entry,False,,,0.8672144341210181,0.8572534623688861,0.8572857267638432,True,False,False,True
15000.0,0.015,0.001,0.016,2,no_entry,False,,,0.867214454969887,0.8572535325419343,0.8572857968725878,True,False,False,True
15000.0,0.02,0.0,0.02,1,target_entry_event_6,True,6,11011.0,0.8715859267012931,0.8549669710179246,0.8549999999872842,True,True,True,True
15000.0,0.02,0.0,0.02,2,target_entry_event_6,True,6,11010.5,0.871585424341502,0.8549667156955245,0.8549997448705315,True,True,True,True
15000.0,0.02,-0.001,0.019,1,target_entry_event_6,True,6,10984.0,0.8608531598743361,0.8481056458724212,0.8481446312393378,True,True,True,True
15000.0,0.02,-0.001,0.019,2,target_entry_event_6,True,6,10984.0,0.860852922659315,0.848105610032827,0.8481445954427063,True,True,True,True
15000.0,0.02,0.001,0.021,1,no_entry,False,,,0.8829939642093434,0.8665850264727784,0.8666089877234452,True,False,False,True
15000.0,0.02,0.001,0.021,2,no_entry,False,,,0.8829932306438778,0.8665843073692675,0.8666082691907168,True,False,False,True
