tau_h_ms,theta_h,tau_depletion_ms,endpoint_residual_q,q_reserve,physical,evaluation_status,evaluation_error
5000.0,0.015,25.0,-0.012581076146498504,0.8418439652027251,True,physical,
5000.0,0.015,25.989851500272433,-0.012532153170856541,0.8418357740818887,True,physical,
5000.0,0.015,27.018895240248536,-0.012479244427368918,0.8418270133481947,True,physical,
5000.0,0.015,28.088682999819078,-0.012422259434679228,0.841817645577784,True,physical,
5000.0,0.015,29.200828000140977,-0.012361119921599606,0.8418076326767581,True,physical,
5000.0,0.015,30.35700733634646,-0.012295758624861652,0.8417969359713844,True,physical,
5000.0,0.015,31.558964506573005,-0.012226117566570216,0.8417855162830435,True,physical,
5000.0,0.015,32.80851204112804,-0.012152145788299595,0.8417733339865078,True,physical,
5000.0,0.015,34.1075342357527,-0.012073796529604719,0.8417603490507196,True,physical,
5000.0,0.015,35.45798999310682,-0.011991023853137994,0.8417465210617879,True,physical,
5000.0,0.015,36.861915776759695,-0.011903778736762294,0.8417318092283923,True,physical,
5000.0,0.015,38.32142868214136,-0.01181200467461152,0.8417161723702028,True,physical,
5000.0,0.015,39.83872962908539,-0.01171563285343069,0.841699568890216,True,physical,
5000.0,0.015,41.416106680777304,-0.011614576996471726,0.8416819567321717,True,physical,
5000.0,0.015,43.05593849411371,-0.011508727993477241,0.8416632933243555,True,physical,
5000.0,0.015,44.76069790667517,-0.011397948460073581,0.8416435355111931,True,physical,
5000.0,0.015,46.5329556657217,-0.011282067391572892,0.8416226394740675,True,physical,
5000.0,0.015,48.3753843048347,-0.011160875092843914,0.8416005606427632,True,physical,
5000.0,0.015,50.290762174050556,-0.011034118576271568,0.8415772535988822,True,physical,
5000.0,0.015,52.28197762956366,-0.010901497622345824,0.841552671972469,True,physical,
5000.0,0.015,54.352033389316986,-0.01076266169153528,0.8415267683329904,True,physical,
5000.0,0.015,56.50405106104791,-0.010617207861402522,0.8414994940756529,True,physical,
5000.0,0.015,58.741275849617836,-0.010464679939764077,0.8414707993039228,True,physical,
5000.0,0.015,61.06708145072426,-0.010304568873708009,0.8414406327089768,True,physical,
5000.0,0.015,63.484975138374615,-0.010136314536899116,0.8414089414466658,True,physical,
5000.0,0.015,65.99860305379376,-0.009959308935527877,0.8413756710124491,True,physical,
5000.0,0.015,68.61175570374104,-0.009772900828022846,0.8413407651146566,True,physical,
5000.0,0.015,71.32837367652797,-0.009576401708096705,0.8413041655462827,True,physical,
5000.0,0.015,74.15255358435614,-0.009369093055973776,0.8412658120554822,True,physical,
5000.0,0.015,77.0885542409364,-0.00915023472165899,0.8412256422147933,True,physical,
5000.0,0.015,80.14080308370534,-0.008919074267853655,0.8411835912890773,True,physical,
5000.0,0.015,83.31390285032309,-0.008674857070405828,0.8411395921020809,True,physical,
5000.0,0.015,86.61263851952083,-0.008416836952114815,0.8410935749014844,True,physical,
5000.0,0.015,90.04198452676486,-0.008144287111462867,0.8410454672222497,True,physical,
5000.0,0.015,93.60711226561791,-0.007856511102166897,0.8409951937480362,True,physical,
5000.0,0.015,97.31339788610957,-0.007552853621926703,0.8409426761704395,True,physical,
5000.0,0.015,101.16643040187648,-0.007232710878563142,0.8408878330457664,True,physical,
5000.0,0.015,105.17202011829669,-0.006895540318758275,0.8408305796490635,True,physical,
5000.0,0.015,109.33620739432774,-0.006540869527039472,0.8407708278250462,True,physical,
5000.0,0.015,113.6652717512627,-0.006168304129808289,0.840708485835658,True,physical,
5000.0,0.015,118.16574134213718,-0.0057775345695905145,0.8406434582038811,True,physical,
5000.0,0.015,122.84440279606997,-0.005368341647168151,0.8405756455534611,True,physical,
5000.0,0.015,127.70831145238044,-0.004940600762181058,0.8405049444442181,True,physical,
5000.0,0.015,132.76480199991624,-0.004494284815846572,0.8404312472025761,True,physical,
5000.0,0.015,138.02149953763586,-0.004029465770568841,0.8403544417469402,True,physical,
5000.0,0.015,143.4863310731231,-0.003546314890467195,0.8402744114075861,True,physical,
5000.0,0.015,149.16753747637568,-0.0030451017130783686,0.8401910347406891,True,physical,
