tau_h_ms,theta_h,substeps,q_initial,h_initial,q_final,h_final,recovery_pass
5000.0,0.015,1,0.8429240694923733,0.184747481986291,0.8971583567456574,1.1351277610664501e-06,True
5000.0,0.015,2,0.842924069492372,0.18474748198629765,0.8971583567456572,1.135127761066491e-06,True
5000.0,0.02,1,0.8429203030294735,0.184747481986291,0.8971581692245114,1.1351277610664501e-06,True
5000.0,0.02,2,0.8429203030294704,0.18474748198629765,0.8971581692245113,1.135127761066491e-06,True
5000.0,0.025,1,0.8429121743767232,0.184747481986291,0.8971577645227212,1.1351277610664501e-06,True
5000.0,0.025,2,0.8429121743767267,0.18474748198629765,0.8971577645227214,1.135127761066491e-06,True
10000.0,0.015,1,0.8429149011723939,0.18770819153828608,0.8971579002818837,0.0004652820883536324,True
10000.0,0.015,2,0.8429149011723954,0.18770819153828797,0.8971579002818838,0.00046528208835363704,True
10000.0,0.02,1,0.8428988341913066,0.18770819153828608,0.8971571003539979,0.0004652820883536324,True
10000.0,0.02,2,0.8428988341913044,0.18770819153828797,0.8971571003539978,0.00046528208835363704,True
10000.0,0.025,1,0.8427874925271134,0.18770819153828608,0.8971515569789504,0.0004652820883536324,True
10000.0,0.025,2,0.8427874925271145,0.18770819153828797,0.8971515569789505,0.00046528208835363704,True
15000.0,0.015,1,0.8428967776117045,0.1887079499429176,0.8971569979629286,0.003456306666587804,False
15000.0,0.015,2,0.8428967776117059,0.1887079499429156,0.8971569979629287,0.0034563066665877678,False
15000.0,0.02,1,0.8426931343101767,0.1887079499429176,0.8971468591599527,0.003456306666587804,False
15000.0,0.02,2,0.8426931343101765,0.1887079499429156,0.8971468591599527,0.0034563066665877678,False
