subject,model,intervention,metric,nll_cost_vs_ordered
epilepsiae_1077,full_history_gru,reset_after_rank_1,step3_prefix_balanced_nll,0.5936887704567675
epilepsiae_1077,full_history_gru,reset_after_rank_1,step4plus_prefix_balanced_nll,0.1222861274382101
epilepsiae_1077,full_history_gru,reset_after_rank_2,heldout_event_balanced_nll,0.3147857189178467
epilepsiae_1077,full_history_gru,reset_after_rank_2,step0_prefix_balanced_nll,0.0
epilepsiae_1077,full_history_gru,reset_after_rank_2,step1_prefix_balanced_nll,0.0
epilepsiae_1077,full_history_gru,reset_after_rank_2,step2_prefix_balanced_nll,0.0
epilepsiae_1077,full_history_gru,reset_after_rank_2,step3_prefix_balanced_nll,0.9961079520307405
epilepsiae_1077,full_history_gru,reset_after_rank_2,step4plus_prefix_balanced_nll,0.4090462600346978
epilepsiae_1077,full_history_gru,reverse_prefix,heldout_event_balanced_nll,0.012768745422363281
epilepsiae_1077,full_history_gru,reverse_prefix,step0_prefix_balanced_nll,0.0
epilepsiae_1077,full_history_gru,reverse_prefix,step1_prefix_balanced_nll,0.0
epilepsiae_1077,full_history_gru,reverse_prefix,step2_prefix_balanced_nll,0.01043708004871946
epilepsiae_1077,full_history_gru,reverse_prefix,step3_prefix_balanced_nll,0.05292520646772103
epilepsiae_1077,full_history_gru,reverse_prefix,step4plus_prefix_balanced_nll,0.06195027826557409
epilepsiae_1077,selected_ordered,drop_earliest,heldout_event_balanced_nll,0.0624690055847168
epilepsiae_1077,selected_ordered,drop_earliest,step0_prefix_balanced_nll,0.0
epilepsiae_1077,selected_ordered,drop_earliest,step1_prefix_balanced_nll,0.07685633512688961
epilepsiae_1077,selected_ordered,drop_earliest,step2_prefix_balanced_nll,-0.09874692001484164
epilepsiae_1077,selected_ordered,drop_earliest,step3_prefix_balanced_nll,0.14318308202921415
epilepsiae_1077,selected_ordered,drop_earliest,step4plus_prefix_balanced_nll,-0.022697546287966608
epilepsiae_1077,selected_ordered,reset_after_rank_0,heldout_event_balanced_nll,0.0624690055847168
epilepsiae_1077,selected_ordered,reset_after_rank_0,step0_prefix_balanced_nll,0.0
epilepsiae_1077,selected_ordered,reset_after_rank_0,step1_prefix_balanced_nll,0.07685633512688961
epilepsiae_1077,selected_ordered,reset_after_rank_0,step2_prefix_balanced_nll,-0.09874692001484164
epilepsiae_1077,selected_ordered,reset_after_rank_0,step3_prefix_balanced_nll,0.14318308202921415
epilepsiae_1077,selected_ordered,reset_after_rank_0,step4plus_prefix_balanced_nll,-0.022697546287966608
epilepsiae_1077,selected_ordered,reset_after_rank_1,heldout_event_balanced_nll,0.1991959810256958
epilepsiae_1077,selected_ordered,reset_after_rank_1,step0_prefix_balanced_nll,0.0
epilepsiae_1077,selected_ordered,reset_after_rank_1,step1_prefix_balanced_nll,0.0
epilepsiae_1077,selected_ordered,reset_after_rank_1,step2_prefix_balanced_nll,-0.02638822959631293
epilepsiae_1077,selected_ordered,reset_after_rank_1,step3_prefix_balanced_nll,0.6217740608483939
epilepsiae_1077,selected_ordered,reset_after_rank_1,step4plus_prefix_balanced_nll,0.0006565520061581065
epilepsiae_1077,selected_ordered,reset_after_rank_2,heldout_event_balanced_nll,0.5429173707962036
epilepsiae_1077,selected_ordered,reset_after_rank_2,step0_prefix_balanced_nll,0.0
epilepsiae_1077,selected_ordered,reset_after_rank_2,step1_prefix_balanced_nll,0.0
epilepsiae_1077,selected_ordered,reset_after_rank_2,step2_prefix_balanced_nll,0.0
epilepsiae_1077,selected_ordered,reset_after_rank_2,step3_prefix_balanced_nll,1.9585696556746335
epilepsiae_1077,selected_ordered,reset_after_rank_2,step4plus_prefix_balanced_nll,0.2852313082170055
epilepsiae_1077,selected_ordered,reverse_prefix,heldout_event_balanced_nll,0.03557133674621582
epilepsiae_1077,selected_ordered,reverse_prefix,step0_prefix_balanced_nll,0.0
epilepsiae_1077,selected_ordered,reverse_prefix,step1_prefix_balanced_nll,0.0
epilepsiae_1077,selected_ordered,reverse_prefix,step2_prefix_balanced_nll,0.01184191359201292
epilepsiae_1077,selected_ordered,reverse_prefix,step3_prefix_balanced_nll,0.03009914424111626
epilepsiae_1077,selected_ordered,reverse_prefix,step4plus_prefix_balanced_nll,0.02966393558366809
epilepsiae_1084,full_history_gru,drop_earliest,heldout_event_balanced_nll,0.01627635955810547
epilepsiae_1084,full_history_gru,drop_earliest,step0_prefix_balanced_nll,0.0
epilepsiae_1084,full_history_gru,drop_earliest,step1_prefix_balanced_nll,0.010955935618916168
epilepsiae_1084,full_history_gru,drop_earliest,step2_prefix_balanced_nll,0.013967837140859807
epilepsiae_1084,full_history_gru,drop_earliest,step3_prefix_balanced_nll,-0.039350165695440475
epilepsiae_1084,full_history_gru,drop_earliest,step4plus_prefix_balanced_nll,0.001685495678332316
epilepsiae_1084,full_history_gru,reset_after_rank_0,heldout_event_balanced_nll,0.01627635955810547
epilepsiae_1084,full_history_gru,reset_after_rank_0,step0_prefix_balanced_nll,0.0
epilepsiae_1084,full_history_gru,reset_after_rank_0,step1_prefix_balanced_nll,0.010955935618916168
epilepsiae_1084,full_history_gru,reset_after_rank_0,step2_prefix_balanced_nll,0.013967837140859807
epilepsiae_1084,full_history_gru,reset_after_rank_0,step3_prefix_balanced_nll,-0.039350165695440475
epilepsiae_1084,full_history_gru,reset_after_rank_0,step4plus_prefix_balanced_nll,0.001685495678332316
epilepsiae_1084,full_history_gru,reset_after_rank_1,heldout_event_balanced_nll,0.03754734992980957
epilepsiae_1084,full_history_gru,reset_after_rank_1,step0_prefix_balanced_nll,0.0
epilepsiae_1084,full_history_gru,reset_after_rank_1,step1_prefix_balanced_nll,0.0
epilepsiae_1084,full_history_gru,reset_after_rank_1,step2_prefix_balanced_nll,0.06255590720254878
epilepsiae_1084,full_history_gru,reset_after_rank_1,step3_prefix_balanced_nll,-0.028472379257118652
epilepsiae_1084,full_history_gru,reset_after_rank_1,step4plus_prefix_balanced_nll,0.027359071063757012
epilepsiae_1084,full_history_gru,reset_after_rank_2,heldout_event_balanced_nll,0.0803215503692627
epilepsiae_1084,full_history_gru,reset_after_rank_2,step0_prefix_balanced_nll,0.0
epilepsiae_1084,full_history_gru,reset_after_rank_2,step1_prefix_balanced_nll,0.0
epilepsiae_1084,full_history_gru,reset_after_rank_2,step2_prefix_balanced_nll,0.0
epilepsiae_1084,full_history_gru,reset_after_rank_2,step3_prefix_balanced_nll,0.05751243966524733
epilepsiae_1084,full_history_gru,reset_after_rank_2,step4plus_prefix_balanced_nll,0.10095683654877252
epilepsiae_1084,full_history_gru,reverse_prefix,heldout_event_balanced_nll,0.02194678783416748
epilepsiae_1084,full_history_gru,reverse_prefix,step0_prefix_balanced_nll,0.0
epilepsiae_1084,full_history_gru,reverse_prefix,step1_prefix_balanced_nll,0.0
epilepsiae_1084,full_history_gru,reverse_prefix,step2_prefix_balanced_nll,0.0004971613649464857
epilepsiae_1084,full_history_gru,reverse_prefix,step3_prefix_balanced_nll,-0.008913092274483114
epilepsiae_1084,full_history_gru,reverse_prefix,step4plus_prefix_balanced_nll,0.04208871559933969
epilepsiae_1084,selected_ordered,drop_earliest,heldout_event_balanced_nll,-0.0020922422409055397
epilepsiae_1084,selected_ordered,drop_earliest,step0_prefix_balanced_nll,0.0
epilepsiae_1084,selected_ordered,drop_earliest,step1_prefix_balanced_nll,0.02026542288358124
epilepsiae_1084,selected_ordered,drop_earliest,step2_prefix_balanced_nll,-0.007718341598093481
epilepsiae_1084,selected_ordered,drop_earliest,step3_prefix_balanced_nll,-0.019396213885864988
epilepsiae_1084,selected_ordered,drop_earliest,step4plus_prefix_balanced_nll,-0.016172395250779292
epilepsiae_1084,selected_ordered,reset_after_rank_0,heldout_event_balanced_nll,-0.0020922422409055397
epilepsiae_1084,selected_ordered,reset_after_rank_0,step0_prefix_balanced_nll,0.0
epilepsiae_1084,selected_ordered,reset_after_rank_0,step1_prefix_balanced_nll,0.02026542288358124
epilepsiae_1084,selected_ordered,reset_after_rank_0,step2_prefix_balanced_nll,-0.007718341598093481
epilepsiae_1084,selected_ordered,reset_after_rank_0,step3_prefix_balanced_nll,-0.019396213885864988
epilepsiae_1084,selected_ordered,reset_after_rank_0,step4plus_prefix_balanced_nll,-0.016172395250779292
epilepsiae_1084,selected_ordered,reset_after_rank_1,heldout_event_balanced_nll,0.0024755001068115234
epilepsiae_1084,selected_ordered,reset_after_rank_1,step0_prefix_balanced_nll,0.0
epilepsiae_1084,selected_ordered,reset_after_rank_1,step1_prefix_balanced_nll,0.0
epilepsiae_1084,selected_ordered,reset_after_rank_1,step2_prefix_balanced_nll,0.0031763921018508334
