control,hidden_size,n_parameters,median_nll_gain_vs_unordered,ci95,n_positive_of_34,wilcoxon_greater_p,holm_p
linear_state_parammatched_h64,64,10158,0.02701042762501349,"[0.003796675470140176, 0.0426498857515103]",24,8.89542861841619e-05,0.0001779085723683238
vanilla_rnn_parammatched_h48,48,10318,0.0061062047226857485,"[-0.0008099378044925665, 0.020579210590155324]",21,0.06465386855416,0.06465386855416
