candidate,n_patients,median_gain,ci95,n_positive,wilcoxon_greater_p,selection_corrected_maxT_p,cohort_median_nll
linear_state,34,0.025718509825526037,"[0.006326891111736788, 0.04801464683554135]",26,5.3107098210603e-05,0.00031999360012799745,1.8688512335744523
low_rank_r0,34,0.015756336981665786,"[-0.007063078614106599, 0.023258718755031493]",20,0.02130819042213261,0.052038959220815584,1.8829318389808227
low_rank_r2,34,0.013822728124883166,"[0.005913920671255735, 0.029804176648138725]",25,0.0019178013899363577,0.08361832763344733,1.874810419987161
low_rank_r4,34,0.0037811165897517762,"[-0.008476713538013492, 0.010267766854150429]",18,0.30617186188464984,0.6883462330753385,1.88379779492251
vanilla_rnn,34,0.0007603129375116646,"[-0.017025573070984956, 0.01808349409178467]",17,0.4263704519835301,0.886562268754625,1.8753460254590786
low_rank_r1,34,-0.0032885635138751868,"[-0.012403939407198417, 0.016821977657508036]",16,0.30617186188464984,0.9723005539889202,1.8789259587707585
