name,ee,depth,seed,topology,noise,family,duration_ms,group,observed_s,n_neurons,onset_threshold,mean_rate_hz,max_fraction_10ms,label,n_bursts,iei_median_s,cv,cv2,lag1_log_iei_r,half_median_ratio,burst_duty,max_burst_s,acf_peak,spectral_peak_hz,threshold_stable,median_peak_active_fraction_2ms,ordering_p,ordering_peak_hz,ordering_peak_score,v1_label,measurement_version,actual_duration_ms
ee0.5_d0_n1_t2511_s848101,0.5,0.0,848101,2511,True,grid,20000.0,allE,18.0,32000,0.1,0.0030520833333333333,0.0001875,background,0,,,,,,0.0,0.0,,1.25,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.5_d0_n1_t2511_s848101,0.5,0.0,848101,2511,True,grid,20000.0,surroundE,18.0,30538,0.1,0.0,0.0,background,0,,,,,,0.0,0.0,,,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.5_d0_n1_t2511_s848102,0.5,0.0,848102,2511,True,grid,20000.0,coreAE,18.0,720,0.1,0.06280864197530864,0.006944444444444444,background,0,,,,,,0.0,0.0,,0.5,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.5_d0_n1_t2511_s848102,0.5,0.0,848102,2511,True,grid,20000.0,coreBE,18.0,742,0.1,0.060047918538484575,0.005390835579514825,background,0,,,,,,0.0,0.0,,1.0,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.5_d0_n1_t2511_s848102,0.5,0.0,848102,2511,True,grid,20000.0,coreUnionE,18.0,1462,0.1,0.06140750873993008,0.003419972640218878,background,0,,,,,,0.0,0.0,,0.25,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.5_d0_n1_t2511_s848102,0.5,0.0,848102,2511,True,grid,20000.0,allE,18.0,32000,0.1,0.0028055555555555555,0.00015625,background,0,,,,,,0.0,0.0,,0.25,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.5_d0_n1_t2511_s848102,0.5,0.0,848102,2511,True,grid,20000.0,surroundE,18.0,30538,0.1,0.0,0.0,background,0,,,,,,0.0,0.0,,,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d1.3_n1_t2511_s848101,1.2,1.3,848101,2511,True,grid,20000.0,coreAE,18.0,720,0.1,32.941820987654324,1.0,regular_bursts,72,0.25,0.07532999974772663,0.09118335323096513,-0.13968408822253267,1.020408163265302,0.1650000000000001,0.05,0.5150394767659708,4.0,True,0.8451388888888889,0.835,9.333333333333332,3.8026540161123683,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d1.3_n1_t2511_s848101,1.2,1.3,848101,2511,True,grid,20000.0,coreBE,18.0,742,0.1,32.992138364779876,1.0,regular_bursts,72,0.25,0.08306869583507259,0.08978349862576168,0.010327594027968123,1.0416666666666659,0.16333333333333336,0.05,0.5188040454521465,4.0,True,0.8429919137466307,0.195,6.333333333333333,5.203021981417015,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d1.3_n1_t2511_s848101,1.2,1.3,848101,2511,True,grid,20000.0,coreUnionE,18.0,1462,0.1,32.96735826113391,1.0,variable_bursts,85,0.2400000000000002,0.3286132916014176,0.3978722800853472,0.08085112628598859,1.0000000000000044,0.29444444444444445,0.1,0.5640670010185292,4.0,True,0.42886456908344733,0.415,4.0,4.752598357362045,variable_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
