run,ee,seed,group,arm,contrast,context,lo_s,hi_s,burst_rate_hz,label,n_bursts,mean_rate_hz,cv,cv2,median_peak_active_fraction_2ms,iei_median_s
ee0.85_s848101_all_off_probe,0.85,848101,coreAE,all_off_probe,probe_late,baseline,14.0,20.0,3.5,regular_bursts,21,12.931944444444445,0.270637191451101,0.363350524495223,0.6833333333333333,0.2650000000000001
ee0.85_s848101_all_off_probe,0.85,848101,coreAE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee0.85_s848101_all_off_probe,0.85,848101,coreBE,all_off_probe,probe_late,baseline,14.0,20.0,3.5,regular_bursts,21,5.993261455525607,0.29705355758026725,0.3534198503215645,0.21159029649595687,0.2849999999999999
ee0.85_s848101_all_off_probe,0.85,848101,coreBE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee0.85_s848101_ou_off,0.85,848101,coreAE,ou_off,ou_removed,baseline,8.0,20.0,3.5833333333333335,regular_bursts,43,12.265162037037037,0.27821580429072945,0.31875747552085176,0.6791666666666667,0.2699999999999998
ee0.85_s848101_ou_off,0.85,848101,coreAE,ou_off,ou_removed,intervention,8.0,20.0,3.4166666666666665,regular_bursts,41,11.463541666666666,0.25174144555077377,0.3019917062684224,0.6722222222222223,0.2999999999999998
ee0.85_s848101_ou_off,0.85,848101,coreBE,ou_off,ou_removed,baseline,8.0,20.0,3.5,variable_bursts,42,6.185309973045822,0.2804456550404494,0.33587758039729704,0.19878706199460916,0.29
ee0.85_s848101_ou_off,0.85,848101,coreBE,ou_off,ou_removed,intervention,8.0,20.0,3.3333333333333335,variable_bursts,40,4.463724168912848,0.2138663369612243,0.28359346992099693,0.16307277628032346,0.31000000000000005
ee0.85_s848102_all_off_probe,0.85,848102,coreAE,all_off_probe,all_removed,baseline,8.0,12.0,3.25,variable_bursts,13,11.693055555555555,0.27316412414737556,0.2865976693707786,0.6673611111111111,0.29999999999999993
ee0.85_s848102_all_off_probe,0.85,848102,coreAE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee0.85_s848102_all_off_probe,0.85,848102,coreBE,all_off_probe,all_removed,baseline,8.0,12.0,3.0,variable_bursts,12,5.003706199460916,0.25118965825631784,0.2600876698932432,0.21024258760107817,0.29000000000000004
ee0.85_s848102_all_off_probe,0.85,848102,coreBE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee0.85_s848102_all_off_probe,0.85,848102,coreAE,all_off_probe,probe_late,baseline,14.0,20.0,3.6666666666666665,variable_bursts,22,7.7407407407407405,0.36928774489181815,0.3625080252649956,0.1486111111111111,0.28
ee0.85_s848102_all_off_probe,0.85,848102,coreAE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee0.85_s848102_all_off_probe,0.85,848102,coreBE,all_off_probe,probe_late,baseline,14.0,20.0,3.3333333333333335,variable_bursts,20,4.853998203054807,0.24532921864250748,0.31503615832189985,0.1637466307277628,0.33000000000000007
ee0.85_s848102_all_off_probe,0.85,848102,coreBE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee0.85_s848102_ou_off,0.85,848102,coreAE,ou_off,ou_removed,baseline,8.0,20.0,3.4166666666666665,variable_bursts,41,9.010416666666666,0.31853212224602245,0.3310311993972414,0.2569444444444444,0.2950000000000004
ee0.85_s848102_ou_off,0.85,848102,coreAE,ou_off,ou_removed,intervention,8.0,20.0,3.5,variable_bursts,42,10.75625,0.3356672417971539,0.4411766715049411,0.5145833333333334,0.31000000000000005
ee0.85_s848102_ou_off,0.85,848102,coreBE,ou_off,ou_removed,baseline,8.0,20.0,3.0833333333333335,variable_bursts,37,4.867250673854447,0.30215680863475913,0.3066610832970573,0.1940700808625337,0.31000000000000005
ee0.85_s848102_ou_off,0.85,848102,coreBE,ou_off,ou_removed,intervention,8.0,20.0,3.1666666666666665,variable_bursts,38,3.444182389937107,0.19155708619504935,0.22881326488729575,0.158355795148248,0.33000000000000007
