fork_index,z,alpha_G,initial_kind,initial_label,primary_classification,phase,transfer_audit_status,fine_classification,extra_fine_classification,fine_tail_mean_hz,extra_fine_tail_mean_hz,fine_tail_peak_hz,extra_fine_tail_peak_hz,fine_frequency_hz,extra_fine_frequency_hz,extra_fine_support_violation_step_count,extra_fine_over_100hz_tail_step_count,direct_exact_error_pass,fine_direct_exact_max_abs_error_hz,extra_fine_direct_exact_max_abs_error_hz,fine_direct_exact_p99_relative_error,extra_fine_direct_exact_p99_relative_error,final_status,confirm_status,confirm_extra_fine_classification,confirm_extra_fine_tail_mean_hz,confirm_extra_fine_tail_peak_hz,confirm_extra_fine_frequency_hz,dt_half_classification,dt_half_tail_mean_hz,dt_half_tail_peak_hz,dt_half_vs_confirm_rate_abs_difference_hz,dt_half_vs_confirm_frequency_abs_difference_hz,dt_half_direct_exact_pass
60,0.84,24.0,stage0b_off_manifold_probe,rate_high_synapse_low,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,5.653607845100673,5.630013819315844,86.75134181976318,86.87496930360794,1.6632016632016986,1.6632016632016986,0,0,True,0.008218004041640227,0.0022155464471061703,0.007872394242145236,0.0016805137360399545,numerical_unresolved,,,,,,,,,,,
61,0.84,24.0,stage0b_off_manifold_probe,rate_low_synapse_high,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,5.459799695014082,5.448160164763477,87.03921735286713,86.90524846315384,1.6632016632016986,1.6632016632016986,0,0,True,0.008152756326428555,0.002121741366004938,0.005951907868428698,0.0014150346890661194,numerical_unresolved,,,,,,,,,,,
62,0.84,24.0,pool_off_manifold_probe,pool_unloaded_at_high_rate,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,5.324563711229131,5.321893289749629,86.75315976142883,86.87623590230942,1.6632016632016986,1.6632016632016986,0,0,True,0.00825621497547481,0.0020770163149767817,0.004766989266171089,0.0010174347128693838,numerical_unresolved,,,,,,,,,,,
63,0.84,24.0,pool_off_manifold_probe,sensor_loaded_pool_empty,audit_invalid_candidate,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,5.321728380851006,5.321615740011607,87.01345324516296,86.31931245326996,1.6632016632016986,1.6632016632016986,0,0,True,0.015060863782584422,0.0032891075472316067,0.0055766835671007585,0.0008653498983797963,numerical_unresolved,,,,,,,,,,,
64,0.84,24.0,pool_off_manifold_probe,mu_loaded_s_empty,audit_invalid_candidate,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,5.324116874674505,5.321538893979337,86.83551847934723,86.03766560554504,1.6632016632016986,1.6632016632016986,0,0,True,0.015060863782584422,0.0032891075472316067,0.004751580959074756,0.001039725076759622,numerical_unresolved,,,,,,,,,,,
65,0.84,24.0,pool_off_manifold_probe,pool_loaded_at_low_rate,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,5.330498240623824,5.327973591397069,86.71046048402786,86.99046820402145,1.6632016632016986,1.6632016632016986,0,0,True,0.015060863782584422,0.0032891075472316067,0.005681007149149607,0.0017389395661102916,numerical_unresolved,,,,,,,,,,,
66,0.84,24.0,root_perturbation,root_0_minus,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,5.470235382106054,5.457765207901353,86.79566532373428,86.08926087617874,1.6632016632016986,1.6632016632016986,0,0,True,0.008144838141579437,0.0026211405260156972,0.0061760536803102594,0.0014032026924863828,numerical_unresolved,,,,,,,,,,,
67,0.84,24.0,root_perturbation,root_0_plus,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,5.339566664007858,5.337928583893418,86.97567880153656,86.98361366987228,1.6632016632016986,1.6632016632016986,0,0,True,0.008517712895646581,0.0019714575225614206,0.004906341411918872,0.0011608854215533326,numerical_unresolved,,,,,,,,,,,
68,0.82,24.0,on_manifold_probe,probe_low,audit_invalid_candidate,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.391315307592094,6.3866436360583,84.9943533539772,84.62690562009811,3.742203742203822,3.742203742203822,0,0,True,0.011686656589002253,0.0029887823972118976,0.005112806042592268,0.0013403827756926353,numerical_unresolved,,,,,,,,,,,
69,0.82,24.0,on_manifold_probe,probe_rest,audit_invalid_candidate,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.385552330332732,6.388923101124243,84.98071879148483,85.00360697507858,3.742203742203822,3.742203742203822,0,0,True,0.014176476113673953,0.0031477976472210623,0.007792676686404091,0.0011462749173467713,numerical_unresolved,,,,,,,,,,,
70,0.82,24.0,on_manifold_probe,probe_5hz,audit_invalid_candidate,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.390944873251451,6.384071006655999,85.05510538816452,83.82255584001541,3.742203742203822,3.742203742203822,0,0,True,0.008780207705151588,0.0019463008043285601,0.0064370852740205185,0.0016387739145951544,numerical_unresolved,,,,,,,,,,,
71,0.82,24.0,on_manifold_probe,probe_20hz,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.369151659864108,6.361594533774297,84.86367762088776,82.89563655853271,3.742203742203822,3.742203742203822,0,0,True,0.008295356667734587,0.0024944965259319357,0.005109016848795514,0.0015565190892760034,numerical_unresolved,,,,,,,,,,,
72,0.82,24.0,on_manifold_probe,probe_boundary,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.387069100538741,6.387923521717251,83.99605005979538,85.01783758401871,3.742203742203822,3.742203742203822,0,0,True,0.009202860153417064,0.0021438984867351227,0.004373893419828831,0.0012262298076701286,numerical_unresolved,,,,,,,,,,,
73,0.82,24.0,on_manifold_probe,probe_high,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.394964611298635,6.392404701661904,85.0752741098404,84.89859849214554,3.742203742203822,3.742203742203822,0,0,True,0.00830435359162017,0.002089908109235636,0.005396109229276701,0.001250736813258268,numerical_unresolved,,,,,,,,,,,
74,0.82,24.0,on_manifold_probe,probe_ceiling,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.381056549220216,6.3781318884161875,83.83753895759583,84.20871198177338,3.742203742203822,3.742203742203822,0,0,True,0.008513669190676754,0.001952644843977204,0.0067116258331336425,0.0012486844423552068,numerical_unresolved,,,,,,,,,,,
75,0.82,24.0,stage0b_off_manifold_probe,e_synapse_loaded_i_low,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.389998899590759,6.383484349309674,85.07419377565384,84.02128517627716,3.742203742203822,3.742203742203822,0,0,True,0.009691787616816425,0.0021927881517849745,0.005151883967852073,0.0012304297550879684,numerical_unresolved,,,,,,,,,,,
76,0.82,24.0,stage0b_off_manifold_probe,i_synapse_loaded_e_low,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.394199113515951,6.3888011807009475,85.07518470287323,84.22627300024033,3.742203742203822,3.742203742203822,0,0,True,0.013029896068250321,0.003237695286126968,0.005590210444163803,0.0014427890697346095,numerical_unresolved,,,,,,,,,,,
77,0.82,24.0,stage0b_off_manifold_probe,rate_high_synapse_low,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.38706908305224,6.387923557234815,83.99605751037598,85.01783758401871,3.742203742203822,3.742203742203822,0,0,True,0.009202860153417064,0.0021438984867351227,0.004342643501340388,0.0012066598473396853,numerical_unresolved,,,,,,,,,,,
78,0.82,24.0,stage0b_off_manifold_probe,rate_low_synapse_high,audit_invalid_candidate,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.384574694427315,6.38413792834259,83.57162773609161,84.91984009742737,3.742203742203822,3.742203742203822,0,0,True,0.00830086105511451,0.0019441851249720268,0.004295867202817262,0.001389756773963603,numerical_unresolved,,,,,,,,,,,
79,0.82,24.0,pool_off_manifold_probe,pool_unloaded_at_high_rate,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.3620475548021345,6.362656749222958,84.01378244161606,85.02041548490524,3.742203742203822,3.742203742203822,0,0,True,0.010351954952064063,0.002139292407022167,0.004968698968146466,0.0013684363684381543,numerical_unresolved,,,,,,,,,,,
80,0.82,24.0,pool_off_manifold_probe,sensor_loaded_pool_empty,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.344500048862472,6.34692518749437,84.76828783750534,85.03073453903198,3.742203742203822,3.742203742203822,0,0,True,0.015060863782584422,0.0032891075472316067,0.005386231468052351,0.0010371186382111578,numerical_unresolved,,,,,,,,,,,
