fork_index,z,alpha_G,initial_kind,initial_label,primary_classification,phase,transfer_audit_status,fine_classification,extra_fine_classification,fine_tail_mean_hz,extra_fine_tail_mean_hz,fine_tail_peak_hz,extra_fine_tail_peak_hz,fine_frequency_hz,extra_fine_frequency_hz,extra_fine_support_violation_step_count,extra_fine_over_100hz_tail_step_count,direct_exact_error_pass,fine_direct_exact_max_abs_error_hz,extra_fine_direct_exact_max_abs_error_hz,fine_direct_exact_p99_relative_error,extra_fine_direct_exact_p99_relative_error,final_status,confirm_status,confirm_extra_fine_classification,confirm_extra_fine_tail_mean_hz,confirm_extra_fine_tail_peak_hz,confirm_extra_fine_frequency_hz,dt_half_classification,dt_half_tail_mean_hz,dt_half_tail_peak_hz,dt_half_vs_confirm_rate_abs_difference_hz,dt_half_vs_confirm_frequency_abs_difference_hz,dt_half_direct_exact_pass
30,0.85,16.0,pool_off_manifold_probe,mu_loaded_s_empty,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,bounded_indeterminate,5.227546842747974,5.344361113650597,95.08335590362549,97.53245860338211,1.6632016632016986,1.6632016632016986,0,0,True,0.015060863782584422,0.0032891075472316067,0.004570390760524503,0.0015001609396325742,numerical_unresolved,,,,,,,,,,,
31,0.85,16.0,pool_off_manifold_probe,pool_loaded_at_low_rate,audit_invalid_candidate,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.0250433612631324,6.016728721400278,97.86204993724823,94.10998970270157,1.6632016632016986,1.6632016632016986,0,0,True,0.015060863782584422,0.0032891075472316067,0.0052786045511765325,0.001082749533609653,numerical_unresolved,,,,,,,,,,,
32,0.85,16.0,root_perturbation,root_0_minus,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,6.030185249045476,6.038260366138373,94.07006204128265,97.77988493442535,1.6632016632016986,1.6632016632016986,0,0,True,0.009183782280654598,0.0020556824201975465,0.0052468661441469,0.0012424484618855677,numerical_unresolved,,,,,,,,,,,
33,0.85,16.0,root_perturbation,root_0_plus,audit_invalid_candidate,screen,candidate_survives,bounded_oscillatory_candidate,bounded_oscillatory_candidate,6.055273249415727,6.043785792790458,97.64071553945541,96.78107500076294,1.6632016632016986,1.6632016632016986,0,0,True,0.008180019065896424,0.0021166441125470767,0.004336578607953693,0.0013288485310675563,candidate_survives,candidate_survives,bounded_oscillatory_candidate,5.969145043976469,96.341073513031,1.6649323621228242,bounded_oscillatory_candidate,5.927333374621354,95.45803815126419,0.04181166935511449,0.0,True
34,0.81,16.0,on_manifold_probe,probe_low,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.155024888610618,7.1539347820717785,93.6807245016098,93.45446527004242,2.079002079002123,2.079002079002123,0,0,True,0.011686656589002253,0.0029887823972118976,0.004010097181741658,0.00114089239400122,numerical_unresolved,,,,,,,,,,,
35,0.81,16.0,on_manifold_probe,probe_rest,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.15723885263204,7.153113056656763,92.82557666301727,93.99937838315964,2.079002079002123,2.079002079002123,0,0,True,0.014176476113673953,0.0031477976472210623,0.004434237708483562,0.0011370392860036878,numerical_unresolved,,,,,,,,,,,
36,0.81,16.0,on_manifold_probe,probe_5hz,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.154913594231799,7.15384795227603,93.82178634405136,93.26440840959549,2.079002079002123,2.079002079002123,0,0,True,0.008838946172255724,0.002644555700564988,0.004037751478430784,0.0011402514361666658,numerical_unresolved,,,,,,,,,,,
37,0.81,16.0,on_manifold_probe,probe_20hz,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.155439933012152,7.1541151561771406,93.22778880596161,93.99733692407608,2.079002079002123,2.079002079002123,0,0,True,0.008336892810140335,0.002121749134524273,0.003618172005533988,0.0011760698273621233,numerical_unresolved,,,,,,,,,,,
38,0.81,16.0,on_manifold_probe,probe_boundary,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.156967000891561,7.154903276954156,93.86187046766281,93.01259368658066,2.079002079002123,2.079002079002123,0,0,True,0.008884802037071107,0.0027043519052194487,0.004157225924234168,0.0011900738860548732,numerical_unresolved,,,,,,,,,,,
39,0.81,16.0,on_manifold_probe,probe_high,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.149213151604503,7.148418491299646,94.03415769338608,92.94283390045166,2.079002079002123,2.079002079002123,0,0,True,0.009015098138076896,0.0020756108989683844,0.0056989106604294505,0.0013122908098833063,numerical_unresolved,,,,,,,,,,,
