seed,onset_status,t120_ms,t_recruit_ms,maxab_eligible,rho_maxab,rho_a,rho_b,within_shaft_p
1,eligible,12956.2,12780.5,True,0.8914887841427127,-0.4304142310105583,0.8914887841427127,0.0026997300269973002
3,eligible,11008.6,10838.6,True,0.9691043678307522,-0.43479285428994846,0.9691043678307522,9.999000099990002e-05
4,eligible,12676.6,12489.4,True,0.9042909762485462,-0.8000946913656626,0.9042909762485462,0.0016998300169983002
