seed,variant,status,t120_ms,t_recruit_ms,onset_diff_ms,n_returning_events,maxab_eligible,rho_maxab,rho_a,rho_b,winner_direction,single_direction,within_shaft_p,unrestricted_p,energy_dynamic_range,recruited_contacts,field_support,local_participation_status,local_participation_median,source_rho_maxab,source_toroidal_p
1,v1_zonly,complete,9293.6,9078.3,215.3,38,True,0.9453009843927757,-0.5654461466217138,0.9453009843927757,B_to_A,,0.00039996000399960006,0.00039996000399960006,18.210030893812633,4,15,not_recomputed_readout_patch,,0.650854626561707,0.008680555555555556
1,v2_zm,complete,12956.2,12780.5,175.7,38,True,0.8914887841427127,-0.4304142310105583,0.8914887841427127,B_to_A,,0.0026997300269973002,0.0007999200079992001,11.221394792005787,5,15,,0.28679245283018867,0.5729175188348503,0.06944444444444445
3,v1_zonly,complete,9499.3,9360.1,139.2,40,True,0.7351065022497505,-0.5263281920352006,0.7351065022497505,B_to_A,,0.08609139086091391,0.008599140085991401,3.8835003623218185,0,15,not_recomputed_readout_patch,,0.5462901967187943,0.012152777777777778
3,v2_zm,complete,11008.6,10838.6,170.0,40,True,0.9691043678307522,-0.43479285428994846,0.9691043678307522,B_to_A,,9.999000099990002e-05,9.999000099990002e-05,22.063496759551608,5,15,,0.17077464788732394,0.49778698925572556,0.04513888888888889
4,v1_zonly,complete,9757.9,9559.3,198.6,39,True,0.9240929684291712,-0.8124038404635959,0.9240929684291712,B_to_A,,0.000999900009999,0.00039996000399960006,5.151743292678748,6,15,not_recomputed_readout_patch,,0.5850967428606577,0.017361111111111112
4,v2_zm,complete,12676.6,12489.4,187.2,39,True,0.9042909762485462,-0.8000946913656626,0.9042909762485462,B_to_A,,0.0016998300169983002,0.00039996000399960006,29.88135440444944,4,15,,0.3548387096774194,0.5346577343775576,0.046875
