subject,control,direction_type,direction_index,n_contacts,median_cross_seed_spearman,median_heldout_half_spearman
epilepsiae_253,full_history_gru,output_coupled,1,8,-0.19047619047619052,1.0
epilepsiae_253,full_history_gru,output_coupled,2,8,-0.11904761904761905,1.0
epilepsiae_253,full_history_gru,pca,1,8,-0.4285714285714286,1.0
epilepsiae_253,full_history_gru,pca,2,8,0.7380952380952381,1.0
epilepsiae_253,rank_shuffle_gru,output_coupled,1,8,0.8095238095238096,0.9761904761904763
epilepsiae_253,rank_shuffle_gru,output_coupled,2,8,0.4523809523809524,0.9523809523809524
epilepsiae_253,rank_shuffle_gru,pca,1,8,0.3333333333333334,0.9285714285714287
epilepsiae_253,rank_shuffle_gru,pca,2,8,0.6904761904761906,0.9761904761904763
epilepsiae_384,full_history_gru,output_coupled,1,9,-0.5833333333333334,1.0
epilepsiae_384,full_history_gru,output_coupled,2,9,-0.16666666666666669,1.0
epilepsiae_384,full_history_gru,pca,1,9,0.25,0.9833333333333333
epilepsiae_384,full_history_gru,pca,2,9,0.8166666666666667,1.0
epilepsiae_384,rank_shuffle_gru,output_coupled,1,9,0.8499999999999999,1.0
epilepsiae_384,rank_shuffle_gru,output_coupled,2,9,-0.8333333333333333,0.9833333333333333
epilepsiae_384,rank_shuffle_gru,pca,1,9,0.7999999999999999,0.7999999999999999
epilepsiae_384,rank_shuffle_gru,pca,2,9,0.75,0.9833333333333333
epilepsiae_442,full_history_gru,output_coupled,1,15,0.6464285714285712,0.9714285714285713
epilepsiae_442,full_history_gru,output_coupled,2,15,0.457142857142857,0.9892857142857142
epilepsiae_442,full_history_gru,pca,1,15,0.6178571428571428,0.9249999999999998
epilepsiae_442,full_history_gru,pca,2,15,0.4428571428571427,0.982142857142857
epilepsiae_442,rank_shuffle_gru,output_coupled,1,15,0.5178571428571428,0.9857142857142854
epilepsiae_442,rank_shuffle_gru,output_coupled,2,15,0.825,0.9607142857142855
epilepsiae_442,rank_shuffle_gru,pca,1,15,0.8928571428571428,0.7285714285714285
epilepsiae_442,rank_shuffle_gru,pca,2,15,0.028571428571428564,0.8607142857142854
epilepsiae_548,full_history_gru,output_coupled,1,12,-0.23076923076923078,0.9580419580419581
epilepsiae_548,full_history_gru,output_coupled,2,12,-0.2027972027972028,0.9860139860139862
epilepsiae_548,full_history_gru,pca,1,12,-0.013986013986013986,0.9510489510489512
epilepsiae_548,full_history_gru,pca,2,12,-0.16083916083916086,0.9720279720279721
epilepsiae_548,rank_shuffle_gru,output_coupled,1,12,0.3356643356643357,0.9930069930069931
epilepsiae_548,rank_shuffle_gru,output_coupled,2,12,-0.2447552447552448,0.9580419580419581
epilepsiae_548,rank_shuffle_gru,pca,1,12,0.7272727272727274,0.9020979020979022
epilepsiae_548,rank_shuffle_gru,pca,2,12,0.44755244755244755,0.9790209790209792
epilepsiae_583,full_history_gru,output_coupled,1,7,0.8928571428571429,1.0
epilepsiae_583,full_history_gru,output_coupled,2,7,-0.5714285714285715,1.0
epilepsiae_583,full_history_gru,pca,1,7,0.8928571428571429,0.9642857142857145
