subject,seed_dir,control,k,random_index,random_variance_fidelity,pca_variance_fidelity,random_nll_loss,pca_nll_loss,pca_advantage_nll
epilepsiae_1073,seed_20260725,full_history_gru,1,0,0.0789928418268246,0.7210605787196058,0.1191018957929501,-0.0349319912796046,0.1540338870725548
epilepsiae_1073,seed_20260725,full_history_gru,1,1,0.0210317264932852,0.7210605787196058,0.1386814477984446,-0.0349319912796046,0.1736134390780492
epilepsiae_1073,seed_20260725,full_history_gru,1,2,0.0238892243091924,0.7210605787196058,0.1500800776456818,-0.0349319912796046,0.1850120689252865
epilepsiae_1073,seed_20260725,full_history_gru,1,3,0.0576270843991821,0.7210605787196058,0.1625650177282209,-0.0349319912796046,0.1974970090078256
epilepsiae_1073,seed_20260725,full_history_gru,1,4,0.0088851251752261,0.7210605787196058,0.141442280459298,-0.0349319912796046,0.1763742717389027
epilepsiae_1073,seed_20260725,full_history_gru,1,5,0.1329615209406958,0.7210605787196058,0.1232663846395252,-0.0349319912796046,0.1581983759191298
epilepsiae_1073,seed_20260725,full_history_gru,1,6,0.0381762144634548,0.7210605787196058,0.1376887426321489,-0.0349319912796046,0.1726207339117536
epilepsiae_1073,seed_20260725,full_history_gru,1,7,0.013182954090792,0.7210605787196058,0.1525950795279989,-0.0349319912796046,0.1875270708076035
epilepsiae_1073,seed_20260725,full_history_gru,2,0,0.0671890484761914,0.8047741897292108,0.1242138876820155,-0.04683387460862,0.1710477622906356
epilepsiae_1073,seed_20260725,full_history_gru,2,1,0.0562232962694159,0.8047741897292108,0.1687512026033282,-0.04683387460862,0.2155850772119483
epilepsiae_1073,seed_20260725,full_history_gru,2,2,0.24325644879479,0.8047741897292108,0.091118999941959,-0.04683387460862,0.1379528745505791
epilepsiae_1073,seed_20260725,full_history_gru,2,3,0.0289593296726111,0.8047741897292108,0.1410636560579103,-0.04683387460862,0.1878975306665304
epilepsiae_1073,seed_20260725,full_history_gru,2,4,0.0347023953018252,0.8047741897292108,0.1450503208754179,-0.04683387460862,0.191884195484038
epilepsiae_1073,seed_20260725,full_history_gru,2,5,0.1064594918885323,0.8047741897292108,0.107705594027911,-0.04683387460862,0.1545394686365311
