fork_index,z,alpha_G,w_ee_mult,ratio,phase_id,phase_fraction,history,perturbation_family,off_orbit,screen_status,screen_classification,screen_tail_mean_hz,screen_frequency_hz,screen_direct_exact_pass,confirm_status,confirm_classification,confirm_tail_mean_hz,confirm_frequency_hz,confirm_amplitude_hz,confirm_direct_exact_pass,dt_half_classification,dt_half_tail_mean_hz,dt_half_frequency_hz,dt_half_amplitude_hz,dt_half_direct_exact_pass,final_status,strict_confirm_dt_half_gate,dt_half_rate_abs_difference_hz,dt_half_frequency_abs_difference_hz,dt_half_amplitude_abs_difference_hz
118,0.85,17.0,1.1,1.0,phase_075,0.75,pool_plus,pool,True,candidate_survives,bounded_oscillatory_candidate,5.934631350131225,1.6632016632016986,True,numerical_unresolved,indeterminate_long_transient,5.555960571585235,1.6657990629883586,94.26659857854247,True,,,,,,numerical_unresolved,,,,
119,0.85,17.0,1.1,1.0,phase_075,0.75,pool_minus,pool,True,candidate_survives,bounded_oscillatory_candidate,5.933492027744438,1.6632016632016986,True,numerical_unresolved,indeterminate_long_transient,5.56027838999499,1.6657990629883586,94.26048185559921,True,,,,,,numerical_unresolved,,,,
120,0.86,15.0,1.1,1.0,phase_000,0.0,phase_anchor,anchor,False,numerical_unresolved,indeterminate_long_transient,4.824588535858895,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
121,0.86,15.0,1.1,1.0,phase_000,0.0,fast_plus,fast,True,numerical_unresolved,indeterminate_long_transient,4.8278077608269685,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
122,0.86,15.0,1.1,1.0,phase_000,0.0,fast_minus,fast,True,numerical_unresolved,indeterminate_long_transient,4.8221471232847115,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
123,0.86,15.0,1.1,1.0,phase_000,0.0,pool_plus,pool,True,numerical_unresolved,indeterminate_long_transient,4.824088517529987,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
124,0.86,15.0,1.1,1.0,phase_000,0.0,pool_minus,pool,True,numerical_unresolved,indeterminate_long_transient,4.825179742781344,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
125,0.86,15.0,1.1,1.0,phase_025,0.25,phase_anchor,anchor,False,numerical_unresolved,indeterminate_long_transient,6.07215372666188,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
126,0.86,15.0,1.1,1.0,phase_025,0.25,fast_plus,fast,True,numerical_unresolved,indeterminate_long_transient,6.07215372666188,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
127,0.86,15.0,1.1,1.0,phase_025,0.25,fast_minus,fast,True,numerical_unresolved,indeterminate_long_transient,6.07215372666188,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
128,0.86,15.0,1.1,1.0,phase_025,0.25,pool_plus,pool,True,numerical_unresolved,indeterminate_long_transient,6.06179263147723,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
129,0.86,15.0,1.1,1.0,phase_025,0.25,pool_minus,pool,True,numerical_unresolved,indeterminate_long_transient,6.093844263853114,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
130,0.86,15.0,1.1,1.0,phase_050,0.5,phase_anchor,anchor,False,numerical_unresolved,bounded_indeterminate,6.162940757833189,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
131,0.86,15.0,1.1,1.0,phase_050,0.5,fast_plus,fast,True,numerical_unresolved,bounded_indeterminate,6.162940667012296,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
132,0.86,15.0,1.1,1.0,phase_050,0.5,fast_minus,fast,True,numerical_unresolved,bounded_indeterminate,6.162940678871653,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
133,0.86,15.0,1.1,1.0,phase_050,0.5,pool_plus,pool,True,numerical_unresolved,bounded_indeterminate,6.169798988834403,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
134,0.86,15.0,1.1,1.0,phase_050,0.5,pool_minus,pool,True,numerical_unresolved,bounded_indeterminate,6.167178017485658,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
135,0.86,15.0,1.1,1.0,phase_075,0.75,phase_anchor,anchor,False,numerical_unresolved,indeterminate_long_transient,6.044201362513107,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
136,0.86,15.0,1.1,1.0,phase_075,0.75,fast_plus,fast,True,numerical_unresolved,indeterminate_long_transient,6.044744831590242,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
137,0.86,15.0,1.1,1.0,phase_075,0.75,fast_minus,fast,True,numerical_unresolved,indeterminate_long_transient,6.043826505479358,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
138,0.86,15.0,1.1,1.0,phase_075,0.75,pool_plus,pool,True,numerical_unresolved,indeterminate_long_transient,6.058800529837201,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
139,0.86,15.0,1.1,1.0,phase_075,0.75,pool_minus,pool,True,numerical_unresolved,indeterminate_long_transient,6.04431612042927,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
140,0.86,16.0,1.1,1.0,phase_000,0.0,phase_anchor,anchor,False,numerical_unresolved,indeterminate_long_transient,4.718846253934075,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
141,0.86,16.0,1.1,1.0,phase_000,0.0,fast_plus,fast,True,numerical_unresolved,indeterminate_long_transient,4.718083859854058,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
142,0.86,16.0,1.1,1.0,phase_000,0.0,fast_minus,fast,True,numerical_unresolved,indeterminate_long_transient,4.720017366416718,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
143,0.86,16.0,1.1,1.0,phase_000,0.0,pool_plus,pool,True,numerical_unresolved,indeterminate_long_transient,4.718944826127047,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
144,0.86,16.0,1.1,1.0,phase_000,0.0,pool_minus,pool,True,numerical_unresolved,indeterminate_long_transient,4.7187265022604565,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
145,0.86,16.0,1.1,1.0,phase_025,0.25,phase_anchor,anchor,False,numerical_unresolved,indeterminate_long_transient,5.342567938376555,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
146,0.86,16.0,1.1,1.0,phase_025,0.25,fast_plus,fast,True,numerical_unresolved,indeterminate_long_transient,5.342567938376555,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
147,0.86,16.0,1.1,1.0,phase_025,0.25,fast_minus,fast,True,numerical_unresolved,indeterminate_long_transient,5.342567938376555,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
148,0.86,16.0,1.1,1.0,phase_025,0.25,pool_plus,pool,True,numerical_unresolved,indeterminate_long_transient,5.247812245351896,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
149,0.86,16.0,1.1,1.0,phase_025,0.25,pool_minus,pool,True,numerical_unresolved,indeterminate_long_transient,5.431056151886833,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
150,0.86,16.0,1.1,1.0,phase_050,0.5,phase_anchor,anchor,False,numerical_unresolved,bounded_indeterminate,6.05534884470937,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
151,0.86,16.0,1.1,1.0,phase_050,0.5,fast_plus,fast,True,numerical_unresolved,bounded_indeterminate,6.055348868246564,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
152,0.86,16.0,1.1,1.0,phase_050,0.5,fast_minus,fast,True,numerical_unresolved,bounded_indeterminate,6.055348893598965,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
153,0.86,16.0,1.1,1.0,phase_050,0.5,pool_plus,pool,True,numerical_unresolved,bounded_indeterminate,6.057377210397103,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
154,0.86,16.0,1.1,1.0,phase_050,0.5,pool_minus,pool,True,numerical_unresolved,bounded_indeterminate,6.056114792119007,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
155,0.86,16.0,1.1,1.0,phase_075,0.75,phase_anchor,anchor,False,numerical_unresolved,indeterminate_long_transient,5.969471699198062,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
156,0.86,16.0,1.1,1.0,phase_075,0.75,fast_plus,fast,True,numerical_unresolved,indeterminate_long_transient,5.969357293674223,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
157,0.86,16.0,1.1,1.0,phase_075,0.75,fast_minus,fast,True,numerical_unresolved,indeterminate_long_transient,5.969553559318111,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
158,0.86,16.0,1.1,1.0,phase_075,0.75,pool_plus,pool,True,numerical_unresolved,indeterminate_long_transient,5.970569214870255,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
159,0.86,16.0,1.1,1.0,phase_075,0.75,pool_minus,pool,True,numerical_unresolved,indeterminate_long_transient,5.965339644870618,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
160,0.86,17.0,1.1,1.0,phase_000,0.0,phase_anchor,anchor,False,numerical_unresolved,indeterminate_long_transient,4.624542257259164,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
161,0.86,17.0,1.1,1.0,phase_000,0.0,fast_plus,fast,True,numerical_unresolved,indeterminate_long_transient,4.624553688892828,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
162,0.86,17.0,1.1,1.0,phase_000,0.0,fast_minus,fast,True,numerical_unresolved,indeterminate_long_transient,4.624750928093124,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
163,0.86,17.0,1.1,1.0,phase_000,0.0,pool_plus,pool,True,numerical_unresolved,indeterminate_long_transient,4.624536123672276,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
164,0.86,17.0,1.1,1.0,phase_000,0.0,pool_minus,pool,True,numerical_unresolved,indeterminate_long_transient,4.624556602906289,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
165,0.86,17.0,1.1,1.0,phase_025,0.25,phase_anchor,anchor,False,numerical_unresolved,indeterminate_long_transient,4.7330885630980974,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
166,0.86,17.0,1.1,1.0,phase_025,0.25,fast_plus,fast,True,numerical_unresolved,indeterminate_long_transient,4.7330885630980974,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
167,0.86,17.0,1.1,1.0,phase_025,0.25,fast_minus,fast,True,numerical_unresolved,indeterminate_long_transient,4.733088562977084,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
168,0.86,17.0,1.1,1.0,phase_025,0.25,pool_plus,pool,True,numerical_unresolved,indeterminate_long_transient,4.727661269298211,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
169,0.86,17.0,1.1,1.0,phase_025,0.25,pool_minus,pool,True,numerical_unresolved,indeterminate_long_transient,4.737761469094156,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
170,0.86,17.0,1.1,1.0,phase_050,0.5,phase_anchor,anchor,False,numerical_unresolved,bounded_indeterminate,5.953881807110743,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
171,0.86,17.0,1.1,1.0,phase_050,0.5,fast_plus,fast,True,numerical_unresolved,bounded_indeterminate,5.953881786296361,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
172,0.86,17.0,1.1,1.0,phase_050,0.5,fast_minus,fast,True,numerical_unresolved,bounded_indeterminate,5.9538817530780594,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
173,0.86,17.0,1.1,1.0,phase_050,0.5,pool_plus,pool,True,numerical_unresolved,bounded_indeterminate,5.955874969991091,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
174,0.86,17.0,1.1,1.0,phase_050,0.5,pool_minus,pool,True,numerical_unresolved,bounded_indeterminate,5.954311765984994,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
175,0.86,17.0,1.1,1.0,phase_075,0.75,phase_anchor,anchor,False,numerical_unresolved,bounded_indeterminate,5.879490961997892,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
176,0.86,17.0,1.1,1.0,phase_075,0.75,fast_plus,fast,True,numerical_unresolved,bounded_indeterminate,5.879599527332917,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
177,0.86,17.0,1.1,1.0,phase_075,0.75,fast_minus,fast,True,numerical_unresolved,bounded_indeterminate,5.879350703801638,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
178,0.86,17.0,1.1,1.0,phase_075,0.75,pool_plus,pool,True,numerical_unresolved,bounded_indeterminate,5.8835366812947045,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
179,0.86,17.0,1.1,1.0,phase_075,0.75,pool_minus,pool,True,numerical_unresolved,indeterminate_long_transient,5.879488716162393,2.9106029106029725,True,,,,,,,,,,,,numerical_unresolved,,,,
