history_horizon,n_patients_total,n_patients_ge_50_decisions,support_gate_pass,median_ordered_gain_nats,median_ordered_gain_bits,positive_patients,wilcoxon_p_two_sided,sign_p_two_sided
2,34,33,True,-0.01841248249787444,-0.02656359719013829,11,0.0003724645357578993,0.08014331245794892
3,34,31,True,-0.06358554243494972,-0.09173454674313672,5,3.4635886549949646e-06,0.00019219517707824707
